date,confirmed,recovered,death,newcase,newdeath
1/29/20,6169,127,133,802,17
1/30/20,8237,145,171,1083,22
1/31/20,9927,225,213,1283,27
2/1/20,12038,287,259,1514,31
2/2/20,16787,476,362,2095,44
2/3/20,19887,627,426,2423,49
2/4/20,23899,857,492,2617,52
2/5/20,27644,1130,564,3068,62
2/6/20,30806,1493,634,3224,66
2/7/20,34400,2016,719,3496,72
2/8/20,37131,2617,806,3585,78
2/9/20,40162,3247,906,3339,78
2/10/20,42771,3949,1013,3269,84
2/11/20,44814,4684,1113,2988,89
2/12/20,45232,5151,1118,2513,79
2/13/20,60384,6294,1371,4225,105
2/14/20,66912,8061,1523,4645,115
2/15/20,69055,9397,1666,4561,123
2/16/20,71238,10867,1770,4439,123
2/17/20,73273,12587,1868,4357,122
2/18/20,75155,14352,2008,4334,128
2/19/20,75655,16123,2123,4346,144
2/20/20,76216,18181,2248,2262,125
2/21/20,76846,18894,2252,1419,104
2/22/20,78608,22892,2459,1365,113
2/23/20,78990,23397,2470,1107,100
2/24/20,79558,25229,2630,898,109
2/25/20,80412,27907,2710,751,100
2/26/20,81385,30388,2771,819,93
2/27/20,82730,33282,2814,931,81
2/28/20,84154,36714,2873,1044,89
2/29/20,86030,39785,2943,1060,69
3/1/20,88410,42721,2997,1346,75
3/2/20,90393,45605,3086,1548,65
3/3/20,93004,48227,3160,1799,64
3/4/20,95329,51170,3255,1992,69
3/5/20,98046,53796,3348,2188,76
3/6/20,101976,55864,3461,2546,84
3/7/20,106122,58358,3566,2870,89
3/8/20,109972,60695,3807,3080,116
3/9/20,114299,62495,3997,3415,130
3/10/20,119108,64402,4273,3729,159
3/11/20,126628,66999,4618,4471,195
3/12/20,133383,68328,4930,5048,226
3/13/20,146673,70255,5420,6385,280
3/14/20,157617,72622,5843,7356,325
3/15/20,168876,76031,6496,8415,384
3/16/20,183394,78086,7178,9871,454
3/17/20,198691,80830,7989,11369,531
3/18/20,216348,83317,8907,12817,613
3/19/20,243464,84958,10017,15726,727
3/20/20,273008,87403,11504,18048,869
3/21/20,305423,91650,13233,21115,1056
3/22/20,339895,97867,14919,24431,1203
3/23/20,382799,98355,16886,28486,1387
3/24/20,424883,107974,19201,32313,1602
