"date","bis4","5bis14","15bis34","35bis59","60bis79","ab80","percentbis4","percent5bis14","percent15bis34","percent35bis59","percent60bis79","percentab80"
2020-03-02,0,0,15,17,8,1,0,0,36.6,41.5,19.5,2.4
2020-03-03,0,7,24,38,16,0,0,8.2,28.2,44.7,18.8,0
2020-03-04,0,3,56,78,13,4,0,1.9,36.4,50.6,8.4,2.6
2020-03-05,4,4,65,92,17,2,2.2,2.2,35.3,50,9.2,1.1
2020-03-06,2,6,36,103,32,7,1.1,3.2,19.4,55.4,17.2,3.8
2020-03-07,0,6,36,70,27,2,0,4.3,25.5,49.6,19.1,1.4
2020-03-08,2,5,24,60,9,2,2,4.9,23.5,58.8,8.8,2
2020-03-09,3,12,89,193,42,8,0.9,3.5,25.6,55.6,12.1,2.3
2020-03-10,2,20,154,311,100,14,0.3,3.3,25.6,51.7,16.6,2.3
2020-03-11,6,26,192,383,139,10,0.8,3.4,25.4,50.7,18.4,1.3
2020-03-12,5,15,214,601,140,16,0.5,1.5,21.6,60.6,14.1,1.6
2020-03-13,2,37,344,826,214,28,0.1,2.5,23.7,56.9,14.7,1.9
2020-03-14,12,32,345,734,161,25,0.9,2.4,26.4,56.1,12.3,1.9
2020-03-15,6,18,248,545,128,32,0.6,1.8,25.4,55.8,13.1,3.3
2020-03-16,8,41,524,1112,314,49,0.4,2,25.6,54.3,15.3,2.4
2020-03-17,17,75,820,1614,428,91,0.6,2.5,26.9,53,14.1,3
2020-03-18,29,59,982,1893,553,94,0.8,1.6,27.2,52.4,15.3,2.6
2020-03-19,26,57,1099,2091,661,122,0.6,1.4,27.1,51.6,16.3,3
2020-03-20,20,89,1104,1992,674,163,0.5,2.2,27.3,49.3,16.7,4
2020-03-21,27,65,927,1558,627,151,0.8,1.9,27.6,46.4,18.7,4.5
2020-03-22,16,36,587,1087,423,115,0.7,1.6,25.9,48,18.7,5.1
2020-03-23,32,71,959,1755,729,185,0.9,1.9,25.7,47,19.5,5
2020-03-24,43,86,1268,2249,948,288,0.9,1.8,26,46.1,19.4,5.9
2020-03-25,28,110,1404,2725,1091,333,0.5,1.9,24.7,47.9,19.2,5.9
2020-03-26,47,99,1503,2654,1194,414,0.8,1.7,25.4,44.9,20.2,7
2020-03-27,45,111,1458,2603,1281,495,0.8,1.9,24.3,43.4,21.4,8.3
2020-03-28,40,99,1181,1936,1026,448,0.8,2.1,25,40.9,21.7,9.5
2020-03-29,21,52,774,1316,639,283,0.7,1.7,25.1,42.7,20.7,9.2
2020-03-30,21,62,968,1740,889,448,0.5,1.5,23.4,42.2,21.5,10.9
2020-03-31,45,137,1385,2507,1307,682,0.7,2.3,22.8,41.3,21.6,11.2
2020-04-01,57,134,1438,2524,1358,752,0.9,2.1,23,40.3,21.7,12
2020-04-02,47,119,1504,2641,1388,854,0.7,1.8,23,40.3,21.2,13
2020-04-03,48,126,1396,2425,1307,890,0.8,2,22.5,39.2,21.1,14.4
2020-04-04,30,100,958,1764,908,578,0.7,2.3,22.1,40.7,20.9,13.3
2020-04-05,26,43,580,1004,521,379,1,1.7,22.7,39.3,20.4,14.8
2020-04-06,28,64,848,1384,789,564,0.8,1.7,23.1,37.6,21.5,15.3
2020-04-07,60,106,1184,2098,1026,721,1.2,2,22.8,40.4,19.7,13.9
2020-04-08,42,103,1178,2119,1039,799,0.8,2,22.3,40.1,19.7,15.1
2020-04-09,26,92,1181,1905,948,763,0.5,1.9,24,38.8,19.3,15.5
2020-04-10,32,66,776,1272,629,578,1,2,23.1,37.9,18.8,17.2
2020-04-11,38,75,689,1055,507,533,1.3,2.6,23.8,36.4,17.5,18.4
2020-04-12,9,32,420,638,340,427,0.5,1.7,22.5,34.2,18.2,22.9
2020-04-13,10,33,351,504,331,365,0.6,2.1,22,31.6,20.8,22.9
2020-04-14,26,56,579,866,468,478,1.1,2.3,23.4,35,18.9,19.3
2020-04-15,21,68,771,1244,627,593,0.6,2,23.2,37.4,18.9,17.8
2020-04-16,38,78,893,1344,610,458,1.1,2.3,26.1,39.3,17.8,13.4
2020-04-17,29,84,829,1120,538,453,0.9,2.8,27.2,36.7,17.6,14.8
2020-04-18,25,55,550,751,402,327,1.2,2.6,26.1,35.6,19.1,15.5
2020-04-19,12,25,329,474,258,280,0.9,1.8,23.9,34.4,18.7,20.3
2020-04-20,23,32,400,617,318,336,1.3,1.9,23.2,35.7,18.4,19.5
2020-04-21,24,74,566,765,401,357,1.1,3.4,25.9,35,18.3,16.3
