value,name
1,Deutschland
2,Ahrweiler
3,Aichach-Friedberg
4,Alb-Donau-Kreis
5,Altenburger Land
6,Altenkirchen (Westerwald)
7,Altmarkkreis Salzwedel
8,Altötting
9,Alzey-Worms
10,Amberg
11,Amberg-Sulzbach
12,Ammerland
13,Anhalt-Bitterfeld
14,Ansbach (Landkreis)
15,Ansbach (Stadt)
16,Aschaffenburg (Landkreis)
17,Aschaffenburg (Stadt)
18,Augsburg (Landkreis)
19,Augsburg (Stadt)
20,Aurich
21,Bad Dürkheim
22,Bad Kissingen
23,Bad Kreuznach
24,Bad Tölz-Wolfratshausen
25,Baden-Baden
26,Bamberg (Landkreis)
27,Bamberg (Stadt)
28,Barnim
29,Bautzen
30,Bayreuth (Landkreis)
31,Bayreuth (Stadt)
32,Berchtesgadener Land
33,Bergstraße
34,Berlin
35,Bernkastel-Wittlich
36,Biberach
37,Bielefeld
38,Birkenfeld
39,Böblingen
40,Bochum
41,Bodenseekreis
42,Bonn
43,Börde
44,Borken
45,Bottrop
46,Brandenburg an der Havel
47,Braunschweig
48,Breisgau-Hochschwarzwald
49,Bremen
50,Bremerhaven
51,Burgenlandkreis
52,Calw
53,Celle
54,Cham
55,Chemnitz
56,Cloppenburg
57,Coburg (Landkreis)
58,Coburg (Stadt)
59,Cochem-Zell
60,Coesfeld
61,Cottbus
62,Cuxhaven
63,Dachau
64,Dahme-Spreewald
65,Darmstadt
66,Darmstadt-Dieburg
67,Deggendorf
68,Delmenhorst
69,Dessau-Roßlau
70,Diepholz
71,Dillingen a.d. Donau
72,Dingolfing-Landau
73,Dithmarschen
74,Donau-Ries
75,Donnersbergkreis
76,Dortmund
77,Dresden
78,Duisburg
79,Düren
80,Düsseldorf
81,Ebersberg
82,Eichsfeld
83,Eichstätt
84,Eifelkreis Bitburg-Prüm
85,Eisenach
86,Elbe-Elster
87,Emden
88,Emmendingen
89,Emsland
90,Ennepe-Ruhr-Kreis
91,Enzkreis
92,Erding
93,Erfurt
94,Erlangen
95,Erlangen-Höchstadt
96,Erzgebirgskreis
97,Essen
98,Esslingen
99,Euskirchen
100,Flensburg
101,Forchheim
102,Frankenthal (Pfalz)
103,Frankfurt (Oder)
104,Frankfurt am Main
105,Freiburg im Breisgau
106,Freising
107,Freudenstadt
108,Freyung-Grafenau
109,Friesland
110,Fulda
111,Fürstenfeldbruck
112,Fürth (Landkreis)
113,Fürth (Stadt)
114,Garmisch-Partenkirchen
115,Gelsenkirchen
116,Gera
117,Germersheim
118,Gießen
119,Gifhorn
120,Göppingen
121,Görlitz
122,Goslar
123,Gotha
124,Göttingen
125,Grafschaft Bentheim
126,Greiz
127,Groß-Gerau
128,Günzburg
129,Gütersloh
130,Hagen
131,Halle (Saale)
132,Hamburg
133,Hameln-Pyrmont
134,Hamm
135,Harburg
136,Harz
137,Haßberge
138,Havelland
139,Heidekreis
140,Heidelberg
141,Heidenheim
142,Heilbronn (Landkreis)
143,Heilbronn (Stadt)
144,Heinsberg
145,Helmstedt
146,Herford
147,Herne
148,Hersfeld-Rotenburg
149,Herzogtum Lauenburg
