"Land","Asia","Tote","Bevölkerung","Kontinent","Europe","Africa","North America","South America","Ranking"
"Argentinien"," ","373.571428571429","45195774","South America"," "," "," ","8.27","8.27"
"Tschechien"," ","87.8571428571429","10708981","Europe","8.2"," "," "," ","8.2"
"Ungarn"," ","36.1428571428571","9660351","Europe","3.74"," "," "," ","3.74"
"Rumänien"," ","69.8571428571429","19237691","Europe","3.63"," "," "," ","3.63"
"Iran","3.48","292.142857142857","83992949","Asia"," "," "," "," ","3.48"
"Kolumbien"," ","168.571428571429","50882891","South America"," "," "," ","3.31","3.31"
"Belgien"," ","37.2857142857143","11589623","Europe","3.22"," "," "," ","3.22"
"Israel","3.17","27.4285714285714","8655535","Asia"," "," "," "," ","3.17"
"Spanien"," ","138.285714285714","46754778","Europe","2.96"," "," "," ","2.96"
"Jordanien","2.79","28.4285714285714","10203134","Asia"," "," "," "," ","2.79"
"Tunesien"," ","32.5714285714286","11818619","Africa"," ","2.76"," "," ","2.76"
"Polen"," ","101.571428571429","37846611","Europe","2.68"," "," "," ","2.68"
"Chile"," ","51.1428571428571","19116201","South America"," "," "," ","2.68","2.68"
"Ukraine"," ","110","43733762","Europe","2.52"," "," "," ","2.52"
"Mexiko"," ","304.285714285714","128932753","South America"," "," "," ","2.36","2.36"
"Frankreich"," ","151.857142857143","65273511","Europe","2.33"," "," "," ","2.33"
"Brasilien"," ","491.428571428571","212559417","South America"," "," "," ","2.31","2.31"
"USA"," ","762.857142857143","331002651","North America"," "," ","2.3"," ","2.3"
"Großbritannien"," ","150.571428571429","67886011","Europe","2.22"," "," "," ","2.22"
"Bolivien"," ","25.2857142857143","11673021","South America"," "," "," ","2.17","2.17"
"Niederlande"," ","32.4285714285714","17134872","Europe","1.89"," "," "," ","1.89"
"Peru"," ","58.1428571428571","32971854","South America"," "," "," ","1.76","1.76"
"Russland","1.69","246","145934462","Asia"," "," "," "," ","1.69"
"Portugal"," ","16.7142857142857","10196709","Europe","1.64"," "," "," ","1.64"
"Ecuador"," ","27.7142857142857","17643054","South America"," "," "," ","1.57","1.57"
"Italien"," ","85.1428571428571","60461826","Europe","1.41"," "," "," ","1.41"
"Marokko"," ","51.4285714285714","36910560","Africa"," ","1.39"," "," ","1.39"
"Irak","1.35","54.1428571428571","40222493","Asia"," "," "," "," ","1.35"
"Südafrika"," ","76.2857142857143","59308690","Africa"," ","1.29"," "," ","1.29"
"Österreich"," ","9.14285714285714","9006398","Europe","1.02"," "," "," ","1.02"
"Guatemala"," ","18.1428571428571","17915568","South America"," "," "," ","1.01","1.01"
"Griechenland"," ","9.57142857142857","10423054","Europe","0.92"," "," "," ","0.92"
"Türkei","0.85","72","84339067","Asia"," "," "," "," ","0.85"
"Honduras"," ","7.42857142857143","9904607","South America"," "," "," ","0.75","0.75"
"Schweiz"," ","6","8654622","Europe","0.69"," "," "," ","0.69"
"Burma","0.63","34.2857142857143","54409800","Asia"," "," "," "," ","0.63"
"Kanada"," ","22.8571428571429","37742154","North America"," "," ","0.61"," ","0.61"
"Nepal","0.58","16.8571428571429","29136808","Asia"," "," "," "," ","0.58"
"Saudi-Arabien","0.5","17.5714285714286","34813871","Asia"," "," "," "," ","0.5"
