"date","wild","alpha","beta","gamma","delta","wildper","alphaper","betaper","gammaper","deltaper"
2021-01-10,238,5,0,0,0,97.9,2.1,0,0,0
2021-01-17,614,54,8,0,0,89.9,8.8,1.3,0,0
2021-01-24,1770,96,12,0,0,93.9,5.4,0.7,0,0
2021-01-31,2700,284,13,0,0,89,10.5,0.5,0,0
2021-02-07,3135,555,24,0,1,81.5,17.7,0.8,0,0
2021-02-14,3387,710,19,6,0,78.3,20.9,0.6,0.2,0
2021-02-21,3673,1218,21,6,0,66.1,33.1,0.6,0.2,0
2021-02-28,4303,1895,35,2,0,55.1,44.1,0.8,0,0
2021-03-07,3750,1963,69,8,0,45.6,52.4,1.8,0.2,0
2021-03-14,3878,2503,72,4,0,33.5,64.5,1.9,0.1,0
2021-03-21,4125,3056,50,8,0,24.5,74.1,1.2,0.2,0
2021-03-28,3685,2952,60,0,2,18.2,80.1,1.6,0,0.1
2021-04-04,3791,3297,50,8,0,11.5,87,1.3,0.2,0
2021-04-11,3993,3549,77,10,2,8.9,88.8,1.9,0.3,0.1
2021-04-18,4520,4023,91,11,6,8.6,89.1,2,0.2,0.1
2021-04-25,4902,4467,46,17,34,6.9,91.2,0.9,0.3,0.7
2021-05-02,3956,3586,30,41,54,6.2,90.6,0.8,1,1.4
2021-05-09,4949,4318,127,44,89,7.5,87.2,2.6,0.9,1.8
2021-05-16,3993,3559,51,16,103,6.6,89.1,1.3,0.4,2.6
2021-05-23,4035,3666,29,29,125,4.6,90.9,0.7,0.7,3.1
2021-05-30,2932,2663,19,24,103,4.2,90.9,0.6,0.8,3.5
2021-06-06,2352,1990,11,23,182,6.2,84.6,0.5,1,7.7
2021-06-13,1697,1247,8,24,311,6.3,73.5,0.5,1.4,18.3
2021-06-20,1069,562,11,14,419,5.9,52.6,1,1.3,39.2
2021-06-27,788,260,3,8,470,6,33,0.4,1,59.6
2021-07-04,862,163,1,15,659,2.8,18.9,0.1,1.7,76.5
2021-07-11,815,87,1,16,695,2,10.7,0.1,2,85.2
2021-07-18,973,61,0,13,890,0.9,6.3,0,1.3,91.5
2021-07-25,1119,29,0,1,1086,0.3,2.6,0,0.1,97
