"date","wild","alpha","beta","gamma","delta","wildper","alphaper","betaper","gammaper","deltaper"
NA,5,5,0,0,0,97.9,2.1,0,0,0
NA,54,52,7,0,1,90.3,8.4,1.1,0,0.2
NA,105,97,12,0,3,93.6,5.5,0.7,0,0.2
NA,265,284,13,0,1,89,10.5,0.5,0,0
NA,473,555,24,0,1,81.5,17.7,0.8,0,0
NA,578,714,19,6,0,78.2,21,0.6,0.2,0
NA,824,1222,21,6,0,66,33.2,0.6,0.2,0
NA,1064,1901,35,2,0,54.9,44.3,0.8,0,0
NA,932,1973,69,10,0,45.4,52.5,1.8,0.3,0
NA,870,2537,72,4,1,33.3,64.8,1.8,0.1,0
NA,766,3081,50,8,0,24.4,74.2,1.2,0.2,0
NA,548,2963,60,0,3,18.1,80.2,1.6,0,0.1
NA,381,3314,52,8,0,11.3,87.1,1.4,0.2,0
NA,332,3606,76,10,2,9,88.9,1.9,0.2,0
NA,353,4040,91,11,7,8.5,89.1,2,0.2,0.2
NA,310,4468,47,17,34,6.8,91.2,1,0.3,0.7
NA,223,3593,30,41,55,6,90.8,0.8,1,1.4
NA,339,4321,127,44,89,7.4,87.3,2.6,0.9,1.8
NA,251,3567,53,16,105,6.7,89,1.3,0.4,2.6
NA,164,3710,29,29,125,4.2,91.3,0.7,0.7,3.1
NA,113,2682,19,24,106,4,91,0.6,0.8,3.6
NA,135,1998,11,23,184,6.1,84.6,0.5,1,7.8
NA,105,1247,7,24,311,6.6,73.3,0.4,1.4,18.3
NA,60,568,12,14,426,5.9,52.4,1.1,1.3,39.3
NA,50,265,3,9,497,6.5,32,0.4,1.1,60
NA,24,167,1,15,710,2.7,18.2,0.1,1.6,77.4
NA,21,105,1,18,799,2.3,11.1,0.1,1.9,84.6
NA,9,67,0,14,1083,0.8,5.7,0,1.2,92.3
NA,12,46,0,1,1942,0.6,2.3,0,0,97.1
NA,10,30,0,2,1630,0.6,1.8,0,0.1,97.5
NA,6,22,0,1,2116,0.3,1,0,0,98.7
NA,8,12,0,3,2774,0.3,0.4,0,0.1,99.2
NA,4,18,0,1,3875,0.1,0.5,0,0,99.4
NA,0,9,0,0,4555,0,0.2,0,0,99.8
NA,5,4,1,1,4502,0.1,0.1,0,0,99.8
NA,5,2,0,0,4745,0.1,0,0,0,99.9
NA,4,0,0,0,4305,0.1,0,0,0,99.9
NA,4,1,0,0,4003,0.1,0,0,0,99.9
NA,0,0,0,0,3901,0,0,0,0,100
NA,4,2,0,1,4241,0.1,0,0,0,99.9
NA,0,0,0,0,2792,0,0,0,0,100
NA,0,0,0,0,3749,0,0,0,0,100
NA,0,0,0,0,3881,0,0,0,0,100
NA,0,0,0,0,4242,0,0,0,0,100
NA,5,2,1,0,4936,0.1,0,0,0,99.9
NA,0,0,0,0,6586,0,0,0,0,100
NA,26,1,1,0,8704,0.3,0,0,0,99.7
NA,68,0,0,0,8503,0.8,0,0,0,99.2
NA,216,0,0,0,8633,2.5,0,0,0,97.5
NA,752,0,0,0,7592,9.9,0,0,0,90.1
NA,994,0,0,0,4419,22.5,0,0,0,77.5
NA,1841,0,0,0,3435,53.6,0,0,0,46.4
NA,1623,0,0,0,2339,69.4,0,0,0,30.6
NA,1161,0,0,0,1333,87.1,0,0,0,12.9
NA,476,0,0,0,496,95.9,0,0,0,4.1
NA,187,0,0,0,190,98.3,0,0,0,1.7
NA,76,0,0,0,77,99.3,0,0,0,0.7
NA,39,0,0,0,39,99.7,0,0,0,0.3
NA,13,1,0,0,12,99.9,0,0,0,0.1
NA,7,0,0,0,7,99.9,0,0,0,0.1
NA,6,0,0,0,6,100,0,0,0,0
NA,1,0,0,0,1,100,0,0,0,0
NA,3,1,1,0,1,100,0,0,0,0
NA,2,0,0,0,2,100,0,0,0,0
NA,0,0,0,0,0,100,0,0,0,0
NA,0,0,0,0,0,100,0,0,0,0
NA,0,0,0,0,0,100,0,0,0,0
