land,date,continent,ersterate,zweiterate,dritterate,population,deathratetotal,deathraterecent,datum,id
Afghanistan,2021-10-11,Asien,2.08,1.08,0,38040000,190.01,0.06,11.10.2021,AF
Afghanistan,2021-10-08,Asien,2.08,1.08,0,38040000,189.83,0.06,8.10.2021,AF
Afghanistan,2021-10-09,Asien,2.08,1.08,0,38040000,189.83,0.06,9.10.2021,AF
Afghanistan,2021-10-10,Asien,2.08,1.08,0,38040000,189.93,0.07,10.10.2021,AF
Afghanistan,2021-10-15,Asien,2.08,1.08,0,38040000,190.27,0.06,15.10.2021,AF
Afghanistan,2021-10-12,Asien,2.08,1.08,0,38040000,190.06,0.06,12.10.2021,AF
Afghanistan,2021-10-13,Asien,2.08,1.08,0,38040000,190.17,0.05,13.10.2021,AF
Afghanistan,2021-10-14,Asien,2.08,1.08,0,38040000,190.27,0.06,14.10.2021,AF
Afghanistan,2021-10-06,Asien,2.08,1.08,0,38040000,189.8,0.06,6.10.2021,AF
Afghanistan,2021-10-07,Asien,2.08,1.08,0,38040000,189.83,0.06,7.10.2021,AF
Afghanistan,2021-10-21,Asien,2.08,1.08,0,38040000,190.56,0.04,21.10.2021,AF
Afghanistan,2021-10-22,Asien,2.08,1.08,0,38040000,190.64,0.05,22.10.2021,AF
Afghanistan,2021-10-23,Asien,2.08,1.08,0,38040000,190.67,0.06,23.10.2021,AF
Afghanistan,2021-10-24,Asien,2.08,1.08,0,38040000,190.72,0.04,24.10.2021,AF
Afghanistan,2021-10-25,Asien,2.08,1.08,0,38040000,190.85,0.05,25.10.2021,AF
Afghanistan,2021-10-26,Asien,2.08,1.08,0,38040000,190.9,0.06,26.10.2021,AF
Afghanistan,2021-10-27,Asien,2.08,1.08,0,38040000,191.01,0.07,27.10.2021,AF
Afghanistan,2021-10-28,Asien,2.08,1.08,0,38040000,191.06,0.07,28.10.2021,AF
Afghanistan,2021-10-16,Asien,2.08,1.08,0,38040000,190.27,0.06,16.10.2021,AF
Afghanistan,2021-10-17,Asien,2.08,1.08,0,38040000,190.4,0.07,17.10.2021,AF
Afghanistan,2021-10-18,Asien,2.08,1.08,0,38040000,190.48,0.07,18.10.2021,AF
Afghanistan,2021-10-19,Asien,2.08,1.08,0,38040000,190.51,0.06,19.10.2021,AF
Afghanistan,2021-10-20,Asien,2.08,1.08,0,38040000,190.51,0.05,20.10.2021,AF
Afghanistan,2021-12-13,Asien,8.86,8,0,38040000,192.64,0.04,13.12.2021,AF
Afghanistan,2021-12-14,Asien,8.86,8,0,38040000,192.67,0.04,14.12.2021,AF
Afghanistan,2021-12-15,Asien,8.86,8,0,38040000,192.72,0.04,15.12.2021,AF
Afghanistan,2021-12-16,Asien,8.86,8,0,38040000,192.74,0.04,16.12.2021,AF
Afghanistan,2021-12-17,Asien,8.86,8,0,38040000,192.74,0.03,17.12.2021,AF
Afghanistan,2021-12-18,Asien,8.86,8,0,38040000,192.77,0.03,18.12.2021,AF
Afghanistan,2021-12-19,Asien,8.86,8,0,38040000,192.82,0.03,19.12.2021,AF
Afghanistan,2021-12-20,Asien,8.86,8,0,38040000,192.82,0.03,20.12.2021,AF
Afghanistan,2021-12-21,Asien,8.86,8,0,38040000,192.82,0.02,21.12.2021,AF
Afghanistan,2021-12-22,Asien,8.86,8,0,38040000,192.98,0.04,22.12.2021,AF
Afghanistan,2021-12-23,Asien,8.86,8,0,38040000,193.11,0.05,23.12.2021,AF
Afghanistan,2021-12-24,Asien,8.86,8,0,38040000,193.17,0.06,24.12.2021,AF
Afghanistan,2021-12-25,Asien,8.86,8,0,38040000,193.19,0.06,25.12.2021,AF
Afghanistan,2021-12-26,Asien,8.86,8,0,38040000,193.32,0.07,26.12.2021,AF
Afghanistan,2021-12-27,Asien,10.4,9.42,0,38040000,193.32,0.07,27.12.2021,AF
Afghanistan,2021-12-28,Asien,10.4,9.42,0,38040000,193.35,0.07,28.12.2021,AF
Afghanistan,2021-12-29,Asien,10.4,9.42,0,38040000,193.38,0.06,29.12.2021,AF
Afghanistan,2021-12-30,Asien,10.4,9.42,0,38040000,193.38,0.04,30.12.2021,AF
Afghanistan,2021-12-31,Asien,10.4,9.42,0,38040000,193.38,0.03,31.12.2021,AF
Afghanistan,2022-01-01,Asien,10.4,9.42,0,38040000,193.38,0.03,1.1.2022,AF
Afghanistan,2022-01-02,Asien,10.4,9.42,0,38040000,193.51,0.03,2.1.2022,AF
Afghanistan,2022-01-03,Asien,10.4,9.42,0,38040000,193.59,0.04,3.1.2022,AF
Afghanistan,2022-01-04,Asien,10.4,9.42,0,38040000,193.61,0.04,4.1.2022,AF
Afghanistan,2022-01-05,Asien,10.4,9.42,0,38040000,193.66,0.04,5.1.2022,AF
Afghanistan,2022-01-06,Asien,10.4,9.42,0,38040000,193.66,0.04,6.1.2022,AF
Afghanistan,2022-01-07,Asien,10.4,9.42,0,38040000,193.69,0.04,7.1.2022,AF
Afghanistan,2022-01-08,Asien,10.4,9.42,0,38040000,193.72,0.05,8.1.2022,AF
Afghanistan,2022-01-09,Asien,10.94,9.56,0,38040000,193.82,0.04,9.1.2022,AF
Afghanistan,2022-01-10,Asien,10.94,9.56,0,38040000,193.82,0.03,10.1.2022,AF
Afghanistan,2022-01-11,Asien,10.99,9.58,0,38040000,193.85,0.03,11.1.2022,AF
Afghanistan,2022-01-12,Asien,10.99,9.58,0,38040000,193.9,0.03,12.1.2022,AF
Afghanistan,2022-01-13,Asien,11.06,9.6,0,38040000,193.9,0.03,13.1.2022,AF
Afghanistan,2022-01-14,Asien,11.06,9.6,0,38040000,193.9,0.03,14.1.2022,AF
Afghanistan,2022-01-15,Asien,11.06,9.6,0,38040000,193.95,0.03,15.1.2022,AF
Afghanistan,2022-01-16,Asien,11.06,9.6,0,38040000,193.98,0.02,16.1.2022,AF
Afghanistan,2022-01-17,Asien,11.13,9.62,0,38040000,194.03,0.03,17.1.2022,AF
Afghanistan,2022-01-18,Asien,11.13,9.62,0,38040000,194.09,0.03,18.1.2022,AF
Afghanistan,2022-01-19,Asien,11.17,9.63,0,38040000,194.16,0.04,19.1.2022,AF
Afghanistan,2022-01-20,Asien,11.17,9.63,0,38040000,194.16,0.04,20.1.2022,AF
Afghanistan,2022-01-21,Asien,11.17,9.63,0,38040000,194.27,0.05,21.1.2022,AF
Afghanistan,2022-01-22,Asien,11.17,9.63,0,38040000,194.27,0.04,22.1.2022,AF
Afghanistan,2022-01-23,Asien,11.17,9.63,0,38040000,194.35,0.05,23.1.2022,AF
Afghanistan,2022-01-24,Asien,11.26,9.67,0,38040000,194.35,0.04,24.1.2022,AF
Afghanistan,2021-05-27,Asien,1.2,0.29,0,38040000,75.42,0.36,27.5.2021,AF
Afghanistan,2021-05-28,Asien,1.2,0.29,0,38040000,75.74,0.37,28.5.2021,AF
Afghanistan,2021-05-29,Asien,1.2,0.29,0,38040000,76.21,0.4,29.5.2021,AF
Afghanistan,2021-05-30,Asien,1.21,0.3,0,38040000,76.74,0.44,30.5.2021,AF
Afghanistan,2021-05-31,Asien,1.21,0.3,0,38040000,77.39,0.5,31.5.2021,AF
Afghanistan,2021-06-01,Asien,1.21,0.3,0,38040000,78.15,0.51,1.6.2021,AF
Afghanistan,2021-06-02,Asien,1.21,0.36,0,38040000,79.05,0.57,2.6.2021,AF
Afghanistan,2021-06-03,Asien,1.21,0.37,0,38040000,79.76,0.62,3.6.2021,AF
Afghanistan,2021-06-04,Asien,1.21,0.37,0,38040000,80.65,0.7,4.6.2021,AF
Afghanistan,2021-06-05,Asien,1.21,0.37,0,38040000,81.6,0.77,5.6.2021,AF
Afghanistan,2021-06-06,Asien,1.21,0.37,0,38040000,82.68,0.85,6.6.2021,AF
Afghanistan,2021-06-07,Asien,1.21,0.37,0,38040000,83.78,0.91,7.6.2021,AF
Afghanistan,2021-06-08,Asien,1.21,0.4,0,38040000,85.46,1.04,8.6.2021,AF
Afghanistan,2021-06-09,Asien,1.21,0.4,0,38040000,86.88,1.12,9.6.2021,AF
Afghanistan,2021-06-10,Asien,1.21,0.4,0,38040000,88.22,1.21,10.6.2021,AF
Afghanistan,2021-06-11,Asien,1.21,0.4,0,38040000,89.7,1.29,11.6.2021,AF
Afghanistan,2021-06-12,Asien,1.21,0.4,0,38040000,90.67,1.3,12.6.2021,AF
Afghanistan,2021-06-13,Asien,1.21,0.4,0,38040000,92.72,1.44,13.6.2021,AF
Afghanistan,2021-06-14,Asien,1.22,0.44,0,38040000,94.95,1.6,14.6.2021,AF
Afghanistan,2021-06-15,Asien,1.22,0.44,0,38040000,96.82,1.62,15.6.2021,AF
Afghanistan,2021-06-16,Asien,1.22,0.44,0,38040000,96.82,1.42,16.6.2021,AF
Afghanistan,2021-06-17,Asien,1.22,0.44,0,38040000,101,1.82,17.6.2021,AF
Afghanistan,2021-06-18,Asien,1.22,0.44,0,38040000,103.42,1.96,18.6.2021,AF
Afghanistan,2021-06-19,Asien,1.22,0.44,0,38040000,105.94,2.18,19.6.2021,AF
Afghanistan,2021-06-20,Asien,1.22,0.44,0,38040000,108.36,2.23,20.6.2021,AF
Afghanistan,2021-06-21,Asien,1.22,0.44,0,38040000,110.8,2.26,21.6.2021,AF
Afghanistan,2021-06-22,Asien,1.46,0.46,0,38040000,112.85,2.29,22.6.2021,AF
Afghanistan,2021-06-23,Asien,1.46,0.46,0,38040000,114.77,2.56,23.6.2021,AF
Afghanistan,2021-06-24,Asien,1.46,0.46,0,38040000,117.03,2.29,24.6.2021,AF
Afghanistan,2021-06-25,Asien,1.46,0.46,0,38040000,118.8,2.2,25.6.2021,AF
Afghanistan,2021-06-26,Asien,1.46,0.46,0,38040000,120.77,2.12,26.6.2021,AF
Afghanistan,2021-06-27,Asien,1.63,0.47,0,38040000,122.24,1.98,27.6.2021,AF
Afghanistan,2021-06-28,Asien,1.63,0.47,0,38040000,124.34,1.93,28.6.2021,AF
Afghanistan,2021-02-28,Asien,0.02,0,0,38040000,64.22,0.04,28.2.2021,AF
Afghanistan,2021-03-01,Asien,0.02,0,0,38040000,64.25,0.04,1.3.2021,AF
Afghanistan,2021-03-02,Asien,0.02,0,0,38040000,64.3,0.04,2.3.2021,AF
Afghanistan,2021-03-03,Asien,0.02,0,0,38040000,64.3,0.04,3.3.2021,AF
Afghanistan,2021-03-04,Asien,0.02,0,0,38040000,64.3,0.03,4.3.2021,AF
Afghanistan,2021-03-05,Asien,0.02,0,0,38040000,64.38,0.03,5.3.2021,AF
Afghanistan,2021-03-06,Asien,0.02,0,0,38040000,64.38,0.02,6.3.2021,AF
Afghanistan,2021-03-07,Asien,0.02,0,0,38040000,64.38,0.02,7.3.2021,AF
Afghanistan,2021-03-08,Asien,0.02,0,0,38040000,64.43,0.03,8.3.2021,AF
Afghanistan,2021-03-09,Asien,0.02,0,0,38040000,64.43,0.02,9.3.2021,AF
Afghanistan,2021-03-10,Asien,0.02,0,0,38040000,64.43,0.02,10.3.2021,AF
Afghanistan,2021-03-11,Asien,0.02,0,0,38040000,64.43,0.02,11.3.2021,AF
Afghanistan,2021-03-12,Asien,0.02,0,0,38040000,64.51,0.02,12.3.2021,AF
Afghanistan,2021-03-13,Asien,0.02,0,0,38040000,64.51,0.02,13.3.2021,AF
Afghanistan,2021-03-14,Asien,0.02,0,0,38040000,64.59,0.03,14.3.2021,AF
Afghanistan,2021-03-15,Asien,0.02,0,0,38040000,64.64,0.03,15.3.2021,AF
Afghanistan,2021-03-16,Asien,0.14,0,0,38040000,64.67,0.03,16.3.2021,AF
Afghanistan,2021-03-17,Asien,0.14,0,0,38040000,64.67,0.03,17.3.2021,AF
Afghanistan,2021-03-18,Asien,0.14,0,0,38040000,64.72,0.04,18.3.2021,AF
Afghanistan,2021-03-19,Asien,0.14,0,0,38040000,64.72,0.03,19.3.2021,AF
Afghanistan,2021-03-20,Asien,0.14,0,0,38040000,64.72,0.03,20.3.2021,AF
Afghanistan,2021-03-21,Asien,0.14,0,0,38040000,64.75,0.02,21.3.2021,AF
Afghanistan,2021-03-22,Asien,0.14,0,0,38040000,64.77,0.02,22.3.2021,AF
Afghanistan,2021-03-23,Asien,0.14,0,0,38040000,64.83,0.02,23.3.2021,AF
Afghanistan,2021-03-24,Asien,0.14,0,0,38040000,64.83,0.02,24.3.2021,AF
Afghanistan,2021-03-25,Asien,0.14,0,0,38040000,64.85,0.02,25.3.2021,AF
Afghanistan,2021-03-26,Asien,0.14,0,0,38040000,64.85,0.02,26.3.2021,AF
Afghanistan,2021-03-27,Asien,0.14,0,0,38040000,64.91,0.03,27.3.2021,AF
Afghanistan,2021-03-28,Asien,0.14,0,0,38040000,64.93,0.03,28.3.2021,AF
Afghanistan,2021-03-29,Asien,0.14,0,0,38040000,64.98,0.03,29.3.2021,AF
Afghanistan,2021-03-30,Asien,0.14,0,0,38040000,65.09,0.04,30.3.2021,AF
Afghanistan,2021-03-31,Asien,0.14,0,0,38040000,65.3,0.07,31.3.2021,AF
Afghanistan,2021-04-01,Asien,0.14,0,0,38040000,65.43,0.08,1.4.2021,AF
Afghanistan,2021-04-02,Asien,0.14,0,0,38040000,65.59,0.1,2.4.2021,AF
Afghanistan,2021-04-03,Asien,0.14,0,0,38040000,65.62,0.1,3.4.2021,AF
Afghanistan,2021-04-04,Asien,0.14,0,0,38040000,65.64,0.1,4.4.2021,AF
Afghanistan,2021-04-05,Asien,0.14,0,0,38040000,65.93,0.14,5.4.2021,AF
Afghanistan,2021-04-06,Asien,0.14,0,0,38040000,66.04,0.14,6.4.2021,AF
Afghanistan,2021-04-07,Asien,0.3,0,0,38040000,66.04,0.1,7.4.2021,AF
Afghanistan,2021-04-08,Asien,0.3,0,0,38040000,66.14,0.1,8.4.2021,AF
Afghanistan,2021-04-09,Asien,0.3,0,0,38040000,66.27,0.1,9.4.2021,AF
Afghanistan,2021-04-10,Asien,0.3,0,0,38040000,66.27,0.09,10.4.2021,AF
Afghanistan,2021-04-11,Asien,0.3,0,0,38040000,66.27,0.09,11.4.2021,AF
Afghanistan,2021-04-12,Asien,0.3,0,0,38040000,66.48,0.08,12.4.2021,AF
Afghanistan,2021-04-13,Asien,0.3,0,0,38040000,66.48,0.06,13.4.2021,AF
Afghanistan,2021-04-14,Asien,0.3,0,0,38040000,66.56,0.07,14.4.2021,AF
Afghanistan,2021-04-15,Asien,0.3,0,0,38040000,66.59,0.06,15.4.2021,AF
Afghanistan,2021-04-16,Asien,0.3,0,0,38040000,66.64,0.05,16.4.2021,AF
Afghanistan,2021-04-17,Asien,0.3,0,0,38040000,66.75,0.07,17.4.2021,AF
Afghanistan,2021-04-18,Asien,0.3,0,0,38040000,66.75,0.07,18.4.2021,AF
Afghanistan,2021-04-19,Asien,0.3,0,0,38040000,66.93,0.06,19.4.2021,AF
Afghanistan,2021-04-20,Asien,0.3,0,0,38040000,67.01,0.07,20.4.2021,AF
Afghanistan,2021-04-21,Asien,0.3,0,0,38040000,67.22,0.09,21.4.2021,AF
Afghanistan,2021-04-22,Asien,0.6,0,0,38040000,67.32,0.1,22.4.2021,AF
Afghanistan,2021-04-23,Asien,0.6,0,0,38040000,67.43,0.11,23.4.2021,AF
Afghanistan,2021-04-24,Asien,0.6,0,0,38040000,67.61,0.12,24.4.2021,AF
Afghanistan,2021-04-25,Asien,0.6,0,0,38040000,67.88,0.16,25.4.2021,AF
Afghanistan,2021-04-26,Asien,0.6,0,0,38040000,68.14,0.17,26.4.2021,AF
Afghanistan,2021-04-27,Asien,0.6,0,0,38040000,68.3,0.18,27.4.2021,AF
Afghanistan,2021-04-28,Asien,0.6,0,0,38040000,68.64,0.2,28.4.2021,AF
Afghanistan,2021-04-29,Asien,0.6,0,0,38040000,68.82,0.21,29.4.2021,AF
Afghanistan,2021-04-30,Asien,0.6,0,0,38040000,69.01,0.22,30.4.2021,AF
Afghanistan,2021-05-01,Asien,0.6,0,0,38040000,69.16,0.22,1.5.2021,AF
Afghanistan,2021-05-02,Asien,0.6,0,0,38040000,69.32,0.21,2.5.2021,AF
Afghanistan,2021-05-03,Asien,0.6,0,0,38040000,69.45,0.19,3.5.2021,AF
Afghanistan,2021-05-04,Asien,0.6,0,0,38040000,69.61,0.19,4.5.2021,AF
Afghanistan,2021-05-05,Asien,0.6,0,0,38040000,69.77,0.16,5.5.2021,AF
Afghanistan,2021-05-06,Asien,0.6,0,0,38040000,70.03,0.17,6.5.2021,AF
Afghanistan,2021-05-07,Asien,0.6,0,0,38040000,70.27,0.18,7.5.2021,AF
Afghanistan,2021-05-08,Asien,0.6,0,0,38040000,70.53,0.2,8.5.2021,AF
Afghanistan,2021-05-09,Asien,0.6,0,0,38040000,70.61,0.18,9.5.2021,AF
Afghanistan,2021-05-10,Asien,0.6,0,0,38040000,70.93,0.21,10.5.2021,AF
Afghanistan,2021-05-11,Asien,1.13,0.14,0,38040000,71.24,0.23,11.5.2021,AF
Afghanistan,2021-05-12,Asien,1.13,0.14,0,38040000,71.32,0.22,12.5.2021,AF
Afghanistan,2021-05-13,Asien,1.13,0.14,0,38040000,71.53,0.21,13.5.2021,AF
Afghanistan,2021-05-14,Asien,1.13,0.14,0,38040000,71.77,0.21,14.5.2021,AF
Afghanistan,2021-05-15,Asien,1.13,0.14,0,38040000,71.85,0.19,15.5.2021,AF
Afghanistan,2021-05-16,Asien,1.13,0.14,0,38040000,72.08,0.21,16.5.2021,AF
Afghanistan,2021-05-17,Asien,1.13,0.14,0,38040000,72.16,0.18,17.5.2021,AF
Afghanistan,2021-05-18,Asien,1.13,0.14,0,38040000,72.32,0.15,18.5.2021,AF
Afghanistan,2021-05-19,Asien,1.13,0.14,0,38040000,72.61,0.18,19.5.2021,AF
Afghanistan,2021-05-20,Asien,1.18,0.19,0,38040000,72.87,0.19,20.5.2021,AF
Afghanistan,2021-05-21,Asien,1.18,0.19,0,38040000,73.13,0.2,21.5.2021,AF
Afghanistan,2021-05-22,Asien,1.18,0.19,0,38040000,73.4,0.22,22.5.2021,AF
Afghanistan,2021-05-23,Asien,1.18,0.19,0,38040000,73.66,0.22,23.5.2021,AF
Afghanistan,2021-05-24,Asien,1.2,0.24,0,38040000,73.92,0.25,24.5.2021,AF
Afghanistan,2021-05-25,Asien,1.2,0.24,0,38040000,74.55,0.32,25.5.2021,AF
Afghanistan,2021-05-26,Asien,1.2,0.28,0,38040000,75.05,0.35,26.5.2021,AF
Afghanistan,2021-09-25,Asien,1.94,1.08,0,38040000,189.25,0.05,25.9.2021,AF
Afghanistan,2021-09-26,Asien,1.94,1.08,0,38040000,189.25,0.05,26.9.2021,AF
Afghanistan,2021-09-27,Asien,1.94,1.08,0,38040000,189.27,0,27.9.2021,AF
Afghanistan,2021-09-28,Asien,1.94,1.08,0,38040000,189.3,0.01,28.9.2021,AF
Afghanistan,2021-09-29,Asien,1.94,1.08,0,38040000,189.38,0.02,29.9.2021,AF
Afghanistan,2021-09-30,Asien,2.08,1.08,0,38040000,189.38,0.02,30.9.2021,AF
Afghanistan,2021-10-01,Asien,2.08,1.08,0,38040000,189.43,0.03,1.10.2021,AF
Afghanistan,2021-10-02,Asien,2.08,1.08,0,38040000,189.43,0.03,2.10.2021,AF
Afghanistan,2021-10-03,Asien,2.08,1.08,0,38040000,189.43,0.03,3.10.2021,AF
Afghanistan,2021-10-04,Asien,2.08,1.08,0,38040000,189.59,0.04,4.10.2021,AF
Afghanistan,2021-10-05,Asien,2.08,1.08,0,38040000,189.64,0.05,5.10.2021,AF
Afghanistan,2021-07-17,Asien,1.87,0.55,0,38040000,160.3,1.73,17.7.2021,AF
Afghanistan,2021-07-18,Asien,1.87,0.55,0,38040000,161.59,1.59,18.7.2021,AF
Afghanistan,2021-07-19,Asien,1.87,0.55,0,38040000,163.33,1.58,19.7.2021,AF
Afghanistan,2021-07-20,Asien,1.87,0.55,0,38040000,164.72,1.57,20.7.2021,AF
Afghanistan,2021-07-21,Asien,1.87,0.55,0,38040000,165.43,1.39,21.7.2021,AF
Afghanistan,2021-07-22,Asien,1.87,0.55,0,38040000,166.27,1.28,22.7.2021,AF
Afghanistan,2021-07-23,Asien,1.87,0.55,0,38040000,167.11,1.07,23.7.2021,AF
Afghanistan,2021-07-24,Asien,1.87,0.55,0,38040000,168.06,1.11,24.7.2021,AF
Afghanistan,2021-07-25,Asien,1.87,0.55,0,38040000,168.9,1.04,25.7.2021,AF
Afghanistan,2021-07-26,Asien,1.87,0.55,0,38040000,170.27,0.99,26.7.2021,AF
Afghanistan,2021-07-27,Asien,1.87,0.55,0,38040000,171.27,0.94,27.7.2021,AF
Afghanistan,2021-07-28,Asien,1.87,0.55,0,38040000,172.9,1.07,28.7.2021,AF
Afghanistan,2021-07-29,Asien,1.87,0.55,0,38040000,173.9,1.09,29.7.2021,AF
Afghanistan,2021-07-30,Asien,1.87,0.55,0,38040000,175.53,1.2,30.7.2021,AF
Afghanistan,2021-07-31,Asien,1.87,0.55,0,38040000,176.34,1.18,31.7.2021,AF
Afghanistan,2021-08-01,Asien,1.87,0.55,0,38040000,177.1,1.17,1.8.2021,AF
Afghanistan,2021-08-02,Asien,1.87,0.55,0,38040000,178.08,1.11,2.8.2021,AF
Afghanistan,2021-08-03,Asien,1.87,0.55,0,38040000,178.86,1.08,3.8.2021,AF
Afghanistan,2021-08-04,Asien,1.87,0.55,0,38040000,179.71,0.97,4.8.2021,AF
Afghanistan,2021-08-05,Asien,1.87,0.55,0,38040000,180.44,0.94,5.8.2021,AF
Afghanistan,2021-08-06,Asien,1.87,0.55,0,38040000,180.84,0.76,6.8.2021,AF
Afghanistan,2021-08-07,Asien,1.87,0.55,0,38040000,181.31,0.71,7.8.2021,AF
Afghanistan,2021-06-29,Asien,1.63,0.47,0,38040000,126.03,1.88,29.6.2021,AF
Afghanistan,2021-06-30,Asien,1.76,0.47,0,38040000,128.05,1.9,30.6.2021,AF
Afghanistan,2021-07-01,Asien,1.76,0.47,0,38040000,130.44,1.92,1.7.2021,AF
Afghanistan,2021-07-02,Asien,1.76,0.47,0,38040000,132.7,1.99,2.7.2021,AF
Afghanistan,2021-07-03,Asien,1.76,0.47,0,38040000,134.25,1.93,3.7.2021,AF
Afghanistan,2021-07-04,Asien,1.76,0.47,0,38040000,136.67,2.06,4.7.2021,AF
Afghanistan,2021-07-05,Asien,1.82,0.48,0,38040000,138.88,2.08,5.7.2021,AF
Afghanistan,2021-07-06,Asien,1.82,0.48,0,38040000,140.9,2.13,6.7.2021,AF
Afghanistan,2021-07-07,Asien,1.85,0.5,0,38040000,142.35,2.04,7.7.2021,AF
Afghanistan,2021-07-08,Asien,1.85,0.5,0,38040000,143.98,1.93,8.7.2021,AF
Afghanistan,2021-07-09,Asien,1.85,0.5,0,38040000,146.19,1.93,9.7.2021,AF
Afghanistan,2021-07-10,Asien,1.85,0.5,0,38040000,148.21,1.99,10.7.2021,AF
