date,erst,zweit,bion,moderna,astra
2020-12-27,23716,0,23716,0,0
2020-12-28,18740,0,18740,0,0
2020-12-29,42650,0,42650,0,0
2020-12-30,58040,0,58040,0,0
2020-12-31,38739,0,38739,0,0
2021-01-01,24749,0,24749,0,0
2021-01-02,52180,0,52180,0,0
2021-01-03,24986,0,24986,0,0
2021-01-04,48709,0,48709,0,0
2021-01-05,52472,0,52472,0,0
2021-01-06,59186,0,59186,0,0
2021-01-07,58457,0,58457,0,0
2021-01-08,60444,0,60444,0,0
2021-01-09,57333,0,57333,0,0
2021-01-10,33418,0,33418,0,0
2021-01-11,65714,0,65714,0,0
2021-01-12,82075,0,82075,0,0
2021-01-13,99078,0,98283,795,0
2021-01-14,100154,114,95620,4648,0
2021-01-15,92391,428,87369,5450,0
2021-01-16,56696,397,55235,1858,0
2021-01-17,30895,13754,43235,1414,0
2021-01-18,58085,16372,72419,2038,0
2021-01-19,68438,27229,94146,1521,0
2021-01-20,78282,50654,127644,1292,0
2021-01-21,60692,35435,95028,1099,0
2021-01-22,84240,31354,114257,1337,0
2021-01-23,49031,43996,92644,383,0
2021-01-24,38211,28088,66055,244,0
2021-01-25,58188,39761,96475,1474,0
2021-01-26,53188,49599,101199,1588,0
2021-01-27,54056,59493,111638,1911,0
2021-01-28,51747,48941,94205,6483,0
2021-01-29,56059,53793,108448,1404,0
2021-01-30,39589,48587,87303,873,0
2021-01-31,31325,31478,62461,342,0
2021-02-01,50092,65900,114415,1577,0
2021-02-02,57927,69846,125745,2028,0
2021-02-03,58106,85199,137811,5494,0
2021-02-04,63194,72742,130874,5062,0
2021-02-05,59920,73876,129678,4118,0
2021-02-06,49266,55383,101248,3401,0
2021-02-07,33507,26541,56589,3459,0
2021-02-08,54849,51620,102445,4008,16
2021-02-09,59724,65361,121660,3319,106
2021-02-10,75310,75260,138136,4932,7502
2021-02-11,71530,72571,124313,5962,13826
2021-02-12,80322,78572,135435,9537,13922
2021-02-13,63672,46713,94327,3378,12680
2021-02-14,39806,27002,56977,2852,6979
2021-02-15,70864,56308,108793,3320,15059
2021-02-16,81608,54789,108348,4634,23415
2021-02-17,94889,54779,123301,7111,19256
2021-02-18,93717,52513,115030,7216,23984
2021-02-19,97319,53503,119068,7964,23790
2021-02-20,75018,37666,86353,5463,20868
2021-02-21,56608,28936,65797,4223,15524
2021-02-22,99246,52969,118967,7485,25763
2021-02-23,104627,55789,127310,6367,26739
2021-02-24,117119,57989,132895,7638,34575
2021-02-25,127471,52692,125211,6216,48736
2021-02-26,136981,58866,133106,7163,55578
2021-02-27,107929,38859,93942,4159,48687
2021-02-28,85910,28001,67298,3621,42992
2021-03-01,141476,50259,129108,7817,54810
2021-03-02,161411,55678,143824,8428,64837
2021-03-03,173778,67283,162212,11565,67284
2021-03-04,176894,62736,143727,12609,83294
2021-03-05,187821,63375,141821,12422,96953
2021-03-06,146681,47358,108248,7918,77873
2021-03-07,113640,34546,83968,6634,57584
2021-03-08,178359,53291,136426,11424,83800
2021-03-09,192550,55042,140436,11776,95380
2021-03-10,210925,67552,158535,11769,108173
2021-03-11,224259,62887,154031,12491,120624
2021-03-12,228966,69370,150504,14229,133603
2021-03-13,187044,48253,112985,8714,113598
2021-03-14,129457,35239,88150,4834,71712
2021-03-15,175170,57099,147417,11482,73370
2021-03-16,110686,65879,165267,9779,1519
2021-03-17,119435,76839,179927,14896,1451
2021-03-18,114923,73199,170337,16305,1480
2021-03-19,144477,78777,176062,16751,30441
2021-03-20,150613,52570,132344,13705,57134
2021-03-21,120024,38265,102461,8868,46960
