owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Australien,Bangladesch,Belarus,Belgien,Bolivien,Brasilien,Bulgarien,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jordanien,Kanada,Kasachstan,Kenia,Kolumbien,Libanon,Malawi,Malaysia,Marokko,Mexiko,Mosambik,Nepal,Niederlande,Nigeria,Norwegen,Österreich,Pakistan,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Thailand,Togo,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2020-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,1259,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,,,,,,,,,,,,,,,,134,,,,,,,,,,,1259,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,,,,,,,,,,,,,,,,134,,,,,,,,,,,1259,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,,,,,,,,,,,,,,,,134,,,,,,,,,,,1259,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,,,,,,,,,,,,,,,,134,,,,,,,,,,,1259,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,,,,,,,,,,,,,,,,134,,,,,,,,,,,1259,,,,,,,,815,,,,56,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,,,,,,,,,,,,,,,,134,,,,,,,,,,,1180,,,,,,,,1781,,,,79,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,176,,,,
2020-12-22,,,,,,,,,,,,,,,,134,,,,,,,,,,,1100,,,,,,,,2831,,,,98,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,388,,,,
2020-12-23,,,,,,,,,,,,,,,,134,,,,,,,,,,,1021,,,,,,,,3858,,,,122,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,459,,,,
