land,erstquote,zweitquote,region,einwohner,lat,lon
Baden-Württemberg,69.7,63.2,de-bw,11100394,48.2,8.5
Bayern,70,64,de-by,13124737,49,12
Berlin,72.9,66.6,de-be,3669491,52.3,13.2
Brandenburg,65.9,58.6,de-bb,2521893,53,12.8
Bremen,84.2,74,de-hb,681202,52.8,8
Hamburg,77.9,69.9,de-hh,1847253,53.4,9.4
Hessen,72.2,64.4,de-he,6288080,50.6,8.5
Mecklenburg-Vorpommern,70.7,63.7,de-mv,1608138,54,11.1
Niedersachsen,74.4,65.8,de-ni,7993608,52.1,8.7
Nordrhein-Westfalen,76.1,68,de-nw,17947221,51.3,8.2
Rheinland-Pfalz,73.5,64.8,de-rp,4093903,49.7,7.8
Saarland,78.3,70.5,de-sl,986887,49,7.4
Sachsen,61.2,56,de-sn,4071971,50.9,13.5
Sachsen-Anhalt,67.8,60.5,de-st,2194782,51.6,12.4
Schleswig-Holstein,76.5,69.6,de-sh,2903773,54.6,9.3
Thüringen,65.4,58.8,de-th,2133378,50.3,11.5
