date,Deutschland (einmal geimpft),Deutschland (zweimal geimpft),Deutschland (dreimal geimpft),Afghanistan  (einmal geimpft),Afghanistan  (zweimal geimpft),Afghanistan  (dreimal geimpft),Ägypten  (einmal geimpft),Ägypten  (zweimal geimpft),Ägypten  (dreimal geimpft),Algerien  (einmal geimpft),Algerien  (zweimal geimpft),Algerien  (dreimal geimpft),Angola  (einmal geimpft),Angola  (zweimal geimpft),Angola  (dreimal geimpft),Argentinien  (einmal geimpft),Argentinien  (zweimal geimpft),Argentinien  (dreimal geimpft),Aserbaidschan  (einmal geimpft),Aserbaidschan  (zweimal geimpft),Aserbaidschan  (dreimal geimpft),Äthiopien  (einmal geimpft),Äthiopien  (zweimal geimpft),Äthiopien  (dreimal geimpft),Australien  (einmal geimpft),Australien  (zweimal geimpft),Australien  (dreimal geimpft),Bangladesch  (einmal geimpft),Bangladesch  (zweimal geimpft),Bangladesch  (dreimal geimpft),Belarus  (einmal geimpft),Belarus  (zweimal geimpft),Belarus  (dreimal geimpft),Belgien  (einmal geimpft),Belgien  (zweimal geimpft),Belgien  (dreimal geimpft),Benin  (einmal geimpft),Benin  (zweimal geimpft),Benin  (dreimal geimpft),Bolivien  (einmal geimpft),Bolivien  (zweimal geimpft),Bolivien  (dreimal geimpft),Brasilien  (einmal geimpft),Brasilien  (zweimal geimpft),Brasilien  (dreimal geimpft),Bulgarien  (einmal geimpft),Bulgarien  (zweimal geimpft),Bulgarien  (dreimal geimpft),Burkina Faso  (einmal geimpft),Burkina Faso  (zweimal geimpft),Burkina Faso  (dreimal geimpft),Burundi  (einmal geimpft),Burundi  (zweimal geimpft),Burundi  (dreimal geimpft),Chile  (einmal geimpft),Chile  (zweimal geimpft),Chile  (dreimal geimpft),China  (einmal geimpft),China  (zweimal geimpft),China  (dreimal geimpft),Costa Rica  (einmal geimpft),Costa Rica  (zweimal geimpft),Costa Rica  (dreimal geimpft),Dänemark  (einmal geimpft),Dänemark  (zweimal geimpft),Dänemark  (dreimal geimpft),Dominikanische Republik  (einmal geimpft),Dominikanische Republik  (zweimal geimpft),Dominikanische Republik  (dreimal geimpft),Ecuador  (einmal geimpft),Ecuador  (zweimal geimpft),Ecuador  (dreimal geimpft),El Salvador  (einmal geimpft),El Salvador  (zweimal geimpft),El Salvador  (dreimal geimpft),Elfenbeinküste  (einmal geimpft),Elfenbeinküste  (zweimal geimpft),Elfenbeinküste  (dreimal geimpft),Finnland  (einmal geimpft),Finnland  (zweimal geimpft),Finnland  (dreimal geimpft),Frankreich  (einmal geimpft),Frankreich  (zweimal geimpft),Frankreich  (dreimal geimpft),Ghana  (einmal geimpft),Ghana  (zweimal geimpft),Ghana  (dreimal geimpft),Griechenland  (einmal geimpft),Griechenland  (zweimal geimpft),Griechenland  (dreimal geimpft),Großbritannien  (einmal geimpft),Großbritannien  (zweimal geimpft),Großbritannien  (dreimal geimpft),Guatemala  (einmal geimpft),Guatemala  (zweimal geimpft),Guatemala  (dreimal geimpft),Guinea  (einmal geimpft),Guinea  (zweimal geimpft),Guinea  (dreimal geimpft),Haiti  (einmal geimpft),Haiti  (zweimal geimpft),Haiti  (dreimal geimpft),Honduras  (einmal geimpft),Honduras  (zweimal geimpft),Honduras  (dreimal geimpft),Indien  (einmal geimpft),Indien  (zweimal geimpft),Indien  (dreimal geimpft),Indonesien  (einmal geimpft),Indonesien  (zweimal geimpft),Indonesien  (dreimal geimpft),Irak  (einmal geimpft),Irak  (zweimal geimpft),Irak  (dreimal geimpft),Iran  (einmal geimpft),Iran  (zweimal geimpft),Iran  (dreimal geimpft),Israel  (einmal geimpft),Israel  (zweimal geimpft),Israel  (dreimal geimpft),Italien  (einmal geimpft),Italien  (zweimal geimpft),Italien  (dreimal geimpft),Japan  (einmal geimpft),Japan  (zweimal geimpft),Japan  (dreimal geimpft),Jemen  (einmal geimpft),Jemen  (zweimal geimpft),Jemen  (dreimal geimpft),Jordanien  (einmal geimpft),Jordanien  (zweimal geimpft),Jordanien  (dreimal geimpft),Kambodscha  (einmal geimpft),Kambodscha  (zweimal geimpft),Kambodscha  (dreimal geimpft),Kamerun  (einmal geimpft),Kamerun  (zweimal geimpft),Kamerun  (dreimal geimpft),Kanada  (einmal geimpft),Kanada  (zweimal geimpft),Kanada  (dreimal geimpft),Kasachstan  (einmal geimpft),Kasachstan  (zweimal geimpft),Kasachstan  (dreimal geimpft),Kenia  (einmal geimpft),Kenia  (zweimal geimpft),Kenia  (dreimal geimpft),Kirgisistan  (einmal geimpft),Kirgisistan  (zweimal geimpft),Kirgisistan  (dreimal geimpft),Kolumbien  (einmal geimpft),Kolumbien  (zweimal geimpft),Kolumbien  (dreimal geimpft),Kuba  (einmal geimpft),Kuba  (zweimal geimpft),Kuba  (dreimal geimpft),Libanon  (einmal geimpft),Libanon  (zweimal geimpft),Libanon  (dreimal geimpft),Libyen  (einmal geimpft),Libyen  (zweimal geimpft),Libyen  (dreimal geimpft),Madagaskar  (einmal geimpft),Madagaskar  (zweimal geimpft),Madagaskar  (dreimal geimpft),Malawi  (einmal geimpft),Malawi  (zweimal geimpft),Malawi  (dreimal geimpft),Malaysia  (einmal geimpft),Malaysia  (zweimal geimpft),Malaysia  (dreimal geimpft),Mali  (einmal geimpft),Mali  (zweimal geimpft),Mali  (dreimal geimpft),Marokko  (einmal geimpft),Marokko  (zweimal geimpft),Marokko  (dreimal geimpft),Mexiko  (einmal geimpft),Mexiko  (zweimal geimpft),Mexiko  (dreimal geimpft),Mosambik  (einmal geimpft),Mosambik  (zweimal geimpft),Mosambik  (dreimal geimpft),Nepal  (einmal geimpft),Nepal  (zweimal geimpft),Nepal  (dreimal geimpft),Nicaragua  (einmal geimpft),Nicaragua  (zweimal geimpft),Nicaragua  (dreimal geimpft),Niederlande  (einmal geimpft),Niederlande  (zweimal geimpft),Niederlande  (dreimal geimpft),Niger  (einmal geimpft),Niger  (zweimal geimpft),Niger  (dreimal geimpft),Nigeria  (einmal geimpft),Nigeria  (zweimal geimpft),Nigeria  (dreimal geimpft),Norwegen  (einmal geimpft),Norwegen  (zweimal geimpft),Norwegen  (dreimal geimpft),Österreich  (einmal geimpft),Österreich  (zweimal geimpft),Österreich  (dreimal geimpft),Pakistan  (einmal geimpft),Pakistan  (zweimal geimpft),Pakistan  (dreimal geimpft),Papua-Neuguinea  (einmal geimpft),Papua-Neuguinea  (zweimal geimpft),Papua-Neuguinea  (dreimal geimpft),Paraguay  (einmal geimpft),Paraguay  (zweimal geimpft),Paraguay  (dreimal geimpft),Peru  (einmal geimpft),Peru  (zweimal geimpft),Peru  (dreimal geimpft),Philippinen  (einmal geimpft),Philippinen  (zweimal geimpft),Philippinen  (dreimal geimpft),Polen  (einmal geimpft),Polen  (zweimal geimpft),Polen  (dreimal geimpft),Portugal  (einmal geimpft),Portugal  (zweimal geimpft),Portugal  (dreimal geimpft),Ruanda  (einmal geimpft),Ruanda  (zweimal geimpft),Ruanda  (dreimal geimpft),Rumänien  (einmal geimpft),Rumänien  (zweimal geimpft),Rumänien  (dreimal geimpft),Russland  (einmal geimpft),Russland  (zweimal geimpft),Russland  (dreimal geimpft),Sambia  (einmal geimpft),Sambia  (zweimal geimpft),Sambia  (dreimal geimpft),Saudi-Arabien  (einmal geimpft),Saudi-Arabien  (zweimal geimpft),Saudi-Arabien  (dreimal geimpft),Schweden  (einmal geimpft),Schweden  (zweimal geimpft),Schweden  (dreimal geimpft),Schweiz  (einmal geimpft),Schweiz  (zweimal geimpft),Schweiz  (dreimal geimpft),Senegal  (einmal geimpft),Senegal  (zweimal geimpft),Senegal  (dreimal geimpft),Serbien  (einmal geimpft),Serbien  (zweimal geimpft),Serbien  (dreimal geimpft),Sierra Leone  (einmal geimpft),Sierra Leone  (zweimal geimpft),Sierra Leone  (dreimal geimpft),Simbabwe  (einmal geimpft),Simbabwe  (zweimal geimpft),Simbabwe  (dreimal geimpft),Singapur  (einmal geimpft),Singapur  (zweimal geimpft),Singapur  (dreimal geimpft),Slowakei  (einmal geimpft),Slowakei  (zweimal geimpft),Slowakei  (dreimal geimpft),Somalia  (einmal geimpft),Somalia  (zweimal geimpft),Somalia  (dreimal geimpft),Spanien  (einmal geimpft),Spanien  (zweimal geimpft),Spanien  (dreimal geimpft),Sri Lanka  (einmal geimpft),Sri Lanka  (zweimal geimpft),Sri Lanka  (dreimal geimpft),Südafrika  (einmal geimpft),Südafrika  (zweimal geimpft),Südafrika  (dreimal geimpft),Sudan  (einmal geimpft),Sudan  (zweimal geimpft),Sudan  (dreimal geimpft),Südkorea  (einmal geimpft),Südkorea  (zweimal geimpft),Südkorea  (dreimal geimpft),Südsudan  (einmal geimpft),Südsudan  (zweimal geimpft),Südsudan  (dreimal geimpft),Syrien  (einmal geimpft),Syrien  (zweimal geimpft),Syrien  (dreimal geimpft),Tadschikistan  (einmal geimpft),Tadschikistan  (zweimal geimpft),Tadschikistan  (dreimal geimpft),Tansania  (einmal geimpft),Tansania  (zweimal geimpft),Tansania  (dreimal geimpft),Thailand  (einmal geimpft),Thailand  (zweimal geimpft),Thailand  (dreimal geimpft),Togo  (einmal geimpft),Togo  (zweimal geimpft),Togo  (dreimal geimpft),Tschad  (einmal geimpft),Tschad  (zweimal geimpft),Tschad  (dreimal geimpft),Tschechien  (einmal geimpft),Tschechien  (zweimal geimpft),Tschechien  (dreimal geimpft),Tunesien  (einmal geimpft),Tunesien  (zweimal geimpft),Tunesien  (dreimal geimpft),Türkei  (einmal geimpft),Türkei  (zweimal geimpft),Türkei  (dreimal geimpft),Uganda  (einmal geimpft),Uganda  (zweimal geimpft),Uganda  (dreimal geimpft),Ukraine  (einmal geimpft),Ukraine  (zweimal geimpft),Ukraine  (dreimal geimpft),Ungarn  (einmal geimpft),Ungarn  (zweimal geimpft),Ungarn  (dreimal geimpft),USA  (einmal geimpft),USA  (zweimal geimpft),USA  (dreimal geimpft),Usbekistan  (einmal geimpft),Usbekistan  (zweimal geimpft),Usbekistan  (dreimal geimpft),Venezuela  (einmal geimpft),Venezuela  (zweimal geimpft),Venezuela  (dreimal geimpft),Vereinigte Arabische Emirate  (einmal geimpft),Vereinigte Arabische Emirate  (zweimal geimpft),Vereinigte Arabische Emirate  (dreimal geimpft),Vietnam  (einmal geimpft),Vietnam  (zweimal geimpft),Vietnam  (dreimal geimpft)
2020-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,
2020-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,
2020-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
2020-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,
2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,
2020-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,
2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,
2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,
2020-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,
2020-12-27,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,
