"date","northamerica","southamerica","europe","asia","africa","northamericaper","southamericaper","europeper","asiaper","africaper"
2020-02-01,0,0,0,31,0,0,0,0,100,0
2020-02-02,0,0,0,43.71,0,0,0,0,100,0
2020-02-03,0,0,0,49.14,0,0,0,0,100,0
2020-02-04,0,0,0,51.57,0,0,0,0,100,0
2020-02-05,0,0,0,61.57,0,0,0,0,100,0
2020-02-06,0,0,0,66.14,0,0,0,0,100,0
2020-02-07,0,0,0,72.28,0,0,0,0,100,0
2020-02-08,0,0,0,78.14,0,0,0,0,100,0
2020-02-09,0,0,0,77.71,0,0,0,0,100,0
2020-02-10,0,0,0,83.86,0,0,0,0,100,0
2020-02-11,0,0,0,88.71,0,0,0,0,100,0
2020-02-12,0,0,0,79.14,0,0,0,0,100,0
2020-02-13,0,0,0,105.28,0,0,0,0,100,0
2020-02-14,0,0,0,114.85,0,0,0,0,100,0
2020-02-15,0,0,0.14,122.71,0,0,0,0.11,99.89,0
2020-02-16,0,0,0.14,123.28,0,0,0,0.11,99.89,0
2020-02-17,0,0,0.14,121.99,0,0,0,0.11,99.89,0
2020-02-18,0,0,0.14,127.72,0,0,0,0.11,99.89,0
2020-02-19,0,0,0.14,143.43,0,0,0,0.1,99.9,0
2020-02-20,0,0,0.14,124.85,0.29,0,0,0.11,99.66,0.23
2020-02-21,0,0,0.28,103.57,0.29,0,0,0.27,99.45,0.28
2020-02-22,0,0,0.29,112.71,0.29,0,0,0.26,99.49,0.26
2020-02-23,0,0,0.43,99.14,0.43,0,0,0.43,99.14,0.43
2020-02-24,0,0,1,107.42,0.43,0,0,0.92,98.69,0.4
2020-02-25,0,0,1.43,98.43,0.43,0,0,1.43,98.15,0.43
2020-02-26,0,0,1.85,90.14,0.57,0,0,2,97.39,0.62
2020-02-27,0,0,2.57,78,0.29,0,0,3.18,96.46,0.36
2020-02-28,0,0,3,85.15,0.57,0,0,3.38,95.98,0.64
2020-02-29,0.14,0,4.14,64.29,0.57,0.2,0,5.99,92.99,0.82
2020-03-01,0.14,0,4.71,69.99,0.43,0.19,0,6.26,92.99,0.57
2020-03-02,0.86,0,6.86,56.99,0.43,1.32,0,10.53,87.49,0.66
2020-03-03,1,0,10.57,52.28,0.43,1.56,0,16.44,81.33,0.67
2020-03-04,1.57,0,14.29,53.01,0.29,2.27,0,20.66,76.65,0.42
2020-03-05,1.71,0,19.99,54.29,0.29,2.24,0,26.21,71.17,0.38
2020-03-06,2,0.14,27.41,54.44,0,2.38,0.17,32.63,64.82,0
2020-03-07,2.29,0.14,33.28,53.28,0,2.57,0.16,37.4,59.87,0
2020-03-08,3,0.43,53.44,58.72,0.14,2.59,0.37,46.18,50.74,0.12
2020-03-09,2.58,0.43,67.43,59.58,0.14,1.98,0.33,51.81,45.77,0.11
2020-03-10,3.29,0.43,90.85,64.14,0.28,2.07,0.27,57.14,40.34,0.18
2020-03-11,3.57,0.43,121.13,69.13,0.42,1.83,0.22,62.22,35.51,0.22
2020-03-12,5,0.71,143.27,76.42,0.56,2.21,0.31,63.41,33.82,0.25
2020-03-13,6.14,0.72,188.56,83.43,1,2.19,0.26,67.38,29.81,0.36
2020-03-14,6.71,1.01,222.98,93.43,1.14,2.06,0.31,68.55,28.72,0.35
