land,population,continent,death,deathrate,northamerica,southamerica,europe,asia,africa
Tschechien,10670000,Europa,206,19.306,,,19.306,,
Ungarn,9770000,Europa,187,19.14,,,19.14,,
Bulgarien,6980000,Europa,105,15.043,,,15.043,,
Slowakei,5450000,Europa,74,13.578,,,13.578,,
Brasilien,211050000,Südamerika,2259,10.704,,10.704,,,
Polen,37970000,Europa,303,7.98,,,7.98,,
Libanon,6860000,Asien,54,7.872,,,,7.872,
Jordanien,10100000,Asien,76,7.525,,,,7.525,
Italien,60300000,Europa,400,6.633,,,6.633,,
Peru,32510000,Südamerika,194,5.967,,5.967,,,
Ukraine,44390000,Europa,240,5.407,,,5.407,,
Rumänien,19360000,Europa,104,5.372,,,5.372,,
Paraguay,7040000,Südamerika,36,5.114,,5.114,,,
Griechenland,10720000,Europa,53,4.944,,,4.944,,
Chile,18950000,Südamerika,86,4.538,,4.538,,,
Serbien,6940000,Europa,31,4.467,,,4.467,,
Mexiko,127580000,Nordamerika,475,3.723,3.723,,,,
Belgien,11480000,Europa,38,3.31,,,3.31,,
Frankreich,67060000,Europa,219,3.266,,,3.266,,
Österreich,8880000,Europa,29,3.266,,,3.266,,
USA,328240000,Nordamerika,1000,3.047,3.047,,,,
Russland,144370000,Europa,414,2.868,,,2.868,,
Argentinien,44940000,Südamerika,125,2.781,,2.781,,,
Libyen,6780000,Afrika,17,2.507,,,,,2.507
Kolumbien,50340000,Südamerika,126,2.503,,2.503,,,
Deutschland,83130000,Europa,185,2.225,,,2.225,,
