land,population,continent,death,deathrate,northamerica,southamerica,europe,asia,africa,land.1,population.1,continent.1,deathcum,deathcumrate,northamerica.1,southamerica.1,europe.1,asia.1,africa.1
Bulgarien,6980000,Europa,139.14,19.934,,,19.934,,,Bulgarien,6980000,Europa,27253,3904.44,,,3904.44,,
Ukraine,44390000,Europa,682.59,15.377,,,15.377,,,Nordmazedonien,2080000,Europa,7436,3575,,,3575,,
Rumänien,19360000,Europa,269.99,13.946,,,13.946,,,Georgien,3720000,Europa,11498,3090.86,,,3090.86,,
Ungarn,9770000,Europa,130.43,13.35,,,13.35,,,Tschechien,10670000,Europa,32079,3006.47,,,3006.47,,
Slowakei,5450000,Europa,46.29,8.494,,,8.494,,,Slowakei,5450000,Europa,13861,2543.3,,,2543.3,,
Russland,144370000,Europa,1214.01,8.409,,,8.409,,,Kroatien,4070000,Europa,10303,2531.45,,,2531.45,,
Tschechien,10670000,Europa,85.43,8.007,,,8.007,,,Slowenien,2090000,Europa,5063,2422.49,,,2422.49,,
Serbien,6940000,Europa,55.14,7.945,,,7.945,,,USA,328240000,Nordamerika,771118,2349.25,2349.25,,,,
Polen,37970000,Europa,279.31,7.356,,,7.356,,,Paraguay,7040000,Südamerika,16354,2323.01,,2323.01,,,
Griechenland,10720000,Europa,78.14,7.289,,,7.289,,,Belgien,11480000,Europa,26568,2314.29,,,2314.29,,
Österreich,8880000,Europa,44.14,4.971,,,4.971,,,Italien,60300000,Europa,133177,2208.57,,,2208.57,,
USA,328240000,Nordamerika,1122.25,3.419,3.419,,,,,Tunesien,11690000,Afrika,25344,2168.01,,,,,2168.01
Belgien,11480000,Europa,35.29,3.074,,,3.074,,,Großbritannien,66830000,Europa,144369,2160.24,,,2160.24,,
Türkei,83430000,Europa,215.83,2.587,,,2.587,,,Polen,37970000,Europa,80822,2128.58,,,2128.58,,
Aserbaidschan,10020000,Europa,25.57,2.552,,,2.552,,,Lettland,1910000,Europa,3950,2068.06,,,2068.06,,
Deutschland,83019213,Europa,198.58,2.392,,,2.392,,,Chile,18950000,Südamerika,38117,2011.45,,2011.45,,,
Großbritannien,66830000,Europa,147.43,2.206,,,2.206,,,Ecuador,17370000,Südamerika,33121,1906.79,,1906.79,,,
Jordanien,10100000,Asien,20.86,2.065,,,,2.065,,Spanien,47080000,Europa,87810,1865.12,,,1865.12,,
Philippinen,108120000,Asien,213.32,1.973,,,,1.973,,Russland,144370000,Europa,259107,1794.74,,,1794.74,,
Niederlande,17330000,Europa,33.43,1.929,,,1.929,,,Portugal,10270000,Europa,18321,1783.93,,,1783.93,,
Singapur,5700000,Asien,10.86,1.905,,,,1.905,,Frankreich,67060000,Europa,119424,1780.85,,,1780.85,,
Libyen,6780000,Afrika,12,1.77,,,,,1.77,Uruguay,3460000,Südamerika,6115,1767.34,,1767.34,,,
Paraguay,7040000,Südamerika,10.86,1.543,,1.543,,,,Panama,4250000,Nordamerika,7353,1730.12,1730.12,,,,
Costa Rica,5050000,Nordamerika,7.71,1.527,1.527,,,,,Kosovo,1790000,Europa,2982,1665.92,,,1665.92,,
Belarus,9470000,Europa,14.29,1.509,,,1.509,,,Bolivien,11510000,Südamerika,19062,1656.13,,1656.13,,,
Malaysia,31950000,Asien,46.58,1.458,,,,1.458,,Griechenland,10720000,Europa,17313,1615.02,,,1615.02,,
Mexiko,127580000,Nordamerika,183.33,1.437,1.437,,,,,Iran,82910000,Asien,128956,1555.37,,,,1555.37,
Iran,82910000,Asien,112.67,1.359,,,,1.359,,Südafrika,58560000,Afrika,89574,1529.61,,,,,1529.61
Libanon,6860000,Asien,9,1.312,,,,1.312,,Schweden,10290000,Europa,15110,1468.42,,,1468.42,,
Norwegen,5350000,Europa,7,1.308,,,1.308,,,Costa Rica,5050000,Nordamerika,7251,1435.84,1435.84,,,,
