land,population,continent,death,deathrate,northamerica,southamerica,europe,asia,africa,land,population,continent,deathcum,deathcumrate,northamerica,southamerica,europe,asia,africa
Ungarn,9770000,Europa,181.86,18.614,,,18.614,,,Peru,32510000,Südamerika,201770,6206.4,,6206.4,,,
Slowakei,5450000,Europa,73.57,13.499,,,13.499,,,Bulgarien,6980000,Europa,29536,4231.52,,,4231.52,,
Polen,37970000,Europa,401.15,10.565,,,10.565,,,Ungarn,9770000,Europa,36884,3775.23,,,3775.23,,
Tschechien,10670000,Europa,111.86,10.484,,,10.484,,,Tschechien,10670000,Europa,34551,3238.14,,,3238.14,,
Bulgarien,6980000,Europa,68,9.742,,,9.742,,,Rumänien,19360000,Europa,57741,2982.49,,,2982.49,,
Ukraine,44390000,Europa,415.45,9.359,,,9.359,,,Brasilien,211050000,Südamerika,616457,2920.9,,2920.9,,,
Griechenland,10720000,Europa,89.86,8.382,,,8.382,,,Slowakei,5450000,Europa,15415,2828.44,,,2828.44,,
Russland,144370000,Europa,1132.87,7.847,,,7.847,,,Argentinien,44940000,Südamerika,116771,2598.38,,2598.38,,,
Österreich,8880000,Europa,53.43,6.017,,,6.017,,,Kolumbien,50340000,Südamerika,129163,2565.81,,2565.81,,,
Serbien,6940000,Europa,36.29,5.229,,,5.229,,,USA,328240000,Nordamerika,798710,2433.31,2433.31,,,,
Deutschland,83019213,Europa,376.16,4.531,,,4.531,,,Belgien,11480000,Europa,27631,2406.88,,,2406.88,,
Rumänien,19360000,Europa,84,4.339,,,4.339,,,Paraguay,7040000,Südamerika,16513,2345.6,,2345.6,,,
Belgien,11480000,Europa,44.57,3.882,,,3.882,,,Polen,37970000,Europa,88508,2331,,,2331,,
USA,328240000,Nordamerika,1257.49,3.831,3.831,,,,,Mexiko,127580000,Nordamerika,296672,2325.38,2325.38,,,,
Niederlande,17330000,Europa,63.29,3.652,,,3.652,,,Italien,60300000,Europa,134929,2237.63,,,2237.63,,
Jordanien,10100000,Asien,33.86,3.352,,,,3.352,,Großbritannien,66830000,Europa,146935,2198.64,,,2198.64,,
Schweiz,8570000,Europa,24,2.8,,,2.8,,,Ukraine,44390000,Europa,96910,2183.15,,,2183.15,,
Vietnam,96460000,Asien,228.32,2.367,,,,2.367,,Tunesien,11690000,Afrika,25432,2175.53,,,,,2175.53
Türkei,83430000,Europa,186.47,2.235,,,2.235,,,Chile,18950000,Südamerika,38716,2043.06,,2043.06,,,
Großbritannien,66830000,Europa,119.16,1.783,,,1.783,,,Russland,144370000,Europa,284909,1973.46,,,1973.46,,
Aserbaidschan,10020000,Europa,17.29,1.726,,,1.726,,,Ecuador,17370000,Südamerika,33558,1931.95,,1931.95,,,
Peru,32510000,Südamerika,55.85,1.718,,1.718,,,,Spanien,47080000,Europa,88484,1879.44,,,1879.44,,
Portugal,10270000,Europa,17.43,1.697,,,1.697,,,Portugal,10270000,Europa,18673,1818.21,,,1818.21,,
Belarus,9470000,Europa,15.71,1.659,,,1.659,,,Frankreich,67060000,Europa,121424,1810.68,,,1810.68,,
Dänemark,5820000,Europa,9.57,1.644,,,1.644,,,Griechenland,10720000,Europa,19345,1804.57,,,1804.57,,
Libanon,6860000,Asien,10.71,1.561,,,,1.561,,Serbien,6940000,Europa,12209,1759.22,,,1759.22,,
Finnland,5520000,Europa,8.43,1.527,,,1.527,,,Bolivien,11510000,Südamerika,19317,1678.28,,1678.28,,,
Mexiko,127580000,Nordamerika,194.18,1.522,1.522,,,,,Iran,82910000,Asien,130764,1577.18,,,,1577.18,
Italien,60300000,Europa,91.72,1.521,,,1.521,,,Südafrika,58560000,Afrika,90148,1539.41,,,,,1539.41
Frankreich,67060000,Europa,101.86,1.519,,,1.519,,,Österreich,8880000,Europa,13218,1488.51,,,1488.51,,
