land,population,continent,death,deathrate,northamerica,southamerica,europe,asia,africa,land,population,continent,deathcum,deathcumrate,northamerica,southamerica,europe,asia,africa
Österreich,8880000,Europa,151.43,17.053,,,17.053,,,Bulgarien,6980000,Europa,36901,5286.68,,,5286.68,,
Finnland,5520000,Europa,43,7.79,,,7.79,,,Ungarn,9770000,Europa,46189,4727.64,,,4727.64,,
Großbritannien,66830000,Europa,238.72,3.572,,,3.572,,,Tschechien,10670000,Europa,40143,3762.23,,,3762.23,,
Griechenland,10720000,Europa,37.86,3.532,,,3.532,,,Slowakei,5450000,Europa,19879,3647.52,,,3647.52,,
Deutschland,83019213,Europa,206.55,2.488,,,2.488,,,Rumänien,19360000,Europa,65471,3381.77,,,3381.77,,
Ungarn,9770000,Europa,23.57,2.412,,,2.412,,,Polen,37970000,Europa,116022,3055.62,,,3055.62,,
Italien,60300000,Europa,140.02,2.322,,,2.322,,,Belgien,11480000,Europa,31439,2738.59,,,2738.59,,
Dänemark,5820000,Europa,12.57,2.16,,,2.16,,,Griechenland,10720000,Europa,29073,2712.03,,,2712.03,,
Slowakei,5450000,Europa,10.86,1.993,,,1.993,,,Italien,60300000,Europa,163244,2707.2,,,2707.2,,
Frankreich,67060000,Europa,130.3,1.943,,,1.943,,,Großbritannien,66830000,Europa,175330,2623.52,,,2623.52,,
Portugal,10270000,Europa,17.29,1.684,,,1.684,,,Russland,144370000,Europa,368011,2549.08,,,2549.08,,
Norwegen,5350000,Europa,8.71,1.628,,,1.628,,,Ukraine,44390000,Europa,112459,2533.43,,,2533.43,,
Spanien,47080000,Europa,72.27,1.535,,,1.535,,,Serbien,6940000,Europa,15980,2302.59,,,2302.59,,
Belgien,11480000,Europa,17.14,1.493,,,1.493,,,Spanien,47080000,Europa,104227,2213.83,,,2213.83,,
Bulgarien,6980000,Europa,9,1.289,,,1.289,,,Frankreich,67060000,Europa,146748,2188.31,,,2188.31,,
Russland,144370000,Europa,166.6,1.154,,,1.154,,,Portugal,10270000,Europa,22248,2166.31,,,2166.31,,
Schweden,10290000,Europa,11.86,1.153,,,1.153,,,Österreich,8880000,Europa,18117,2040.2,,,2040.2,,
Tschechien,10670000,Europa,12.14,1.138,,,1.138,,,Schweden,10290000,Europa,18772,1824.3,,,1824.3,,
Serbien,6940000,Europa,5,0.72,,,0.72,,,Deutschland,83019213,Europa,135292,1629.65,,,1629.65,,
Schweiz,8570000,Europa,5.43,0.634,,,0.634,,,Schweiz,8570000,Europa,13710,1599.77,,,1599.77,,
Rumänien,19360000,Europa,9.72,0.502,,,0.502,,,Niederlande,17330000,Europa,22865,1319.39,,,1319.39,,
Polen,37970000,Europa,17.58,0.463,,,0.463,,,Türkei,83430000,Europa,98751,1183.64,,,1183.64,,
Niederlande,17330000,Europa,6.29,0.363,,,0.363,,,Dänemark,5820000,Europa,6184,1062.54,,,1062.54,,
Belarus,9470000,Europa,3.29,0.347,,,0.347,,,Kasachstan,18510000,Europa,19013,1027.17,,,1027.17,,
Türkei,83430000,Europa,15.1,0.181,,,0.181,,,Aserbaidschan,10020000,Europa,9707,968.76,,,968.76,,
Ukraine,44390000,Europa,0,0,,,0,,,Belarus,9470000,Europa,6940,732.84,,,732.84,,
Aserbaidschan,10020000,Europa,0,0,,,0,,,Finnland,5520000,Europa,3939,713.59,,,713.59,,
Kasachstan,18510000,Europa,0,0,,,0,,,Norwegen,5350000,Europa,2932,548.04,,,548.04,,
