land,population,continent,deathrate,datum
Rumänien,19360000,Europa,21.96,2021-10-27
Bulgarien,6980000,Europa,17.908,2021-10-27
Moldawien,2660000,Europa,14.662,2021-10-27
Armenien,2960000,Europa,13.561,2021-10-27
Ukraine,44390000,Europa,12.802,2021-10-27
Lettland,1910000,Europa,12.34,2021-10-27
Georgien,3720000,Europa,10.944,2021-10-27
Litauen,2790000,Europa,10.703,2021-10-27
Serbien,6940000,Europa,8.769,2021-10-27
Bosnien und Herzeg.,3300000,Europa,8.527,2021-10-27
Russland,144370000,Europa,7.275,2021-10-27
Nordmazedonien,2080000,Europa,6.111,2021-10-27
Kroatien,4070000,Europa,5.791,2021-10-27
Estland,1330000,Europa,4.835,2021-10-27
USA,328240000,Nordamerika,4.17,2021-10-27
Slowenien,2090000,Europa,4.033,2021-10-27
Trinidad Tobago,1390000,Nordamerika,3.806,2021-10-27
Griechenland,10720000,Europa,3.798,2021-10-27
Costa Rica,5050000,Nordamerika,3.196,2021-10-27
Jamaika,2950000,Nordamerika,3.051,2021-10-27
Guatemala,16600000,Nordamerika,2.986,2021-10-27
Ungarn,9770000,Europa,2.91,2021-10-27
Türkei,83430000,Europa,2.56,2021-10-27
Malaysia,31950000,Asien,2.397,2021-10-27
Aserbaidschan,10020000,Europa,2.239,2021-10-27
Slowakei,5450000,Europa,2.228,2021-10-27
Albanien,2850000,Europa,2.207,2021-10-27
Großbritannien,66830000,Europa,2.176,2021-10-27
Libyen,6780000,Afrika,2.17,2021-10-27
Mauritius,1270000,Afrika,2.134,2021-10-27
Singapur,5700000,Asien,2.13,2021-10-27
Iran,82910000,Asien,1.949,2021-10-27
Irland,4940000,Europa,1.937,2021-10-27
Philippinen,108120000,Asien,1.812,2021-10-27
Kasachstan,18510000,Europa,1.752,2021-10-27
Mexiko,127580000,Nordamerika,1.726,2021-10-27
Belarus,9470000,Europa,1.72,2021-10-27
El Salvador,6450000,Nordamerika,1.684,2021-10-27
Brasilien,211050000,Südamerika,1.659,2021-10-27
Belgien,11480000,Europa,1.618,2021-10-27
Palästina,4690000,Asien,1.584,2021-10-27
Polen,37970000,Europa,1.573,2021-10-27
Österreich,8880000,Europa,1.287,2021-10-27
Tschechien,10670000,Europa,1.246,2021-10-27
Tunesien,11690000,Afrika,1.222,2021-10-27
Kuba,11330000,Nordamerika,1.21,2021-10-27
Jordanien,10100000,Asien,1.132,2021-10-27
Gabun,2170000,Afrika,1.055,2021-10-27
Deutschland,83130000,Europa,1.036,2021-10-27
Honduras,9750000,Nordamerika,0.923,2021-10-27
Kanada,37590000,Nordamerika,0.897,2021-10-27
Peru,32510000,Südamerika,0.896,2021-10-27
Thailand,69630000,Asien,0.895,2021-10-27
Sri Lanka,21800000,Asien,0.858,2021-10-27
Irak,39310000,Asien,0.818,2021-10-27
Botswana,2300000,Afrika,0.809,2021-10-27
