land,population,continent,deathrate,datum
Rumänien,19360000,Europa,21.96,datum[1,1]
Bulgarien,6980000,Europa,17.908,datum[1,1]
Moldawien,2660000,Europa,14.662,datum[1,1]
Armenien,2960000,Europa,13.561,datum[1,1]
Ukraine,44390000,Europa,12.802,datum[1,1]
Lettland,1910000,Europa,12.34,datum[1,1]
Georgien,3720000,Europa,10.944,datum[1,1]
Litauen,2790000,Europa,10.703,datum[1,1]
Serbien,6940000,Europa,8.769,datum[1,1]
Bosnien und Herzeg.,3300000,Europa,8.527,datum[1,1]
Russland,144370000,Europa,7.275,datum[1,1]
Nordmazedonien,2080000,Europa,6.111,datum[1,1]
Kroatien,4070000,Europa,5.791,datum[1,1]
Estland,1330000,Europa,4.835,datum[1,1]
USA,328240000,Nordamerika,4.17,datum[1,1]
Slowenien,2090000,Europa,4.033,datum[1,1]
Trinidad Tobago,1390000,Nordamerika,3.806,datum[1,1]
Griechenland,10720000,Europa,3.798,datum[1,1]
Costa Rica,5050000,Nordamerika,3.196,datum[1,1]
Jamaika,2950000,Nordamerika,3.051,datum[1,1]
Guatemala,16600000,Nordamerika,2.986,datum[1,1]
Ungarn,9770000,Europa,2.91,datum[1,1]
Türkei,83430000,Europa,2.56,datum[1,1]
Malaysia,31950000,Asien,2.397,datum[1,1]
Aserbaidschan,10020000,Europa,2.239,datum[1,1]
Slowakei,5450000,Europa,2.228,datum[1,1]
Albanien,2850000,Europa,2.207,datum[1,1]
Großbritannien,66830000,Europa,2.176,datum[1,1]
Libyen,6780000,Afrika,2.17,datum[1,1]
Mauritius,1270000,Afrika,2.134,datum[1,1]
Singapur,5700000,Asien,2.13,datum[1,1]
Iran,82910000,Asien,1.949,datum[1,1]
Irland,4940000,Europa,1.937,datum[1,1]
Philippinen,108120000,Asien,1.812,datum[1,1]
Kasachstan,18510000,Europa,1.752,datum[1,1]
Mexiko,127580000,Nordamerika,1.726,datum[1,1]
Belarus,9470000,Europa,1.72,datum[1,1]
El Salvador,6450000,Nordamerika,1.684,datum[1,1]
Brasilien,211050000,Südamerika,1.659,datum[1,1]
Belgien,11480000,Europa,1.618,datum[1,1]
Palästina,4690000,Asien,1.584,datum[1,1]
Polen,37970000,Europa,1.573,datum[1,1]
Österreich,8880000,Europa,1.287,datum[1,1]
Tschechien,10670000,Europa,1.246,datum[1,1]
Tunesien,11690000,Afrika,1.222,datum[1,1]
Kuba,11330000,Nordamerika,1.21,datum[1,1]
Jordanien,10100000,Asien,1.132,datum[1,1]
Gabun,2170000,Afrika,1.055,datum[1,1]
Deutschland,83130000,Europa,1.036,datum[1,1]
Honduras,9750000,Nordamerika,0.923,datum[1,1]
Kanada,37590000,Nordamerika,0.897,datum[1,1]
Peru,32510000,Südamerika,0.896,datum[1,1]
Thailand,69630000,Asien,0.895,datum[1,1]
Sri Lanka,21800000,Asien,0.858,datum[1,1]
Irak,39310000,Asien,0.818,datum[1,1]
Botswana,2300000,Afrika,0.809,datum[1,1]
Eswatini,1150000,Afrika,0.748,datum[1,1]
Südafrika,58560000,Afrika,0.72,datum[1,1]
Niederlande,17330000,Europa,0.709,datum[1,1]
Libanon,6860000,Asien,0.708,datum[1,1]
Israel,9050000,Asien,0.695,datum[1,1]
Vietnam,96460000,Asien,0.652,datum[1,1]
Kolumbien,50340000,Südamerika,0.647,datum[1,1]
Syrien,17070000,Asien,0.644,datum[1,1]
Italien,60300000,Europa,0.63,datum[1,1]
Spanien,47080000,Europa,0.628,datum[1,1]
Australien,25360000,Asien,0.597,datum[1,1]
Zypern,1200000,Europa,0.592,datum[1,1]
Schweiz,8570000,Europa,0.567,datum[1,1]
Chile,18950000,Südamerika,0.52,datum[1,1]
Frankreich,67060000,Europa,0.49,datum[1,1]
Portugal,10270000,Europa,0.487,datum[1,1]
DR Kongo,5380000,Afrika,0.478,datum[1,1]
Kamerun,25880000,Afrika,0.475,datum[1,1]
Panama,4250000,Nordamerika,0.471,datum[1,1]
Ägypten,100390000,Afrika,0.46,datum[1,1]
Kirgisistan,6460000,Asien,0.443,datum[1,1]
Finnland,5520000,Europa,0.44,datum[1,1]
Schweden,10290000,Europa,0.431,datum[1,1]
Namibia,2490000,Afrika,0.402,datum[1,1]
Argentinien,44940000,Südamerika,0.378,datum[1,1]
Papua-Neuguinea,8780000,Asien,0.375,datum[1,1]
Venezuela,28520000,Südamerika,0.366,datum[1,1]
Dänemark,5820000,Europa,0.344,datum[1,1]
Dom. Rep.,10740000,Nordamerika,0.332,datum[1,1]
Nepal,28610000,Asien,0.31,datum[1,1]
Bolivien,11510000,Südamerika,0.298,datum[1,1]
Indien,1366420000,Asien,0.297,datum[1,1]
Uruguay,3460000,Südamerika,0.289,datum[1,1]
Südkorea,51710000,Asien,0.273,datum[1,1]
Marokko,36470000,Afrika,0.262,datum[1,1]
Somalia,15440000,Afrika,0.259,datum[1,1]
Jemen,29160000,Asien,0.23,datum[1,1]
Paraguay,7040000,Südamerika,0.203,datum[1,1]
Sudan,42810000,Afrika,0.203,datum[1,1]
Norwegen,5350000,Europa,0.187,datum[1,1]
Ecuador,17370000,Südamerika,0.173,datum[1,1]
Kosovo,1790000,Europa,0.162,datum[1,1]
VAE,9770000,Asien,0.161,datum[1,1]
Äthiopien,112080000,Afrika,0.159,datum[1,1]
Simbabwe,14650000,Afrika,0.156,datum[1,1]
Lesotho,2130000,Afrika,0.136,datum[1,1]
Indonesien,270630000,Asien,0.117,datum[1,1]
Oman,4970000,Asien,0.115,datum[1,1]
