date,de,bw,by,be,bb,hb,hh,he,mv,ni,nw,rp,sl,sn,st,sh,th
2016-01-01,2558,293,355,87,91,21,53,172,62,247,562,138,28,169,88,101,91
2016-01-02,2422,277,346,99,84,25,52,156,49,258,537,129,40,127,74,89,80
2016-01-03,2522,261,349,96,87,17,56,180,56,265,562,132,31,161,95,105,69
2016-01-04,2743,312,425,93,102,21,62,176,63,299,563,136,36,161,95,111,88
2016-01-05,2633,348,380,106,86,24,57,212,78,271,494,136,36,148,102,86,69
2016-01-06,2578,278,370,84,96,14,62,184,79,269,548,147,30,128,91,119,79
2016-01-07,2584,284,365,98,80,24,56,187,65,276,569,125,32,151,105,88,79
2016-01-08,2765,304,372,95,105,25,66,178,62,339,602,121,42,155,93,120,86
2016-01-09,2579,286,357,92,88,11,55,176,69,267,580,130,37,150,97,107,77
2016-01-10,2585,303,321,94,108,30,57,192,71,293,563,111,37,141,75,99,90
2016-01-11,2751,315,366,114,76,19,55,203,58,298,601,156,40,154,100,113,83
2016-01-12,2627,310,368,84,76,21,53,170,69,281,586,129,29,158,110,105,78
2016-01-13,2698,313,357,108,105,18,64,192,77,286,588,126,31,143,94,107,89
2016-01-14,2581,301,395,98,99,13,46,176,67,274,579,122,34,125,86,97,69
2016-01-15,2657,285,406,93,114,24,48,182,67,281,553,124,37,158,89,102,94
2016-01-16,2627,285,399,109,74,23,50,186,73,285,570,124,40,161,76,98,74
2016-01-17,2498,302,349,102,94,14,49,200,50,227,523,130,42,160,95,97,64
2016-01-18,2624,337,374,85,83,21,57,164,52,279,562,126,37,176,85,103,83
2016-01-19,2641,317,374,110,89,21,61,180,50,299,564,128,32,171,72,93,80
2016-01-20,2640,304,401,123,92,33,45,174,45,277,552,127,25,141,97,127,77
2016-01-21,2685,318,351,90,103,25,44,197,63,260,618,137,33,151,90,108,97
2016-01-22,2668,299,352,114,102,22,59,189,77,263,608,115,41,152,88,105,82
2016-01-23,2688,312,392,103,90,22,48,188,62,281,593,139,38,154,93,86,87
2016-01-24,2681,291,407,101,90,15,52,189,66,263,550,152,38,178,91,111,87
2016-01-25,2777,323,414,105,75,25,50,209,74,302,597,142,39,167,70,109,76
2016-01-26,2679,301,338,99,100,23,62,194,61,269,614,133,35,169,88,102,91
2016-01-27,2691,348,339,103,97,28,49,192,63,281,567,134,36,158,84,109,103
2016-01-28,2639,318,352,98,77,25,59,177,72,255,582,115,32,186,95,105,91
2016-01-29,2755,315,382,87,96,36,56,173,56,295,589,136,39,187,101,121,86
2016-01-30,2650,310,364,104,79,21,58,185,60,284,606,130,35,151,78,94,91
2016-01-31,2516,273,342,113,92,12,43,183,48,280,559,123,31,148,85,98,86
2016-02-01,2683,306,418,106,79,31,42,176,57,236,607,137,39,172,91,91,95
