datum,covid,beatmet,belegt,frei,notfall,gesamt,reserve,andere,nichtbeatmet
2020-03-20,200,0,1152,5732,0,6884,6884,952,200
2020-03-21,308,0,5656,7108,0,12764,12764,5348,308
2020-03-22,364,0,6510,7424,0,13934,13934,6146,364
2020-03-23,451,0,7556,8100,0,15656,15656,7105,451
2020-03-24,616,0,9712,9424,0,19136,19136,9096,616
2020-03-25,789,0,10942,10162,0,21104,21104,10153,789
2020-03-26,824,0,11920,10318,0,22238,22238,11096,824
2020-03-27,905,642,12548,10778,0,23326,23326,11643,263
2020-03-28,1001,785,13476,10822,0,24298,24298,12475,216
2020-03-29,1063,855,13448,10992,0,24440,24440,12385,208
2020-03-30,1203,951,14138,11252,0,25390,25390,12935,252
2020-03-31,1551,0,16784,12454,0,29238,29238,15233,1551
2020-04-01,1785,1532,18690,14188,0,32878,32878,16905,253
2020-04-02,2103,1797,21324,16034,0,37358,37358,19221,306
2020-04-03,2364,2021,23438,16858,0,40296,40296,21074,343
2020-04-04,2474,0,23830,17378,0,41208,41208,21356,2474
2020-04-05,2531,0,23884,17610,0,41494,41494,21353,2531
2020-04-06,2554,0,23992,17618,0,41610,41610,21438,2554
2020-04-07,2644,0,23876,17612,0,41488,41488,21232,2644
2020-04-08,2661,0,25052,17934,0,42986,42986,22391,2661
2020-04-09,2718,1464,26258,18014,0,44272,44272,23540,1254
2020-04-10,2704,1810,25762,17980,0,43742,43742,23058,894
2020-04-11,2657,1986,24924,18046,0,42970,42970,22267,671
2020-04-12,2657,1856,25082,18336,0,43418,43418,22425,801
2020-04-13,2722,1841,25662,18432,0,44094,44094,22940,881
2020-04-14,2725,2215,26246,18886,0,45132,45132,23521,510
2020-04-15,2739,1996,28238,19838,0,48076,48076,25499,743
2020-04-16,2817,2083,31346,22416,0,53762,53762,28529,734
2020-04-17,2883,2145,33722,22910,0,56632,56632,30839,738
2020-04-18,2933,2180,34674,23210,0,57884,57884,31741,753
2020-04-19,2875,2113,33912,24062,0,57974,57974,31037,762
2020-04-20,2905,2009,34540,23984,0,58524,58524,31635,896
2020-04-21,2860,2112,36378,23740,0,60118,60118,33518,748
2020-04-22,2744,2046,37132,23800,0,60932,60932,34388,698
2020-04-23,2728,2045,37452,23884,0,61336,61336,34724,683
2020-04-24,2650,1971,37808,24020,0,61828,61828,35158,679
2020-04-25,2543,1883,37526,24036,0,61562,61562,34983,660
2020-04-26,2529,1857,36558,24842,0,61400,61400,34029,672
2020-04-27,2471,1729,36922,24520,0,61442,61442,34451,742
2020-04-28,2394,1748,37946,23864,0,61810,61810,35552,646
2020-04-29,2313,1719,38408,23774,0,62182,62182,36095,594
2020-04-30,2241,1605,38310,23850,0,62160,62160,36069,636
2020-05-01,2124,1549,38436,24000,0,62436,62436,36312,575
2020-05-02,2052,1508,37158,25192,0,62350,62350,35106,544
2020-05-03,2018,1441,37412,24918,0,62330,62330,35394,577
2020-05-04,1980,1396,37238,24794,0,62032,62032,35258,584
2020-05-05,1906,1346,38390,23626,0,62016,62016,36484,560
2020-05-06,1825,1311,39120,23086,0,62206,62206,37295,514
2020-05-07,1769,1230,39072,23014,0,62086,62086,37303,539
2020-05-08,1662,1185,38968,22738,0,61706,61706,37306,477
2020-05-09,1596,1121,38574,23158,0,61732,61732,36978,475
2020-05-10,1605,1073,37468,23990,0,61458,61458,35863,532
2020-05-11,1590,1063,37782,23680,0,61462,61462,36192,527
2020-05-12,1499,1020,39582,23220,0,62802,62802,38083,479
2020-05-13,1386,974,39460,22562,0,62022,62022,38074,412
2020-05-14,1318,892,39326,22878,0,62204,62204,38008,426
2020-05-15,1235,838,39982,22238,0,62220,62220,38747,397
2020-05-16,1176,821,39258,22630,0,61888,61888,38082,355
2020-05-17,1128,797,38224,23772,0,61996,61996,37096,331
2020-05-18,1126,747,38140,23684,0,61824,61824,37014,379
2020-05-19,1088,716,39294,22202,0,61496,61496,38206,372
2020-05-20,1021,672,39756,22088,0,61844,61844,38735,349
2020-05-21,1000,651,39754,22136,0,61890,61890,38754,349
2020-05-22,975,597,38636,23222,0,61858,61858,37661,378
2020-05-23,931,578,39010,23200,0,62210,62210,38079,353
2020-05-24,900,562,38042,23898,0,61940,61940,37142,338
