datum,covid,beatmet,belegt,frei,notfall,gesamt,andere,nichtbeatmet,neuaufnahmen,gestorben,neuave,gestave
2020-04-11,2652,1986,12462,8798,0,21260,9810,666,,30,,
2020-04-12,2652,1859,12541,8870,0,21411,9889,793,,35,,
2020-04-13,2719,1841,12831,8982,0,21813,10112,878,,88,,
2020-04-14,2722,1848,13123,9216,0,22339,10401,874,,66,,
2020-04-15,2735,1996,14119,9709,0,23828,11384,739,,228,,
2020-04-16,2810,2083,15673,10903,0,26576,12863,727,,255,,
2020-04-17,2879,2145,16835,11261,0,28096,13956,734,,305,,144
2020-04-18,2928,2180,17311,11410,0,28721,14383,748,,123,,157
2020-04-19,2870,2113,16930,11834,0,28764,14060,757,,50,,159
2020-04-20,2900,2009,17244,11802,0,29046,14344,891,,59,,155
2020-04-21,2855,2112,18163,11812,0,29975,15308,743,,108,,161
2020-04-22,2739,2046,18540,11857,0,30397,15801,693,,91,,142
2020-04-23,2720,2045,18701,11878,0,30579,15981,675,,115,,122
2020-04-24,2644,1971,18879,11944,0,30823,16235,673,,44,,84
2020-04-25,2538,1883,18738,11959,0,30697,16200,655,,22,,70
2020-04-26,2524,1857,18254,12359,0,30613,15730,667,,29,,67
2020-04-27,2466,1729,18436,12203,0,30639,15970,737,,24,,62
2020-04-28,2391,1748,18948,11890,0,30838,16557,643,,68,,56
2020-04-29,2310,1719,19179,11844,0,31023,16869,591,,69,,53
2020-04-30,2235,1605,19130,11891,0,31021,16895,630,,52,,44
2020-05-01,2118,1549,19193,11947,0,31140,17075,569,,40,,43
2020-05-02,2046,1508,18554,12551,0,31105,16508,538,,46,,47
2020-05-03,2011,1441,18681,12417,0,31098,16670,570,,6,,44
2020-05-04,1976,1396,18594,12346,0,30940,16618,580,,91,,53
2020-05-05,1903,1346,19170,11772,0,30942,17267,557,,73,,54
2020-05-06,1820,1311,19535,11499,0,31034,17715,509,,24,,47
2020-05-07,1763,1230,19511,11462,0,30973,17748,533,,28,,44
2020-05-08,1659,1185,19459,11327,0,30786,17800,474,,39,,44
2020-05-09,1594,1121,19262,11519,0,30781,17668,473,,26,,41
2020-05-10,1603,1073,18709,11935,0,30644,17106,530,,28,,44
2020-05-11,1587,1063,18866,11784,0,30650,17279,524,,44,,37
2020-05-12,1496,1020,19766,11558,0,31324,18270,476,,51,,34
2020-05-13,1384,974,19705,11239,0,30944,18321,410,,51,,38
2020-05-14,1316,892,19637,11411,0,31048,18321,424,,35,,39
2020-05-15,1232,838,19965,11091,0,31056,18733,394,,306,,77
2020-05-16,1173,821,19603,11287,0,30890,18430,352,,19,,76
2020-05-17,1125,797,19086,11852,0,30938,17961,328,,11,,74
