datum,covid,belegt,frei,notfall,gesamt,andere
2020-03-20,200,598,2921,0,3519,398
2020-03-21,308,2871,3627,0,6498,2563
2020-03-22,364,3300,3783,0,7083,2936
2020-03-23,451,3832,4121,0,7953,3381
2020-03-24,616,4942,4797,0,9739,4326
2020-03-25,789,5596,5173,0,10769,4807
2020-03-26,824,6090,5239,0,11329,5266
2020-03-27,905,6426,5479,0,11905,5521
2020-03-28,1001,6895,5497,0,12392,5894
2020-03-29,1063,6874,5589,0,12463,5811
2020-03-30,1203,7225,5719,0,12944,6022
2020-03-31,1551,8550,6337,0,14887,6999
2020-04-01,1785,9470,7214,0,16684,7685
2020-04-02,2103,10807,8127,0,18934,8704
2020-04-03,2364,11888,8566,0,20454,9524
2020-04-04,2474,12099,8796,0,20895,9625
2020-04-05,2531,12132,8829,0,20961,9601
2020-04-06,2554,12170,8727,0,20897,9616
2020-04-07,2644,12092,8643,0,20735,9448
2020-04-08,2661,12773,8920,0,21693,10112
2020-04-09,2718,13354,8975,0,22329,10636
2020-04-10,2704,13115,8882,0,21997,10411
2020-04-11,2657,12703,8914,0,21617,10046
2020-04-12,2657,12778,8985,0,21763,10121
2020-04-13,2722,13066,9091,0,22157,10344
2020-04-14,2725,13355,9337,0,22692,10630
2020-04-15,2739,14322,9847,0,24169,11583
2020-04-16,2817,15907,11075,0,26982,13090
2020-04-17,2883,17093,11441,0,28534,14210
2020-04-18,2933,17568,11611,0,29179,14635
2020-04-19,2875,17185,12036,0,29221,14310
2020-04-20,2905,17499,12016,0,29515,14594
2020-04-21,2860,18438,12020,0,30458,15578
2020-04-22,2744,18834,12058,0,30892,16090
2020-04-23,2728,19032,12112,0,31144,16304
2020-04-24,2650,19237,12205,0,31442,16587
2020-04-25,2543,19100,12232,0,31332,16557
2020-04-26,2529,18617,12633,0,31250,16088
2020-04-27,2471,18803,12479,0,31282,16332
2020-04-28,2394,19345,12164,0,31509,16951
2020-04-29,2313,19613,12102,0,31715,17300
2020-04-30,2241,19570,12161,0,31731,17329
2020-05-01,2124,19642,12243,0,31885,17518
2020-05-02,2052,19007,12867,0,31874,16955
2020-05-03,2018,19130,12733,0,31863,17112
2020-05-04,1980,19053,12667,0,31720,17073
2020-05-05,1906,19670,12101,0,31771,17764
