datum,covid,beatmet,belegt,frei,notfall,gesamt,andere,nichtbeatmet
2020-03-20,200,0,576,2866,0,3442,376,200
2020-03-21,308,0,2828,3554,0,6382,2520,308
2020-03-22,364,0,3255,3712,0,6967,2891,364
2020-03-23,451,0,3778,4050,0,7828,3327,451
2020-03-24,616,0,4856,4712,0,9568,4240,616
2020-03-25,789,0,5471,5081,0,10552,4682,789
2020-03-26,824,0,5960,5159,0,11119,5136,824
2020-03-27,905,642,6274,5389,0,11663,5369,263
2020-03-28,1001,785,6738,5411,0,12149,5737,216
2020-03-29,1063,855,6724,5496,0,12220,5661,208
2020-03-30,1203,951,7069,5626,0,12695,5866,252
2020-03-31,1550,0,8392,6227,0,14619,6842,1550
2020-04-01,1784,1532,9345,7094,0,16439,7561,252
2020-04-02,2102,1797,10662,8017,0,18679,8560,305
2020-04-03,2361,2021,11719,8429,0,20148,9358,340
2020-04-04,2471,0,11915,8689,0,20604,9444,2471
2020-04-05,2528,0,11942,8805,0,20747,9414,2528
2020-04-06,2551,0,11996,8809,0,20805,9445,2551
2020-04-07,2641,0,11938,8806,0,20744,9297,2641
2020-04-08,2654,0,12526,8967,0,21493,9872,2654
2020-04-09,2714,1464,13129,9007,0,22136,10415,1250
2020-04-10,2702,1810,12881,8990,0,21871,10179,892
2020-04-11,2652,1986,12462,9023,0,21485,9810,666
2020-04-12,2652,1856,12541,9168,0,21709,9889,796
2020-04-13,2719,1841,12831,9216,0,22047,10112,878
2020-04-14,2722,2215,13123,9443,0,22566,10401,507
2020-04-15,2735,1996,14119,9919,0,24038,11384,739
2020-04-16,2810,2083,15673,11208,0,26881,12863,727
2020-04-17,2879,2145,16861,11455,0,28316,13982,734
2020-04-18,2928,2180,17337,11605,0,28942,14409,748
2020-04-19,2870,2113,16956,12031,0,28987,14086,757
2020-04-20,2900,2009,17270,11992,0,29262,14370,891
2020-04-21,2855,2112,18189,11870,0,30059,15334,743
2020-04-22,2739,2046,18566,11900,0,30466,15827,693
2020-04-23,2720,2045,18726,11942,0,30668,16006,675
2020-04-24,2644,1971,18904,12010,0,30914,16260,673
2020-04-25,2538,1883,18763,12018,0,30781,16225,655
2020-04-26,2524,1857,18279,12421,0,30700,15755,667
2020-04-27,2466,1729,18461,12260,0,30721,15995,737
2020-04-28,2391,1748,18973,11932,0,30905,16582,643
2020-04-29,2310,1719,19204,11887,0,31091,16894,591
2020-04-30,2235,1605,19155,11925,0,31080,16920,630
2020-05-01,2118,1549,19218,12000,0,31218,17100,569
2020-05-02,2046,1508,18579,12596,0,31175,16533,538
