datum,covid,beatmet,belegt,frei,notfall,gesamt,reserve
2020-03-20,200,,576,2866,0,3442,3442
2020-03-21,308,,2828,3554,0,6382,6382
2020-03-22,364,,3255,3712,0,6967,6967
2020-03-23,451,,3778,4050,0,7828,7828
2020-03-24,616,,4856,4712,0,9568,9568
2020-03-25,789,,5471,5081,0,10552,10552
2020-03-26,824,,5960,5159,0,11119,11119
2020-03-27,905,642,6274,5389,0,11663,11663
2020-03-28,1001,785,6738,5411,0,12149,12149
2020-03-29,1063,855,6724,5496,0,12220,12220
2020-03-30,1203,951,7069,5626,0,12695,12695
2020-03-31,1551,,8392,6227,0,14619,14619
2020-04-01,1785,1532,9345,7094,0,16439,16439
2020-04-02,2103,1797,10662,8017,0,18679,18679
2020-04-03,2364,2021,11719,8429,0,20148,20148
2020-04-04,2474,,11915,8689,0,20604,20604
2020-04-05,2531,,11942,8805,0,20747,20747
2020-04-06,2554,,11996,8809,0,20805,20805
2020-04-07,2644,,11938,8806,0,20744,20744
2020-04-08,2661,,12526,8967,0,21493,21493
2020-04-09,2718,1464,13129,9007,0,22136,22136
2020-04-10,2704,1810,12881,8990,0,21871,21871
2020-04-11,2657,1986,12462,9023,0,21485,21485
2020-04-12,2657,1856,12541,9168,0,21709,21709
2020-04-13,2722,1841,12831,9216,0,22047,22047
2020-04-14,2725,2215,13123,9443,0,22566,22566
2020-04-15,2739,1996,14119,9919,0,24038,24038
2020-04-16,2817,2083,15673,11208,0,26881,26881
2020-04-17,2883,2145,16861,11455,0,28316,28316
2020-04-18,2933,2180,17337,11605,0,28942,28942
2020-04-19,2875,2113,16956,12031,0,28987,28987
2020-04-20,2905,2009,17270,11992,0,29262,29262
2020-04-21,2860,2112,18189,11870,0,30059,30059
2020-04-22,2744,2046,18566,11900,0,30466,30466
2020-04-23,2728,2045,18726,11942,0,30668,30668
2020-04-24,2650,1971,18904,12010,0,30914,30914
2020-04-25,2543,1883,18763,12018,0,30781,30781
2020-04-26,2529,1857,18279,12421,0,30700,30700
2020-04-27,2471,1729,18461,12260,0,30721,30721
2020-04-28,2394,1748,18973,11932,0,30905,30905
2020-04-29,2313,1719,19204,11887,0,31091,31091
2020-04-30,2241,1605,19155,11925,0,31080,31080
2020-05-01,2124,1549,19218,12000,0,31218,31218
2020-05-02,2052,1508,18579,12596,0,31175,31175
2020-05-03,2018,1441,18706,12459,0,31165,31165
2020-05-04,1980,1396,18619,12397,0,31016,31016
2020-05-05,1906,1346,19195,11813,0,31008,31008
2020-05-06,1825,1311,19560,11543,0,31103,31103
2020-05-07,1769,1230,19536,11507,0,31043,31043
2020-05-08,1662,1185,19484,11369,0,30853,30853
2020-05-09,1596,1121,19287,11579,0,30866,30866
2020-05-10,1605,1073,18734,11995,0,30729,30729
2020-05-11,1590,1063,18891,11840,0,30731,30731
2020-05-12,1499,1020,19791,11610,0,31401,31401
2020-05-13,1386,974,19730,11281,0,31011,31011
2020-05-14,1318,892,19663,11439,0,31102,31102
2020-05-15,1235,838,19991,11119,0,31110,31110
2020-05-16,1176,821,19629,11315,0,30944,30944
2020-05-17,1128,797,19112,11886,0,30998,30998
2020-05-18,1126,747,19070,11842,0,30912,30912
2020-05-19,1088,716,19647,11101,0,30748,30748
2020-05-20,1021,672,19878,11044,0,30922,30922
2020-05-21,1000,651,19877,11068,0,30945,30945
2020-05-22,975,597,19318,11611,0,30929,30929
2020-05-23,931,578,19505,11600,0,31105,31105
2020-05-24,900,562,19021,11949,0,30970,30970
2020-05-25,885,547,19076,11984,0,31060,31060
2020-05-26,816,525,19611,11329,0,30940,30940
2020-05-27,751,482,19874,10988,0,30862,30862
2020-05-28,726,451,19971,10850,0,30821,30821
2020-05-29,725,426,19899,10851,0,30750,30750
2020-05-30,716,421,19804,10965,0,30769,30769
2020-05-31,699,410,19139,11561,0,30700,30700
2020-06-01,698,385,19074,11632,0,30706,30706
2020-06-02,694,378,19143,11532,0,30675,30675
2020-06-03,635,360,19841,10899,0,30740,30740
2020-06-04,600,341,20160,10555,0,30715,30715
2020-06-05,588,339,20239,10460,0,30699,30699
2020-06-06,562,337,19964,10706,0,30670,30670
2020-06-07,567,330,19376,11259,0,30635,30635
2020-06-08,546,316,19230,11402,0,30632,30632
2020-06-09,522,320,20070,10649,0,30719,30719
2020-06-10,488,293,20218,10534,0,30752,30752
2020-06-11,453,281,20144,10577,0,30721,30721
2020-06-12,453,274,19675,11001,0,30676,30676
2020-06-13,442,262,19618,10976,0,30594,30594
2020-06-14,438,256,19233,11333,0,30566,30566
2020-06-15,434,262,19319,11353,0,30672,30672
2020-06-16,422,258,20038,10674,0,30712,30712
2020-06-17,409,252,20320,10409,0,30729,30729
2020-06-18,398,240,20448,10382,0,30830,30830
2020-06-19,377,227,20541,10279,0,30820,30820
2020-06-20,362,219,20226,10528,0,30754,30754
2020-06-21,353,198,19658,11085,0,30743,30743
2020-06-22,368,201,19676,11251,0,30927,30927
2020-06-23,362,194,20298,10619,0,30917,30917
2020-06-24,356,182,20380,10599,0,30979,30979
2020-06-25,361,196,20376,10555,0,30931,30931
2020-06-26,363,198,20522,10344,0,30866,30866
2020-06-27,345,188,20314,10546,0,30860,30860
2020-06-28,338,189,19811,11024,0,30835,30835
2020-06-29,332,183,19752,11161,0,30913,30913
2020-06-30,334,174,20325,10638,0,30963,30963
2020-07-01,327,170,20709,10335,0,31044,31044
2020-07-02,326,160,20806,10227,0,31033,31033
2020-07-03,319,161,20590,10154,0,30744,30744
2020-07-04,323,159,20226,10632,0,30858,30858
2020-07-05,301,149,19671,11126,0,30797,30797
2020-07-06,312,145,19716,11188,0,30904,30904
2020-07-07,297,144,20264,10723,0,30987,30987
2020-07-08,291,141,20483,10502,0,30985,30985
2020-07-09,278,133,20548,10394,0,30942,30942
2020-07-10,279,132,20641,10282,0,30923,30923
2020-07-11,254,127,20374,10506,0,30880,30880
2020-07-12,255,125,19767,10955,0,30722,30722
2020-07-13,264,130,19636,11162,0,30798,30798
2020-07-14,261,125,20355,10508,0,30863,30863
2020-07-15,247,120,20744,10145,0,30889,30889
2020-07-16,254,121,20784,10137,0,30921,30921
2020-07-17,248,118,20842,10139,0,30981,30981
2020-07-18,246,116,20453,10402,0,30855,30855
2020-07-19,253,116,19974,10821,0,30795,30795
2020-07-20,246,120,20115,10859,0,30974,30974
2020-07-21,253,122,20450,10470,0,30920,30920
2020-07-22,249,127,20592,10237,0,30829,30829
2020-07-23,238,127,20505,10251,0,30756,30756
2020-07-24,236,119,20553,10115,0,30668,30668
2020-07-25,248,126,20261,10281,0,30542,30542
2020-07-26,267,130,19772,10743,0,30515,30515
2020-07-27,258,133,19659,10856,0,30515,30515
2020-07-28,255,126,20230,10332,0,30562,30562
2020-07-29,257,130,20354,10125,0,30479,30479
2020-07-30,262,132,20132,10235,0,30367,30367
2020-07-31,261,125,20171,10152,0,30323,30323
2020-08-01,257,122,19875,10319,0,30194,30194
2020-08-02,269,129,19395,10760,0,30155,30155
2020-08-03,267,130,19369,10860,0,30229,30229
2020-08-04,260,129,19851,8638,11765,28489,40254
2020-08-05,240,140,20108,8238,12209,28346,40555
2020-08-06,237,131,20033,8197,12185,28230,40415
2020-08-07,227,134,20066,8140,12132,28206,40338
2020-08-08,229,135,19811,8273,12144,28084,40228
2020-08-09,234,136,19375,8686,12140,28061,40201
2020-08-10,228,132,19370,8610,12127,27980,40107
2020-08-11,231,139,20004,7959,12153,27963,40116
2020-08-12,221,137,20145,7859,12090,28004,40094
2020-08-13,224,137,20221,7672,12138,27893,40031
2020-08-14,230,133,20313,7631,12030,27944,39974
2020-08-15,228,134,19976,7856,12072,27832,39904
2020-08-16,225,134,19481,8330,12054,27811,39865
2020-08-17,227,134,19478,8417,12017,27895,39912
2020-08-18,220,135,20002,7977,12006,27979,39985
2020-08-19,227,142,20135,7859,11974,27994,39968
2020-08-20,230,137,20275,7800,11988,28075,40063
2020-08-21,237,144,20294,7769,12050,28063,40113
2020-08-22,232,140,19844,8067,12008,27911,39919
2020-08-23,245,136,19379,8488,12020,27867,39887
2020-08-24,245,132,19241,8721,12028,27962,39990
2020-08-25,225,133,19870,8191,11918,28061,39979
2020-08-26,227,133,20069,8012,11908,28081,39989
2020-08-27,240,140,19952,8102,11892,28054,39946
2020-08-28,236,140,19964,8012,11887,27976,39863
2020-08-29,241,134,19879,8006,11896,27885,39781
2020-08-30,244,131,19374,8456,11908,27830,39738
2020-08-31,245,128,19334,8578,11894,27912,39806
2020-09-01,234,132,19930,8078,11848,28008,39856
2020-09-02,227,125,20064,7974,11871,28038,39909
2020-09-03,222,127,20076,7953,11857,28029,39886
2020-09-04,224,128,20022,7982,11848,28004,39852
2020-09-05,222,126,19864,7996,11983,27860,39843
2020-09-06,218,126,19302,8527,12003,27829,39832
2020-09-07,228,134,19386,8516,11830,27902,39732
2020-09-08,230,130,20051,7896,11839,27947,39786
2020-09-09,227,133,20158,7793,11826,27951,39777
2020-09-10,233,129,20309,7715,11831,28024,39855
2020-09-11,220,119,20390,7609,11833,27999,39832
2020-09-12,233,118,20030,7836,11881,27866,39747
2020-09-13,236,123,19547,8286,11833,27833,39666
2020-09-14,237,123,19423,8500,11800,27923,39723
2020-09-15,236,129,20135,7818,11828,27953,39781
2020-09-16,233,128,20413,7633,11823,28046,39869
