value,name
1,Wahlkreis 8 (alle Wahlbezirke)
2,Alveslohe (Alveslohe I)
3,Alveslohe (Alveslohe II)
4,Ammersbek
5,Ammersbek (Ammersbek 001)
6,Ammersbek (Ammersbek 002)
7,Ammersbek (Ammersbek 003)
8,Ammersbek (Ammersbek 004/041)
9,Ammersbek (Ammersbek 004/042)
10,Ammersbek (Ammersbek 005)
11,Ammersbek (Ammersbek Briefwahl 1)
12,Ammersbek (Ammersbek Briefwahl 2)
13,Ammersbek (Ammersbek Briefwahl 3)
14,Amt Bad Oldesloe-Land
15,Amt Bad Oldesloe-Land (Amt Bad Oldesloe-Land Briefwahl 1)
16,Amt Bad Oldesloe-Land (Amt Bad Oldesloe-Land Briefwahl 2)
17,Amt Bad Oldesloe-Land (Grabau)
18,Amt Bad Oldesloe-Land (Lasbek)
19,Amt Bad Oldesloe-Land (Meddewade)
20,Amt Bad Oldesloe-Land (Neritz)
21,Amt Bad Oldesloe-Land (Pölitz)
22,Amt Bad Oldesloe-Land (Rethwisch)
23,Amt Bad Oldesloe-Land (Rümpel)
24,Amt Bad Oldesloe-Land (Steinburg)
25,Amt Bad Oldesloe-Land (Travenbrück)
26,Amt Bargteheide-Land
27,Amt Bargteheide-Land (Amt Bargteheide-Land Briefwahl)
28,Amt Bargteheide-Land (Bargfeld-Stegen)
29,Amt Bargteheide-Land (Delingsdorf)
30,Amt Bargteheide-Land (Elmenhorst)
31,Amt Bargteheide-Land (Hammoor)
32,Amt Bargteheide-Land (Jersbek)
33,Amt Bargteheide-Land (Nienwohld)
34,Amt Bargteheide-Land (Todendorf)
35,Amt Bargteheide-Land (Tremsbüttel)
36,Amt Bornhöved (Amt Bornhöved Briefwahl)
37,Amt Bornhöved (Bornhöved)
38,Amt Bornhöved (Damsdorf)
39,Amt Bornhöved (Gönnebek)
40,Amt Bornhöved (Schmalensee)
41,Amt Bornhöved (Stocksee)
42,Amt Bornhöved (Tarbek)
43,Amt Bornhöved (Tensfeld)
44,Amt Bornhöved (Trappenkamp)
45,Amt Itzstedt
46,Amt Itzstedt (Amt Itzstedt Briefwahl I)
47,Amt Itzstedt (Itzstedt)
48,Amt Itzstedt (Kayhude)
49,Amt Itzstedt (Nahe)
50,Amt Itzstedt (Oering)
51,Amt Itzstedt (Seth)
52,Amt Itzstedt (Sülfeld)
53,Amt Itzstedt (Tangstedt) (Amt Itzstedt Briefwahl 2)
54,Amt Itzstedt (Tangstedt) (Tangstedt)
55,Amt Kaltenkirchen-Land
56,Amt Kaltenkirchen-Land (Alveslohe)
57,Amt Kaltenkirchen-Land (Amt Kaltenkirchen-Land Briefwahl)
58,Amt Kaltenkirchen-Land (Hartenholm)
59,Amt Kaltenkirchen-Land (Hasenmoor)
60,Amt Kaltenkirchen-Land (Lentföhrden)
61,Amt Kaltenkirchen-Land (Nützen)
62,Amt Kaltenkirchen-Land (Schmalfeld)
63,Amt Kisdorf
64,Amt Kisdorf (Amt Kisdorf  Briefwahl 2)
65,Amt Kisdorf (Amt Kisdorf Briefwahl 1)
66,Amt Kisdorf (Hüttblek)
67,Amt Kisdorf (Kattendorf)
68,Amt Kisdorf (Kisdorf)
69,Amt Kisdorf (Oersdorf)
70,Amt Kisdorf (Sievershütten)
71,Amt Kisdorf (Struvenhütten)
72,Amt Kisdorf (Stuvenborn)
73,Amt Kisdorf (Wakendorf II)
74,Amt Kisdorf (Winsen)
75,Amt Leezen
76,Amt Leezen (Amt Leezen Briefwahl 1)
77,Amt Leezen (Amt Leezen Briefwahl 2)
78,Amt Leezen (Bark)
79,Amt Leezen (Bebensee)
80,Amt Leezen (Fredesdorf)
81,Amt Leezen (Groß Niendorf)
82,Amt Leezen (Högersdorf)
83,Amt Leezen (Kükels)
84,Amt Leezen (Leezen)
85,Amt Leezen (Mözen)
86,Amt Leezen (Neversdorf)
87,Amt Leezen (Schwissel)
88,Amt Leezen (Todesfelde)
89,Amt Leezen (Wittenborn)
90,Amt Trave-Land
91,Amt Trave-Land (Amt Trave-Land Briefwahl 1)
92,Amt Trave-Land (Amt Trave-Land Briefwahl 2)
93,Amt Trave-Land (Bahrenhof)
94,Amt Trave-Land (Blunk)
95,Amt Trave-Land (Bühnsdorf)
96,Amt Trave-Land (Dreggers)
97,Amt Trave-Land (Fahrenkrug)
98,Amt Trave-Land (Geschendorf)
99,Amt Trave-Land (Glasau)
100,Amt Trave-Land (Groß Rönnau)
101,Amt Trave-Land (Klein Gladebrügge)
102,Amt Trave-Land (Klein Rönnau)
103,Amt Trave-Land (Krems II)
104,Amt Trave-Land (Negernbötel)
105,Amt Trave-Land (Nehms)
106,Amt Trave-Land (Neuengörs)
107,Amt Trave-Land (Pronstorf)
108,Amt Trave-Land (Rohlstorf)
109,Amt Trave-Land (Schackendorf)
110,Amt Trave-Land (Schieren)
111,Amt Trave-Land (Seedorf)
112,Amt Trave-Land (Stipsdorf)
113,Amt Trave-Land (Strukdorf)
114,Amt Trave-Land (Travenhorst)
115,Amt Trave-Land (Traventhal)
116,Amt Trave-Land (Wakendorf I)
117,Amt Trave-Land (Weede)
118,Amt Trave-Land (Wensin)
119,Amt Trave-Land (Westerrade)
120,Bad Oldesloe Stadt
121,Bad Oldesloe Stadt (Bad Oldesloe Briefwahl IV)
122,Bad Oldesloe Stadt (Bad Oldesloe Stadt 001)
123,Bad Oldesloe Stadt (Bad Oldesloe Stadt 002)
124,Bad Oldesloe Stadt (Bad Oldesloe Stadt 003)
125,Bad Oldesloe Stadt (Bad Oldesloe Stadt 004)
126,Bad Oldesloe Stadt (Bad Oldesloe Stadt 005)
127,Bad Oldesloe Stadt (Bad Oldesloe Stadt 006)
128,Bad Oldesloe Stadt (Bad Oldesloe Stadt 007)
129,Bad Oldesloe Stadt (Bad Oldesloe Stadt 008)
130,Bad Oldesloe Stadt (Bad Oldesloe Stadt 009)
131,Bad Oldesloe Stadt (Bad Oldesloe Stadt 010)
132,Bad Oldesloe Stadt (Bad Oldesloe Stadt 011)
133,Bad Oldesloe Stadt (Bad Oldesloe Stadt 012)
134,Bad Oldesloe Stadt (Bad Oldesloe Stadt 013)
135,Bad Oldesloe Stadt (Bad Oldesloe Stadt 014)
136,Bad Oldesloe Stadt (Bad Oldesloe Stadt 015)
137,Bad Oldesloe Stadt (Bad Oldesloe Stadt 016)
138,Bad Oldesloe Stadt (Bad Oldesloe Stadt 017)
139,Bad Oldesloe Stadt (Bad Oldesloe Stadt Briefwahl I)
140,Bad Oldesloe Stadt (Bad Oldesloe Stadt Briefwahl II)
141,Bad Oldesloe Stadt (Bad Oldesloe Stadt Briefwahl III)
142,Bad Segeberg Stadt
143,Bad Segeberg Stadt (Bad Segeberg 1)
144,Bad Segeberg Stadt (Bad Segeberg 2)
145,Bad Segeberg Stadt (Bad Segeberg 3)
146,Bad Segeberg Stadt (Bad Segeberg 4)
147,Bad Segeberg Stadt (Bad Segeberg 5)
148,Bad Segeberg Stadt (Bad Segeberg 6)
149,Bad Segeberg Stadt (Bad Segeberg 7)
150,Bad Segeberg Stadt (Bad Segeberg Stadt Briefwahl 1)
151,Bad Segeberg Stadt (Bad Segeberg Stadt Briefwahl 2)
152,Bad Segeberg Stadt (Bad Segeberg Stadt Briefwahl 3)
153,Bahrenhof (Bahrenhof)
154,Bargfeld-Stegen (Bargfeld-Stegen 1)
155,Bargfeld-Stegen (Bargfeld-Stegen 2)
156,Bargteheide Stadt
157,Bargteheide Stadt (Bargteheide 001)
158,Bargteheide Stadt (Bargteheide 002)
159,Bargteheide Stadt (Bargteheide 003)
160,Bargteheide Stadt (Bargteheide 004)
161,Bargteheide Stadt (Bargteheide 005)
162,Bargteheide Stadt (Bargteheide 006)
163,Bargteheide Stadt (Bargteheide 007)
164,Bargteheide Stadt (Bargteheide Stadt Briefwahl 1)
165,Bargteheide Stadt (Bargteheide Stadt Briefwahl 2)
166,Bargteheide Stadt (Bargteheide Stadt Briefwahl 3)
167,Bargteheide Stadt (Bargteheide Stadt Briefwahl 4)
168,Bargteheide Stadt (Bargteheide Stadt Briefwahl 5)
169,Bargteheide Stadt (Bargteheide Stadt Briefwahl 6)
170,Bargteheide Stadt (Bargteheide Stadt Briefwahl 7)
171,Bark (Bark)
172,Bark (Bockhorn)
173,Bebensee (Bebensee)
174,Blunk (Blunk)
175,Bornhöved (Bornhöved 1)
176,Bornhöved (Bornhöved 2)
177,Bühnsdorf (Bühnsdorf)
178,Damsdorf (Damsdorf)
179,Delingsdorf (Delingsdorf)
180,Dreggers (Dreggers)
181,Ellerau
182,Ellerau (Ellerau 1)
183,Ellerau (Ellerau 2)
184,Ellerau (Ellerau 3)
185,Ellerau (Ellerau 4)
186,Ellerau (Ellerau 5)
187,Ellerau (Ellerau Briefwahl)
188,Elmenhorst (Elmenhorst 1)
189,Elmenhorst (Elmenhorst 2)
190,Fahrenkrug (Fahrenkrug)
191,Fredesdorf (Fredesdorf)
192,Geschendorf (Geschendorf)
193,Glasau (Glasau)
194,Gönnebek (Gönnebek)
195,Grabau (Grabau)
196,Groß Niendorf (Groß Niendorf)
197,Groß Rönnau (Groß Rönnau)
198,Hammoor (Hammoor)
199,Hartenholm (Hartenholm)
200,Hasenmoor (Hasenmoor)
201,Henstedt-Ulzburg
202,Henstedt-Ulzburg (Henstedt-Ulzburg 1)
203,Henstedt-Ulzburg (Henstedt-Ulzburg 10)
204,Henstedt-Ulzburg (Henstedt-Ulzburg 11)
205,Henstedt-Ulzburg (Henstedt-Ulzburg 12)
206,Henstedt-Ulzburg (Henstedt-Ulzburg 13)
207,Henstedt-Ulzburg (Henstedt-Ulzburg 14)
208,Henstedt-Ulzburg (Henstedt-Ulzburg 15)
209,Henstedt-Ulzburg (Henstedt-Ulzburg 2)
210,Henstedt-Ulzburg (Henstedt-Ulzburg 3)
211,Henstedt-Ulzburg (Henstedt-Ulzburg 4)
212,Henstedt-Ulzburg (Henstedt-Ulzburg 5)
213,Henstedt-Ulzburg (Henstedt-Ulzburg 6)
214,Henstedt-Ulzburg (Henstedt-Ulzburg 7)
215,Henstedt-Ulzburg (Henstedt-Ulzburg 8)
216,Henstedt-Ulzburg (Henstedt-Ulzburg 9)
217,Henstedt-Ulzburg (Henstedt-Ulzburg Briefwahl 1)
218,Henstedt-Ulzburg (Henstedt-Ulzburg Briefwahl 2)
219,Henstedt-Ulzburg (Henstedt-Ulzburg Briefwahl 3)
220,Henstedt-Ulzburg (Henstedt-Ulzburg Briefwahl 4)
221,Henstedt-Ulzburg (Henstedt-Ulzburg Briefwahl 5)
222,Henstedt-Ulzburg (Henstedt-Ulzburg Briefwahl 6)
223,Högersdorf (Högersdorf)
224,Hüttblek (Hüttblek)
225,Itzstedt (Itzstedt 1)
226,Itzstedt (Itzstedt 2)
227,Itzstedt (Itzstedt 3)
228,Jersbek (Jersbek 1)
229,Jersbek (Jersbek 2)
230,Kaltenkirchen Stadt
231,Kaltenkirchen Stadt (Kaltenkirchen 1)
232,Kaltenkirchen Stadt (Kaltenkirchen 10)
233,Kaltenkirchen Stadt (Kaltenkirchen 11)
234,Kaltenkirchen Stadt (Kaltenkirchen 12)
235,Kaltenkirchen Stadt (Kaltenkirchen 13)
236,Kaltenkirchen Stadt (Kaltenkirchen 14)
237,Kaltenkirchen Stadt (Kaltenkirchen 2)
238,Kaltenkirchen Stadt (Kaltenkirchen 3)
239,Kaltenkirchen Stadt (Kaltenkirchen 4)
240,Kaltenkirchen Stadt (Kaltenkirchen 5)
241,Kaltenkirchen Stadt (Kaltenkirchen 6)
242,Kaltenkirchen Stadt (Kaltenkirchen 7)
243,Kaltenkirchen Stadt (Kaltenkirchen 8)
244,Kaltenkirchen Stadt (Kaltenkirchen 9)
