value,name
1,Wahlkreis 8 (alle Wahlbezirke)
2, (Kreis Kreis Stormarn)
3,Alveslohe (Gemeinde)
4,Alveslohe (Stimmbezirk Alveslohe I)
5,Alveslohe (Stimmbezirk Alveslohe II)
6,Ammersbek (Briefwahlbezirk Ammersbek Briefwahl 1)
7,Ammersbek (Briefwahlbezirk Ammersbek Briefwahl 2)
8,Ammersbek (Briefwahlbezirk Ammersbek Briefwahl 3)
9,Ammersbek (Gemeinde)
10,Ammersbek (Stimmbezirk Ammersbek 001)
11,Ammersbek (Stimmbezirk Ammersbek 002)
12,Ammersbek (Stimmbezirk Ammersbek 003)
13,Ammersbek (Stimmbezirk Ammersbek 004/041)
14,Ammersbek (Stimmbezirk Ammersbek 004/042)
15,Ammersbek (Stimmbezirk Ammersbek 005)
16,Amt Bad Oldesloe-Land
17,Amt Bad Oldesloe-Land (Briefwahlbezirk Amt Bad Oldesloe-Land Briefwahl 1)
18,Amt Bad Oldesloe-Land (Briefwahlbezirk Amt Bad Oldesloe-Land Briefwahl 2)
19,Amt Bargteheide-Land
20,Amt Bargteheide-Land (Briefwahlbezirk Amt Bargteheide-Land Briefwahl)
21,Amt Bornhöved
22,Amt Bornhöved (Briefwahlbezirk Amt Bornhöved Briefwahl)
23,Amt Itzstedt
24,Amt Itzstedt (Briefwahlbezirk Amt Itzstedt Briefwahl I)
25,Amt Itzstedt (Briefwahlbezirk Amt Itzstedt Briefwahl II)
26,Amt Itzstedt (Tangstedt) (Briefwahlbezirk Amt Itzstedt Briefwahl Tangstedt)
27,Amt Kaltenkirchen-Land
28,Amt Kaltenkirchen-Land (Briefwahlbezirk Amt Kaltenkirchen-Land Briefwahl)
29,Amt Kisdorf
30,Amt Kisdorf (Briefwahlbezirk Amt Kisdorf  Briefwahl 2)
31,Amt Kisdorf (Briefwahlbezirk Amt Kisdorf Briefwahl 1)
32,Amt Leezen
33,Amt Leezen (Briefwahlbezirk Amt Leezen Briefwahl 1)
34,Amt Leezen (Briefwahlbezirk Amt Leezen Briefwahl 2)
35,Amt Trave-Land
36,Amt Trave-Land (Briefwahlbezirk Amt Trave-Land Briefwahl 1)
37,Amt Trave-Land (Briefwahlbezirk Amt Trave-Land Briefwahl 2)
38,Bad Oldesloe (Briefwahlbezirk Bad Oldesloe Briefwahl IV)
39,Bad Oldesloe (Briefwahlbezirk Bad Oldesloe Stadt Briefwahl I)
40,Bad Oldesloe (Briefwahlbezirk Bad Oldesloe Stadt Briefwahl II)
41,Bad Oldesloe (Briefwahlbezirk Bad Oldesloe Stadt Briefwahl III)
42,Bad Oldesloe (Gemeinde)
43,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 001)
44,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 002)
45,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 003)
46,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 004)
47,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 005)
48,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 006)
49,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 007)
50,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 008)
51,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 009)
52,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 010)
53,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 011)
54,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 012)
55,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 013)
56,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 014)
57,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 015)
58,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 016)
59,Bad Oldesloe (Stimmbezirk Bad Oldesloe Stadt 017)
60,Bad Segeberg (Briefwahlbezirk Bad Segeberg Stadt Briefwahl 1)
61,Bad Segeberg (Briefwahlbezirk Bad Segeberg Stadt Briefwahl 2)
62,Bad Segeberg (Briefwahlbezirk Bad Segeberg Stadt Briefwahl 3)
63,Bad Segeberg (Gemeinde)
64,Bad Segeberg (Stimmbezirk Bad Segeberg 1)
65,Bad Segeberg (Stimmbezirk Bad Segeberg 2)
66,Bad Segeberg (Stimmbezirk Bad Segeberg 3)
67,Bad Segeberg (Stimmbezirk Bad Segeberg 4)
68,Bad Segeberg (Stimmbezirk Bad Segeberg 5)
69,Bad Segeberg (Stimmbezirk Bad Segeberg 6)
70,Bad Segeberg (Stimmbezirk Bad Segeberg 7)
71,Bahrenhof (Gemeinde)
72,Bahrenhof (Stimmbezirk Bahrenhof)
73,Bargfeld-Stegen (Gemeinde)
74,Bargfeld-Stegen (Stimmbezirk Bargfeld-Stegen 1)
75,Bargfeld-Stegen (Stimmbezirk Bargfeld-Stegen 2)
76,Bargteheide (Briefwahlbezirk Bargteheide Stadt Briefwahl 1)
77,Bargteheide (Briefwahlbezirk Bargteheide Stadt Briefwahl 2)
78,Bargteheide (Briefwahlbezirk Bargteheide Stadt Briefwahl 3)
79,Bargteheide (Briefwahlbezirk Bargteheide Stadt Briefwahl 4)
80,Bargteheide (Briefwahlbezirk Bargteheide Stadt Briefwahl 5)
81,Bargteheide (Briefwahlbezirk Bargteheide Stadt Briefwahl 6)
82,Bargteheide (Briefwahlbezirk Bargteheide Stadt Briefwahl 7)
83,Bargteheide (Gemeinde)
84,Bargteheide (Stimmbezirk Bargteheide 001)
85,Bargteheide (Stimmbezirk Bargteheide 002)
86,Bargteheide (Stimmbezirk Bargteheide 003)
87,Bargteheide (Stimmbezirk Bargteheide 004)
88,Bargteheide (Stimmbezirk Bargteheide 005)
89,Bargteheide (Stimmbezirk Bargteheide 006)
90,Bargteheide (Stimmbezirk Bargteheide 007)
91,Bark (Gemeinde)
92,Bark (Stimmbezirk Bark)
93,Bark (Stimmbezirk Bockhorn)
94,Bebensee (Gemeinde)
95,Bebensee (Stimmbezirk Bebensee)
96,Blunk (Gemeinde)
97,Blunk (Stimmbezirk Blunk)
98,Bornhöved (Gemeinde)
99,Bornhöved (Stimmbezirk Bornhöved 1)
100,Bornhöved (Stimmbezirk Bornhöved 2)
101,Bühnsdorf (Gemeinde)
102,Bühnsdorf (Stimmbezirk Bühnsdorf)
103,Damsdorf (Gemeinde)
104,Damsdorf (Stimmbezirk Damsdorf)
105,Delingsdorf (Gemeinde)
106,Delingsdorf (Stimmbezirk Delingsdorf)
107,Ellerau (Briefwahlbezirk Ellerau Briefwahl)
108,Ellerau (Gemeinde)
109,Ellerau (Stimmbezirk Ellerau 1)
110,Ellerau (Stimmbezirk Ellerau 2)
111,Ellerau (Stimmbezirk Ellerau 3)
112,Ellerau (Stimmbezirk Ellerau 4)
113,Ellerau (Stimmbezirk Ellerau 5)
114,Elmenhorst (Gemeinde)
115,Elmenhorst (Stimmbezirk Elmenhorst 1)
116,Elmenhorst (Stimmbezirk Elmenhorst 2)
117,Fahrenkrug (Gemeinde)
118,Fahrenkrug (Stimmbezirk Fahrenkrug)
119,Fredesdorf (Gemeinde)
120,Fredesdorf (Stimmbezirk Fredesdorf)
121,Geschendorf (Gemeinde)
122,Geschendorf (Stimmbezirk Geschendorf)
123,Glasau (Gemeinde)
124,Glasau (Stimmbezirk Glasau)
125,Gönnebek (Gemeinde)
126,Gönnebek (Stimmbezirk Gönnebek)
127,Grabau (Gemeinde)
128,Grabau (Stimmbezirk Grabau)
129,Groß Niendorf (Gemeinde)
130,Groß Niendorf (Stimmbezirk Groß Niendorf)
131,Groß Rönnau (Gemeinde)
132,Groß Rönnau (Stimmbezirk Groß Rönnau)
133,Hammoor (Gemeinde)
134,Hammoor (Stimmbezirk Hammoor)
135,Hartenholm (Gemeinde)
136,Hartenholm (Stimmbezirk Hartenholm)
137,Hasenmoor (Gemeinde)
138,Hasenmoor (Stimmbezirk Hasenmoor)
139,Henstedt-Ulzburg (Briefwahlbezirk Henstedt-Ulzburg Briefwahl 1)
140,Henstedt-Ulzburg (Briefwahlbezirk Henstedt-Ulzburg Briefwahl 2)
141,Henstedt-Ulzburg (Briefwahlbezirk Henstedt-Ulzburg Briefwahl 3)
142,Henstedt-Ulzburg (Briefwahlbezirk Henstedt-Ulzburg Briefwahl 4)
143,Henstedt-Ulzburg (Briefwahlbezirk Henstedt-Ulzburg Briefwahl 5)
144,Henstedt-Ulzburg (Briefwahlbezirk Henstedt-Ulzburg Briefwahl 6)
145,Henstedt-Ulzburg (Gemeinde)
146,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 1)
147,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 10)
148,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 11)
149,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 12)
150,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 13)
151,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 14)
152,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 15)
153,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 2)
154,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 3)
155,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 4)
156,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 5)
157,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 6)
158,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 7)
159,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 8)
160,Henstedt-Ulzburg (Stimmbezirk Henstedt-Ulzburg 9)
161,Högersdorf (Gemeinde)
162,Högersdorf (Stimmbezirk Högersdorf)
163,Hüttblek (Gemeinde)
164,Hüttblek (Stimmbezirk Hüttblek)
165,Itzstedt (Gemeinde)
166,Itzstedt (Stimmbezirk Itzstedt 101)
167,Itzstedt (Stimmbezirk Itzstedt 102)
168,Itzstedt (Stimmbezirk Itzstedt 103)
169,Jersbek (Gemeinde)
170,Jersbek (Stimmbezirk Jersbek 1)
171,Jersbek (Stimmbezirk Jersbek 2)
172,Kaltenkirchen (Briefwahlbezirk Kaltenkirchen Stadt Briefwahl I)
173,Kaltenkirchen (Briefwahlbezirk Kaltenkirchen Stadt Briefwahl II)
174,Kaltenkirchen (Briefwahlbezirk Kaltenkirchen Stadt Briefwahl IV)
175,Kaltenkirchen (Briefwahlbezirk Kaltenkirchen Stadt Briefwahl V)
176,Kaltenkirchen (Briefwahlbezirk Kaltenkirchen Stadt Briefwahl VI)
177,Kaltenkirchen (Gemeinde)
178,Kaltenkirchen (Stimmbezirk Kaltenkirchen 1)
179,Kaltenkirchen (Stimmbezirk Kaltenkirchen 10)
180,Kaltenkirchen (Stimmbezirk Kaltenkirchen 11)
181,Kaltenkirchen (Stimmbezirk Kaltenkirchen 12)
182,Kaltenkirchen (Stimmbezirk Kaltenkirchen 13)
183,Kaltenkirchen (Stimmbezirk Kaltenkirchen 14)
184,Kaltenkirchen (Stimmbezirk Kaltenkirchen 2)
185,Kaltenkirchen (Stimmbezirk Kaltenkirchen 3)
186,Kaltenkirchen (Stimmbezirk Kaltenkirchen 4)
187,Kaltenkirchen (Stimmbezirk Kaltenkirchen 5)
188,Kaltenkirchen (Stimmbezirk Kaltenkirchen 6)
189,Kaltenkirchen (Stimmbezirk Kaltenkirchen 7)
190,Kaltenkirchen (Stimmbezirk Kaltenkirchen 8)
191,Kaltenkirchen (Stimmbezirk Kaltenkirchen 9)
192,Kattendorf (Gemeinde)
193,Kattendorf (Stimmbezirk Kattendorf)
194,Kayhude (Gemeinde)
195,Kayhude (Stimmbezirk Kayhude 201)
196,Kayhude (Stimmbezirk Kayhude 202)
197,Kisdorf (Gemeinde)
198,Kisdorf (Stimmbezirk Kisdorf-Ost)
199,Kisdorf (Stimmbezirk Kisdorf-West)
200,Kisdorf (Stimmbezirk Kisdorf-Wohld)
201,Klein Gladebrügge (Gemeinde)
202,Klein Gladebrügge (Stimmbezirk Klein Gladebrügge)
203,Klein Rönnau (Gemeinde)
204,Klein Rönnau (Stimmbezirk Klein Rönnau)
205,Krems II (Gemeinde)
206,Krems II (Stimmbezirk Krems II)
207,Kükels (Gemeinde)
208,Kükels (Stimmbezirk Kükels)
209,Lasbek (Gemeinde)
210,Lasbek (Stimmbezirk Lasbek)
211,Leezen (Gemeinde)
212,Leezen (Stimmbezirk Heiderfeld)
213,Leezen (Stimmbezirk Leezen)
214,Lentföhrden (Gemeinde)
215,Lentföhrden (Stimmbezirk Lentföhrden I)
216,Lentföhrden (Stimmbezirk Lentföhrden II)
217,Meddewade (Gemeinde)
218,Meddewade (Stimmbezirk Meddewade)
219,Mözen (Gemeinde)
220,Mözen (Stimmbezirk Mözen)
221,Nahe (Gemeinde)
222,Nahe (Stimmbezirk Nahe 301)
223,Nahe (Stimmbezirk Nahe 302)
224,Nahe (Stimmbezirk Nahe 303)
225,Negernbötel (Gemeinde)
226,Negernbötel (Stimmbezirk Negernbötel 1)
227,Negernbötel (Stimmbezirk Negernbötel 2)
228,Nehms (Gemeinde)
229,Nehms (Stimmbezirk Nehms)
230,Neritz (Gemeinde)
231,Neritz (Stimmbezirk Neritz)
232,Neuengörs (Gemeinde)
233,Neuengörs (Stimmbezirk Neuengörs 1)
234,Neuengörs (Stimmbezirk Neuengörs 2)
235,Neuengörs (Stimmbezirk Neuengörs 3)
236,Neversdorf (Gemeinde)
237,Neversdorf (Stimmbezirk Neversdorf)
238,Nienwohld (Gemeinde)
239,Nienwohld (Stimmbezirk Nienwohld)
240,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl I)
241,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl II)
242,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl III)
243,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl IV)
244,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl IX)
245,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl V)
246,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl VI)
247,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl VII)
248,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl VIII)
249,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl X)
250,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XI)
251,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XII)
252,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XIII)
253,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XIV)
254,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XIX)
255,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XV)
256,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XVI)
257,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XVII)
258,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XVIII)
259,Norderstedt (Briefwahlbezirk Norderstedt Stadt Briefwahl XX)
260,Norderstedt (Gemeinde)
261,Norderstedt (Stimmbezirk Norderstedt 011)
262,Norderstedt (Stimmbezirk Norderstedt 012)
263,Norderstedt (Stimmbezirk Norderstedt 021)
264,Norderstedt (Stimmbezirk Norderstedt 022)
265,Norderstedt (Stimmbezirk Norderstedt 031)
266,Norderstedt (Stimmbezirk Norderstedt 032)
267,Norderstedt (Stimmbezirk Norderstedt 041)
268,Norderstedt (Stimmbezirk Norderstedt 042)
269,Norderstedt (Stimmbezirk Norderstedt 051)
270,Norderstedt (Stimmbezirk Norderstedt 052)
271,Norderstedt (Stimmbezirk Norderstedt 061)
272,Norderstedt (Stimmbezirk Norderstedt 062)
273,Norderstedt (Stimmbezirk Norderstedt 071)
274,Norderstedt (Stimmbezirk Norderstedt 072)
275,Norderstedt (Stimmbezirk Norderstedt 081)
276,Norderstedt (Stimmbezirk Norderstedt 082)
