value,name
1,Wahlkreis 11 (alle Wahlbezirke)
2,Albert-Schweitzer-Schule 712
3,Albert-Schweitzer-Schule 714
4,Ansverus-Haus Lübeck 719
5,Baltic GGS 402
6,Baltic GGS 403
7,Baltic GGS 404
8,Behlendorf 1321
9,Berkenthin 1322
10,Bliestorf 1323
11,Briefwahl Amt Berkenthin I 1390
12,Briefwahl Amt Berkenthin II 1391
13,Briefwahl Amt Sandesneben-Nusse 1490
14,Bugenhagen-Schule 503
15,Bugenhagen-Schule 504
16,Carl-Jacob-Burckhardt-Gymnasium 615
17,Carl-Jacob-Burckhardt-Gymnasium 619
18,Carl-Jacob-Burckhardt-Gymnasium 620
19,Carl-Jacob-Burckhardt-Gymnasium 621
20,DEKRA Akademie Lübeck 220
21,Dorfgemeinschaftshaus 602
22,Düchelsdorf 1324
23,Emil-Possehl-Schule 610
24,Entsorgungsbetriebe Lübeck 223
25,Ernestinenschule 103
26,Fachhochschule Lübeck 212
27,Freiwillige Feuerwehr 608
28,Freiwillige Feuerwehr Lübeck-Dänischburg 901
29,Freiwillige Feuerwehr Lübeck Dänischburg 901
30,Gemeinschaftshaus Brandenbaum 717
31,Gemeinschaftshaus Dornbreite 603
32,Gemeinschaftshaus Gärtnergasse 209
33,Geschwister-Prenski-Schule 701
34,Gesundheitsamt Lübeck 205
35,Gewerbeschule - Nahrung und Gastronomie 106
36,GGS St. Jürgen 207
37,GGS St. Jürgen 208
38,GGS St. Jürgen 210
39,GGS St. Jürgen 211
40,GGS St. Jürgen 222
41,GGS Stecknitz 218
42,Göldenitz 1325
43,Gotthard-Kühl-Schule 617
44,Gotthard-Kühl-Schule 618
45,Grinau 1401
46,Groß Boden 1402
47,Groß Schenkenberg 1403
48,Grundschule am Koggenweg 401
49,Grundschule am Koggenweg 405
50,Hanse-Schule für Wirtschaft und Verwaltung 101
51,Hanse-Schule für Wirtschaft und Verwaltung 107
52,Haus der kleinen Riesen 708
53,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 302
54,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 303
55,Heinrich-Mann-Schule Grund- Und Gemeinschaftsschule 303
56,Holstentor-Gemeinschaftsschule 507
57,Holstentor Gemeinschaftsschule 501
58,Holstentor Gemeinschaftsschule 502
59,Johanneum 105
60,Julius-Leber-Schule 614
61,Julius-Leber-Schule 616
62,Julius-Leber-Schule 622
63,Kahlhorst Schule / AS Niederbüssau 219
64,Kahlhorst Schule 206
65,Kahlhorst Schule 221
66,Kastorf 1326
67,Katharineum 102
68,KITA Haus Barbara 609
69,Klempau 1327
70,Klinkrade 1404
71,Krummesse 1328
72,Labenz 1405
73,Linau 1406
74,Lüchow 1407
75,Luther-Schule 505
76,Luther-Schule 506
77,Maria-Montessori-Schule 706
78,Marien-Schule 104
79,Marli-Hof 707
80,MGH 720
81,Mühlenweg-Schule 304
82,Mühlenweg-Schule 305
83,Niendorf b. Berkenthin. 1329
84,Paul-Gerhardt-Schule 604
85,Paul-Gerhardt-Schule 605
86,Paul-Gerhardt-Schule 606
87,Paul-Klee-Schule / AS Wulfsdorf 217
88,Paul-Klee-Schule 213
89,Paul-Klee-Schule 214
90,Paul-Klee-Schule 224
91,Pestalozzi-Schule 613
92,Rondeshagen 1330
93,Sandesneben 1408
94,Schiphorst 1409
95,Schönberg 1410
96,Schule am Meer 924
97,Schule am Meer 925
98,Schule am Meer 926
99,Schule am Meer 927
100,Schule am Stadtpark 702
101,Schule an der Wakenitz 718
102,Schule Eichholz 721
103,Schule Falkenfeld 611
104,Schule Grönauer Baum 215
105,Schule Grönauer Baum 216
106,Schule Lauerholz / AS Israelsdorf 704
107,Schule Lauerholz 703
108,Schule Lauerholz 705
109,Schule Marli 710
110,Schule Marli 711
111,Schule Niendorf 301
112,Schule Rangenberg 903
113,Schule Roter Hahn 904
114,Schule Roter Hahn 908
115,Schule Roter Hahn 909
116,Schule Schönböcken 601
117,Schule Tremser Teich 607
118,Schule Wilhelmshöhe 612
119,Schürensöhlen 1411
120,Seniorenwohnanlage Rosenhof 928
121,Siebenbäumen 1412
122,Sierksrade 1331
123,Sirksfelde 1413
124,Stadtschule Travemünde 922
125,Stadtschule Travemünde 923
126,Stadtverwaltung Verkehrsangelegenheiten 713
127,Steinhorst 1414
128,Stubben 1415
129,Thomas-Mann-Schule 709
130,Thomas-Mann-Schule 715
131,Thomas-Mann-Schule 716
132,Trave- Gymnasium 902
133,Trave-Gymnasium 902
134,Trave-Gymnasium 906
135,Trave-Gymnasium 907
136,Trave GGS 905
137,TSV Travemünde Clubhaus 921
138,Verwaltungszentrum 204
139,Volkshochschule 201
140,Volkshochschule 202
141,Volkshochschule 203
142,Wentorf A.S. 1416
143,Willy-Brand-Schule 801
144,Willy-Brandt-Schule 801
145,Willy-Brandt-Schule 802
146,Willy-Brandt-Schule 803
