value,name
1,Wahlkreis 56 (alle Wahlbezirke)
2,Amt Bad Wilsnack/Weisen/Briefwahlbezirk 9120
3,Amt Bad Wilsnack/Weisen/Briefwahlbezirk 9121
4,Amt Friesack/Briefwahlbezirk 9127
5,Amt Friesack/Briefwahlbezirk 9128
6,Amt Lenzen-Elbtalaue/Briefwahlbezirk 9122
7,Amt Lindow (Mark)/Briefwahlbezirk 9134
8,Amt Meyenburg/Briefwahlbezirk 9123
9,Amt Nennhausen/Briefwahlbezirk 9104
10,Amt Neustadt (Dosse)/Briefwahlbezirk 9141
11,Amt Neustadt (Dosse)/Briefwahlbezirk 9142
12,Amt Putlitz-Berge/Briefwahlbezirk 9124
13,Amt Putlitz-Berge/Briefwahlbezirk 9125
14,Amt Rhinow/Briefwahlbezirk 9126
15,Amt Temnitz/Briefwahlbezirk 9145
16,Amt Temnitz/Briefwahlbezirk 9155
17,Fehrbellin/Briefwahlbezirk 9129
18,Fehrbellin/Briefwahlbezirk 9130
19,Fehrbellin/Briefwahlbezirk 9153
20,Fehrbellin/Urnenwahlbezirk 2001
21,Fehrbellin/Urnenwahlbezirk 2002
22,Fehrbellin/Urnenwahlbezirk 2003
23,Fehrbellin/Urnenwahlbezirk 2004
24,Fehrbellin/Urnenwahlbezirk 2005
25,Fehrbellin/Urnenwahlbezirk 2006
26,Fehrbellin/Urnenwahlbezirk 2007
27,Fehrbellin/Urnenwahlbezirk 2008
28,Fehrbellin/Urnenwahlbezirk 2009
29,Fehrbellin/Urnenwahlbezirk 2010
30,Fehrbellin/Urnenwahlbezirk 2011
31,Fehrbellin/Urnenwahlbezirk 2012
32,Fehrbellin/Urnenwahlbezirk 2013
33,Fehrbellin/Urnenwahlbezirk 2014
34,Fehrbellin/Urnenwahlbezirk 2015
35,Fehrbellin/Urnenwahlbezirk 2016
36,Fehrbellin/Urnenwahlbezirk 2017
37,Fehrbellin/Urnenwahlbezirk 2018
38,Fehrbellin/Urnenwahlbezirk 2019
39,Fehrbellin/Urnenwahlbezirk 2020
40,Fehrbellin/Urnenwahlbezirk 2021
41,Groß Pankow (Prignitz)/Briefwahlbezirk 9115
42,Groß Pankow (Prignitz)/Urnenwahlbezirk 1401
43,Groß Pankow (Prignitz)/Urnenwahlbezirk 1403
44,Groß Pankow (Prignitz)/Urnenwahlbezirk 1404
45,Groß Pankow (Prignitz)/Urnenwahlbezirk 1405
46,Groß Pankow (Prignitz)/Urnenwahlbezirk 1406
47,Groß Pankow (Prignitz)/Urnenwahlbezirk 1407
48,Groß Pankow (Prignitz)/Urnenwahlbezirk 1408
