value,name
1,Wahlkreis 60 (alle Wahlbezirke)
2,Amt Beetzsee (Briefwahlbezirk 9058)
3,Amt Beetzsee (Briefwahlbezirk 9059)
4,Amt Brück (Briefwahlbezirk 9061)
5,Amt Brück (Briefwahlbezirk 9062)
6,Amt Brück (Briefwahlbezirk 9063)
7,Amt Niemegk (Briefwahlbezirk 9065)
8,Amt Wusterwitz (Briefwahlbezirk 9067)
9,Amt Ziesar (Briefwahlbezirk 9069)
10,Bad Belzig (Urnenwahlbezirk 301)
11,Bad Belzig (Urnenwahlbezirk 302)
12,Bad Belzig (Urnenwahlbezirk 303)
13,Bad Belzig (Urnenwahlbezirk 304)
14,Bad Belzig (Urnenwahlbezirk 305)
15,Bad Belzig (Urnenwahlbezirk 306)
16,Bad Belzig (Urnenwahlbezirk 307)
17,Bad Belzig (Urnenwahlbezirk 308)
18,Bad Belzig (Urnenwahlbezirk 309)
19,Bad Belzig (Urnenwahlbezirk 310)
20,Bad Belzig (Urnenwahlbezirk 311)
21,Bad Belzig (Urnenwahlbezirk 312)
22,Bad Belzig (Urnenwahlbezirk 313)
23,Bad Belzig (Urnenwahlbezirk 314)
24,Bad Belzig (Urnenwahlbezirk 315)
25,Bad Belzig (Urnenwahlbezirk 316)
26,Bad Belzig (Urnenwahlbezirk 317)
27,Bad Belzig (Urnenwahlbezirk 318)
28,Bad Belzig (Urnenwahlbezirk 319)
29,Bad Belzig (Urnenwahlbezirk 320)
30,Bad Belzig (Briefwahlbezirk 9025)
31,Bad Belzig (Briefwahlbezirk 9026)
32,Bad Belzig (Briefwahlbezirk 9027)
33,Bad Belzig (Briefwahlbezirk 9028)
34,Beelitz (Urnenwahlbezirk 101)
35,Beelitz (Urnenwahlbezirk 102)
36,Beelitz (Urnenwahlbezirk 103)
37,Beelitz (Urnenwahlbezirk 104)
38,Beelitz (Urnenwahlbezirk 105)
39,Beelitz (Urnenwahlbezirk 106)
40,Beelitz (Urnenwahlbezirk 107)
41,Beelitz (Urnenwahlbezirk 108)
42,Beelitz (Urnenwahlbezirk 109)
43,Beelitz (Urnenwahlbezirk 110)
44,Beelitz (Urnenwahlbezirk 111)
45,Beelitz (Urnenwahlbezirk 112)
46,Beelitz (Urnenwahlbezirk 113)
47,Beelitz (Urnenwahlbezirk 114)
48,Beelitz (Urnenwahlbezirk 115)
49,Beelitz (Urnenwahlbezirk 116)
50,Beelitz (Urnenwahlbezirk 117)
51,Beelitz (Urnenwahlbezirk 118)
52,Beelitz (Briefwahlbezirk 9020)
53,Beelitz (Briefwahlbezirk 9021)
54,Beelitz (Briefwahlbezirk 9022)
55,Stadt Brandenburg an der Havel (Urnenwahlbezirk 101)
