value,name
1,Wahlkreis 61 (alle Wahlbezirke)
2,Kleinmachnow (Urnenwahlbezirk 1)
3,Kleinmachnow (Urnenwahlbezirk 2)
4,Kleinmachnow (Urnenwahlbezirk 3)
5,Kleinmachnow (Urnenwahlbezirk 4)
6,Kleinmachnow (Urnenwahlbezirk 5)
7,Kleinmachnow (Urnenwahlbezirk 6)
8,Kleinmachnow (Urnenwahlbezirk 7)
9,Kleinmachnow (Urnenwahlbezirk 8)
10,Kleinmachnow (Urnenwahlbezirk 9)
11,Kleinmachnow (Urnenwahlbezirk 10)
12,Kleinmachnow (Urnenwahlbezirk 11)
13,Kleinmachnow (Urnenwahlbezirk 12)
14,Kleinmachnow (Urnenwahlbezirk 13)
15,Kleinmachnow (Urnenwahlbezirk 14)
16,Kleinmachnow (Urnenwahlbezirk 15)
17,Kleinmachnow (Briefwahlbezirk 9001)
18,Kleinmachnow (Briefwahlbezirk 9002)
19,Kleinmachnow (Briefwahlbezirk 9003)
20,Kleinmachnow (Briefwahlbezirk 9004)
21,Kleinmachnow (Briefwahlbezirk 9005)
22,Kleinmachnow (Briefwahlbezirk 9006)
23,Kleinmachnow (Briefwahlbezirk 9007)
24,Kleinmachnow (Briefwahlbezirk 9008)
25,Ludwigsfelde (Urnenwahlbezirk 1)
26,Ludwigsfelde (Urnenwahlbezirk 2)
27,Ludwigsfelde (Urnenwahlbezirk 4)
28,Ludwigsfelde (Urnenwahlbezirk 5)
29,Ludwigsfelde (Urnenwahlbezirk 6)
30,Ludwigsfelde (Urnenwahlbezirk 8)
31,Ludwigsfelde (Urnenwahlbezirk 10)
32,Ludwigsfelde (Urnenwahlbezirk 11)
33,Ludwigsfelde (Urnenwahlbezirk 13)
34,Ludwigsfelde (Urnenwahlbezirk 14)
35,Ludwigsfelde (Urnenwahlbezirk 15)
36,Ludwigsfelde (Urnenwahlbezirk 17)
37,Ludwigsfelde (Urnenwahlbezirk 19)
38,Ludwigsfelde (Urnenwahlbezirk 20)
39,Ludwigsfelde (Urnenwahlbezirk 22)
40,Ludwigsfelde (Urnenwahlbezirk 24)
41,Ludwigsfelde (Urnenwahlbezirk 25)
42,Ludwigsfelde (Urnenwahlbezirk 26)
43,Ludwigsfelde (Urnenwahlbezirk 28)
44,Ludwigsfelde (Urnenwahlbezirk 30)
45,Ludwigsfelde (Urnenwahlbezirk 31)
46,Ludwigsfelde (Urnenwahlbezirk 32)
47,Ludwigsfelde (Briefwahlbezirk 9043)
48,Ludwigsfelde (Briefwahlbezirk 9044)
49,Ludwigsfelde (Briefwahlbezirk 9045)
