value,land
1,Afghanistan
2,Ägypten
3,Albanien
4,Algerien
5,Angola
6,Äquatorialguinea
7,Argentinien
8,Armenien
9,Aserbaidschan
10,Äthiopien
11,Australien
12,Bahrain
13,Bangladesch
14,Belarus
15,Belgien
16,Benin
17,Bolivien
18,Bosnien und Herzeg.
19,Botswana
20,Brasilien
21,Bulgarien
22,Burkina Faso
23,Burundi
24,Chile
25,China
26,Costa Rica
27,Dänemark
28,Deutschland
29,Dom. Rep.
30,DR Kongo
31,Ecuador
32,El Salvador
33,Elfenbeinküste
34,Estland
35,Eswatini
36,Finnland
37,Frankreich
38,Gabun
39,Gambia
40,Georgien
41,Ghana
42,Griechenland
43,Großbritannien
44,Guatemala
45,Guinea
46,Guinea Bissau
47,Haiti
48,Honduras
49,Indien
50,Indonesien
51,Irak
52,Iran
53,Irland
54,Israel
55,Italien
56,Jamaika
57,Japan
58,Jemen
59,Jordanien
60,Kamerun
61,Kanada
62,Kasachstan
63,Katar
64,Kenia
65,Kirgisistan
66,Kolumbien
67,Kongo
68,Kosovo
69,Kroatien
70,Kuba
71,Kuwait
72,Lesotho
73,Lettland
74,Libanon
75,Liberia
76,Libyen
77,Litauen
78,Madagaskar
79,Malawi
80,Malaysia
81,Mali
82,Marokko
83,Mauretanien
84,Mauritius
85,Mexiko
86,Mikronesien
87,Moldawien
88,Mosambik
89,Namibia
90,Nepal
91,Neuseeland
92,Nicaragua
93,Niederlande
94,Niger
95,Nigeria
96,Nordmazedonien
97,Norwegen
98,Oman
99,Österreich
100,Pakistan
101,Palästina
102,Panama
103,Papua-Neuguinea
104,Paraguay
105,Peru
106,Philippinen
107,Polen
108,Portugal
109,Ruanda
110,Rumänien
111,Russland
112,Sambia
113,Samoa
114,Saudi-Arabien
115,Schweden
116,Schweiz
117,Senegal
118,Serbien
119,Sierra Leone
120,Simbabwe
121,Singapur
122,Slowakei
123,Slowenien
124,Somalia
125,Spanien
126,Sri Lanka
127,Südafrika
128,Sudan
129,Südkorea
130,Südsudan
131,Syrien
132,Tadschikistan
133,Tansania
134,Thailand
135,Togo
136,Trinidad Tobago
137,Tschad
138,Tschechien
139,Tunesien
140,Türkei
141,Uganda
142,Ukraine
143,Ungarn
144,Uruguay
145,USA
146,Usbekistan
147,VAE
148,Venezuela
149,Vietnam
150,Zentralafr. Republik
151,Zypern
