value,name
1,Afghanistan
2,Ägypten
3,Albanien
4,Algerien
5,Andorra
6,Angola
7,Antigua und Barbuda
8,Äquatorialguinea
9,Argentinien
10,Armenien
11,Aserbaidschan
12,Äthiopien
13,Australien
14,Bahamas
15,Bahrain
16,Bangladesch
17,Barbados
18,Belarus
19,Belgien
20,Belize
21,Benin
22,Bhutan
23,Bolivien
24,Bosnien und Herzegowina
25,Botswana
26,Brasilien
27,Brunei
28,Bulgarien
29,Burkina Faso
30,Burundi
31,Chile
32,China
33,Costa Rica
34,Dänemark
35,Deutschland
36,Dominica
37,Dominikanische Republik
38,DR Kongo
39,Dschibuti
40,Ecuador
41,El Salvador
42,Elfenbeinküste
43,Eritrea
44,Estland
45,Eswatini
46,Fiji
47,Finnland
48,Frankreich
49,Gabun
50,Gambia
51,Georgien
52,Ghana
53,Grenada
54,Griechenland
55,Großbritannien
56,Guatemala
57,Guinea
58,Guinea Bissau
59,Guyana
60,Haiti
61,Honduras
62,Indien
63,Indonesien
64,Irak
65,Iran
66,Irland
67,Island
68,Israel
69,Italien
70,Jamaika
71,Japan
72,Jemen
73,Jordanien
74,Kambodscha
75,Kamerun
76,Kanada
77,Kap Verde
78,Kasachstan
79,Katar
80,Kenia
81,Kirgisistan
82,Kiribati
83,Kolumbien
84,Komoren
85,Kongo
86,Kosovo
87,Kroatien
88,Kuba
89,Kuwait
90,Laos
91,Lesotho
92,Lettland
93,Libanon
94,Liberia
95,Libyen
96,Liechtenstein
97,Litauen
98,Luxemburg
99,Madagaskar
100,Malawi
101,Malaysia
102,Malediven
103,Mali
104,Malta
105,Marokko
106,Marshallinseln
107,Mauretanien
108,Mauritius
109,Mexiko
110,Mikronesien
111,Moldawien
112,Monaco
113,Mongolei
114,Montenegro
115,Mosambik
116,Myanmar
117,Namibia
118,Nepal
119,Neuseeland
120,Nicaragua
121,Niederlande
122,Niger
123,Nigeria
124,Nordmazedonien
125,Norwegen
126,Oman
127,Österreich
128,Osttimor
129,Pakistan
130,Palästina
131,Palau
132,Panama
133,Papua Neuguinea
134,Paraguay
135,Peru
136,Philippinen
137,Polen
138,Portugal
139,Ruanda
140,Rumänien
141,Russland
142,Saint Lucia
143,Salomon Inseln
144,Sambia
145,Samoa
146,San Marino
147,São Tomé und Príncipe
148,Saudi Arabien
149,Schweden
150,Schweiz
151,Senegal
152,Serbien
153,Seychellen
154,Sierra Leone
155,Simbabwe
156,Singapur
157,Slowakei
158,Slowenien
159,Somalia
160,Spanien
161,Sri Lanka
162,St.Kitts und Nevis
163,St.Vincent Grenadines
164,Südafrika
165,Sudan
166,Südkorea
167,Südsudan
168,Surinam
169,Syrien
170,Tadschikistan
171,Taiwan
172,Tansania
173,Thailand
174,Togo
175,Trinidad Tobago
176,Tschad
177,Tschechien
178,Tunesien
179,Türkei
180,Uganda
181,Ukraine
182,Ungarn
183,Uruguay
184,USA
185,Usbekistan
186,Vanuatu
187,Vatikan
188,Venezuela
189,Vereinigte Arabische Emirate
190,Vietnam
191,Zentralafrikanische Republik
192,Zypern
