value,name
1,Afghanistan
2,Ägypten
3,Albanien
4,Algerien
5,Andorra
6,Angola
7,Antarktis
8,Antigua und Barbuda
9,Äquatorialguinea
10,Argentinien
11,Armenien
12,Aserbaidschan
13,Äthiopien
14,Australien
15,Bahamas
16,Bahrain
17,Bangladesch
18,Barbados
19,Belarus
20,Belgien
21,Belize
22,Benin
23,Bhutan
24,Bolivien
25,Bosnien und Herzegowina
26,Botswana
27,Brasilien
28,Brunei
29,Bulgarien
30,Burkina Faso
31,Burundi
32,Chile
33,China
34,Costa Rica
35,Dänemark
36,Deutschland
37,Dominica
38,Dominikanische Republik
39,DR Kongo
40,Dschibuti
41,Ecuador
42,El Salvador
43,Elfenbeinküste
44,Eritrea
45,Estland
46,Eswatini
47,Fiji
48,Finnland
49,Frankreich
50,Gabun
51,Gambia
52,Georgien
53,Ghana
54,Grenada
55,Griechenland
56,Großbritannien
57,Guatemala
58,Guinea
59,Guinea Bissau
60,Guyana
61,Haiti
62,Honduras
63,Indien
64,Indonesien
65,Irak
66,Iran
67,Irland
68,Island
69,Israel
70,Italien
71,Jamaika
72,Japan
73,Jemen
74,Jordanien
75,Kambodscha
76,Kamerun
77,Kanada
78,Kap Verde
79,Kasachstan
80,Katar
81,Kenia
82,Kirgisistan
83,Kiribati
84,Kolumbien
85,Komoren
86,Kongo
87,Kosovo
88,Kroatien
89,Kuba
90,Kuwait
91,Laos
92,Lesotho
93,Lettland
94,Libanon
95,Liberia
96,Libyen
97,Liechtenstein
98,Litauen
99,Luxemburg
100,Madagaskar
101,Malawi
102,Malaysia
103,Malediven
104,Mali
105,Malta
106,Marokko
107,Marshallinseln
108,Mauretanien
109,Mauritius
110,Mexiko
111,Mikronesien
112,Moldawien
113,Monaco
114,Mongolei
115,Montenegro
116,Mosambik
117,Myanmar
118,Namibia
119,Nepal
120,Neuseeland
121,Nicaragua
122,Niederlande
123,Niger
124,Nigeria
125,Nordmazedonien
126,Norwegen
127,Oman
128,Österreich
129,Osttimor
130,Pakistan
131,Palästina
132,Palau
133,Panama
134,Papua Neuguinea
135,Paraguay
136,Peru
137,Philippinen
138,Polen
139,Portugal
140,Ruanda
141,Rumänien
142,Russland
143,Saint Lucia
144,Salomon Inseln
145,Sambia
146,Samoa
147,San Marino
148,São Tomé und Príncipe
149,Saudi Arabien
150,Schweden
151,Schweiz
152,Senegal
153,Serbien
154,Seychellen
155,Sierra Leone
156,Simbabwe
157,Singapur
158,Slowakei
159,Slowenien
160,Somalia
161,Spanien
162,Sri Lanka
163,St.Kitts und Nevis
164,St.Vincent Grenadines
165,Südafrika
166,Sudan
167,Südkorea
168,Südsudan
169,Surinam
170,Syrien
171,Tadschikistan
172,Taiwan
173,Tansania
174,Thailand
175,Togo
176,Tonga
177,Trinidad Tobago
178,Tschad
179,Tschechien
180,Tunesien
181,Türkei
182,Uganda
183,Ukraine
184,Ungarn
185,Uruguay
186,USA
187,Usbekistan
188,Vanuatu
189,Vatikan
190,Venezuela
191,Vereinigte Arabische Emirate
192,Vietnam
193,Zentralafrikanische Republik
194,Zypern
