value,name
1,Afghanistan
2,Ägypten
3,Algerien
4,Angola
5,Argentinien
6,Aserbaidschan
7,Äthiopien
8,Australien
9,Bangladesch
10,Belarus
11,Belgien
12,Benin
13,Bolivien
14,Brasilien
15,Bulgarien
16,Burkina Faso
17,Chile
18,China
19,Costa Rica
20,Dänemark
0,Deutschland
21,Dominikanische Republik
22,Ecuador
23,El Salvador
24,Elfenbeinküste
25,Finnland
26,Frankreich
27,Ghana
28,Griechenland
29,Großbritannien
30,Guatemala
31,Guinea
32,Haiti
33,Honduras
34,Indien
35,Indonesien
36,Irak
37,Iran
38,Israel
39,Italien
40,Japan
41,Jemen
42,Jordanien
43,Kamerun
44,Kanada
45,Kasachstan
46,Kenia
47,Kirgisistan
48,Kolumbien
49,Kuba
50,Libanon
51,Libyen
52,Madagaskar
53,Malawi
54,Malaysia
55,Mali
56,Marokko
57,Mexiko
58,Mosambik
59,Nepal
60,Nicaragua
61,Niederlande
62,Niger
63,Nigeria
64,Norwegen
65,Österreich
66,Pakistan
67,Papua-Neuguinea
68,Paraguay
69,Peru
70,Philippinen
71,Polen
72,Portugal
73,Ruanda
74,Rumänien
75,Russland
76,Sambia
77,Saudi-Arabien
78,Schweden
79,Schweiz
80,Senegal
81,Serbien
82,Sierra Leone
83,Simbabwe
84,Singapur
85,Slowakei
86,Somalia
87,Spanien
88,Sri Lanka
89,Südafrika
90,Sudan
91,Südkorea
92,Südsudan
93,Syrien
94,Tadschikistan
95,Tansania
96,Thailand
97,Togo
98,Tschad
99,Tschechien
100,Tunesien
101,Türkei
102,Uganda
103,Ukraine
104,Ungarn
105,USA
106,Usbekistan
107,Venezuela
108,Vereinigte Arabische Emirate
109,Vietnam
