value,name
1,Afghanistan
2,Ägypten
3,Algerien
4,Angola
5,Argentinien
6,Aserbaidschan
7,Äthiopien
8,Australien
9,Bangladesch
10,Belarus
11,Belgien
12,Benin
13,Bolivien
14,Brasilien
15,Bulgarien
16,Burkina Faso
17,Burundi
18,Chile
19,China
20,Costa Rica
21,Dänemark
0,Deutschland
22,Dominikanische Republik
23,Ecuador
24,El Salvador
25,Elfenbeinküste
26,Finnland
27,Frankreich
28,Ghana
29,Griechenland
30,Großbritannien
31,Guatemala
32,Guinea
33,Haiti
34,Honduras
35,Indien
36,Indonesien
37,Irak
38,Iran
39,Israel
40,Italien
41,Japan
42,Jemen
43,Jordanien
44,Kambodscha
45,Kamerun
46,Kanada
47,Kasachstan
48,Kenia
49,Kirgisistan
50,Kolumbien
51,Kuba
52,Libanon
53,Libyen
54,Madagaskar
55,Malawi
56,Malaysia
57,Mali
58,Marokko
59,Mexiko
60,Mosambik
61,Nepal
62,Nicaragua
63,Niederlande
64,Niger
65,Nigeria
66,Norwegen
67,Österreich
68,Pakistan
69,Papua-Neuguinea
70,Paraguay
71,Peru
72,Philippinen
73,Polen
74,Portugal
75,Ruanda
76,Rumänien
77,Russland
78,Sambia
79,Saudi-Arabien
80,Schweden
81,Schweiz
82,Senegal
83,Serbien
84,Sierra Leone
85,Simbabwe
86,Singapur
87,Slowakei
88,Somalia
89,Spanien
90,Sri Lanka
91,Südafrika
92,Sudan
93,Südkorea
94,Südsudan
95,Syrien
96,Tadschikistan
97,Tansania
98,Thailand
99,Togo
100,Tschad
101,Tschechien
102,Tunesien
103,Türkei
104,Uganda
105,Ukraine
106,Ungarn
107,USA
108,Usbekistan
109,Venezuela
110,Vereinigte Arabische Emirate
111,Vietnam
