code,name
2,Albanien
3,Andorra
4,Anguilla
5,Argentinien
6,Aserbaidschan
7,Australien
8,Bahrain
9,Bangladesch
10,Barbados
11,Belarus
12,Belgien
13,Belize
14,Bermuda
15,Bolivien
16,Brasilien
17,Bulgarien
18,Cayman Islands
19,Chile
20,Costa Rica
21,Dänemark
0,Deutschland
22,Dominica
23,Dominikanische Republik
24,Ecuador
25,El Salvador
26,Estland
27,Falkland Inseln
28,Finnland
29,Frankreich
30,Gibraltar
31,Grenada
32,Griechenland
33,Grönland
1,Großbritannien
34,Guatemala
35,Guernsey
36,Guyana
37,Honduras
38,Hongkong
39,Indien
40,Indonesien
41,Iran
42,Irland
43,Island
44,Isle of Man
45,Israel
46,Italien
47,Japan
48,Jersey
49,Jordanien
50,Kambodscha
51,Kanada
52,Kasachstan
53,Katar
54,Kolumbien
55,Kroatien
56,Kuwait
57,Lettland
58,Litauen
59,Luxemburg
60,Malaysia
61,Malta
62,Marokko
63,Mauritius
64,Mexiko
65,Moldawien
66,Montenegro
67,Montserrat
68,Neuseeland
69,Niederlande
70,Norwegen
71,Oman
72,Österreich
73,Pakistan
74,Paraguay
75,Peru
76,Philippinen
77,Polen
78,Portugal
79,Ruanda
80,Rumänien
81,Russland
82,Saint Lucia
83,San Marino
84,Schweden
85,Schweiz
86,Senegal
87,Serbien
88,Seychellen
89,Simbabwe
90,Singapur
91,Slowakei
92,Slowenien
93,Spanien
94,Südafrika
95,Südkorea
96,Trinidad Tobago
97,Tschechien
98,Türkei
99,Turks-und Caicosinseln
100,Ukraine
101,Ungarn
102,Uruguay
103,USA
104,Venezuela
105,Vereinigte Arabische Emirate
106,Zypern
