code,name
2,Albanien
3,Andorra
4,Anguilla
5,Argentinien
6,Aserbaidschan
7,Bahrain
8,Bangladesch
9,Barbados
10,Belgien
11,Bermuda
12,Brasilien
13,Bulgarien
14,Cayman Islands
15,Chile
16,Costa Rica
17,Dänemark
0,Deutschland
18,Ecuador
19,Estland
20,Finnland
21,Frankreich
22,Gibraltar
23,Griechenland
24,Grönland
1,Großbritannien
25,Guernsey
26,Guyana
27,Indonesien
28,Iran
29,Irland
30,Island
31,Isle of Man
32,Israel
33,Italien
34,Japan
35,Jersey
36,Kambodscha
37,Kanada
38,Kolumbien
39,Kroatien
40,Lettland
41,Litauen
42,Luxemburg
43,Malta
44,Marokko
45,Mauritius
46,Mexiko
47,Norwegen
48,Oman
49,Österreich
50,Pakistan
51,Peru
52,Polen
53,Portugal
54,Rumänien
55,Russland
56,Schweden
57,Schweiz
58,Serbien
59,Seychellen
60,Singapur
61,Slowakei
62,Slowenien
63,Spanien
64,Südafrika
65,Tschechien
66,Türkei
67,Turks-und Caicosinseln
68,Ungarn
69,USA
70,Vereinigte Arabische Emirate
71,Zypern
