code,name
1,Albanien
2,Andorra
3,Angola
4,Anguilla
5,Argentinien
6,Aserbaidschan
7,Australien
8,Bahrain
9,Bangladesch
10,Barbados
11,Belarus
12,Belgien
13,Belize
14,Bermuda
15,Bolivien
16,Brasilien
17,Bulgarien
18,Cayman Islands
19,Chile
20,Costa Rica
21,Dänemark
0,Deutschland
22,Dominica
23,Dominikanische Republik
24,Ecuador
25,El Salvador
26,Elfenbeinküste
27,Estland
28,Falkland Inseln
29,Finnland
30,Frankreich
31,Ghana
32,Gibraltar
33,Grenada
34,Griechenland
35,Großbritannien
36,Guatemala
37,Guernsey
38,Guyana
39,Hongkong
40,Indien
41,Indonesien
42,Iran
43,Irland
44,Island
45,Isle of Man
46,Israel
47,Italien
48,Japan
49,Jersey
50,Jordanien
51,Kambodscha
52,Kanada
53,Kasachstan
54,Kenia
55,Kolumbien
56,Kroatien
57,Kuwait
58,Lettland
59,Libanon
60,Litauen
61,Luxemburg
62,Macau
63,Malaysia
64,Malta
65,Marokko
66,Mauritius
67,Mexiko
68,Moldawien
69,Montenegro
70,Montserrat
71,Neuseeland
72,Niederlande
73,Norwegen
74,Oman
75,Österreich
76,Pakistan
77,Paraguay
78,Peru
79,Philippinen
80,Polen
81,Portugal
82,Ruanda
83,Rumänien
84,Russland
85,Saint Lucia
86,San Marino
87,Schweden
88,Schweiz
89,Senegal
90,Serbien
91,Seychellen
92,Simbabwe
93,Singapur
94,Slowakei
95,Slowenien
96,Spanien
97,Südafrika
98,Südkorea
99,Trinidad Tobago
100,Tschechien
101,Tunesien
102,Türkei
103,Turks-und Caicosinseln
104,Uganda
105,Ukraine
106,Ungarn
107,Uruguay
108,USA
109,Venezuela
110,Vereinigte Arabische Emirate
111,Vietnam
112,Zypern
