value,name
1,15/2022
2,14/2022
3,13/2022
4,12/2022
5,11/2022
6,10/2022
7,9/2022
8,8/2022
9,7/2022
10,6/2022
11,5/2022
12,4/2022
13,3/2022
14,2/2022
15,1/2022
16,52/2021
17,51/2021
18,50/2021
19,49/2021
20,48/2021
21,47/2021
22,46/2021
23,45/2021
24,44/2021
25,43/2021
26,42/2021
27,41/2021
28,40/2021
29,39/2021
30,38/2021
31,37/2021
32,36/2021
33,35/2021
34,34/2021
35,33/2021
36,32/2021
37,31/2021
38,30/2021
39,29/2021
40,28/2021
41,27/2021
42,26/2021
43,25/2021
44,24/2021
45,23/2021
46,22/2021
47,21/2021
48,20/2021
49,19/2021
50,18/2021
51,17/2021
52,16/2021
53,15/2021
54,14/2021
55,13/2021
56,12/2021
57,11/2021
58,10/2021
59,9/2021
60,8/2021
61,7/2021
62,6/2021
63,5/2021
64,4/2021
65,3/2021
66,2/2021
67,1/2021
68,53/2020
69,52/2020
70,51/2020
71,50/2020
72,49/2020
73,48/2020
74,47/2020
75,46/2020
76,45/2020
77,44/2020
78,43/2020
79,42/2020
80,41/2020
81,40/2020
82,39/2020
83,38/2020
84,37/2020
85,36/2020
86,35/2020
87,34/2020
88,33/2020
89,32/2020
90,31/2020
91,30/2020
92,29/2020
93,28/2020
94,27/2020
95,26/2020
96,25/2020
97,24/2020
98,23/2020
99,22/2020
100,21/2020
101,20/2020
102,19/2020
103,18/2020
104,17/2020
105,16/2020
106,15/2020
107,14/2020
108,13/2020
109,12/2020
110,11/2020
111,10/2020
