"date","land","country","name","id","nuts","inzidenz"
2020-10-18,"Albanien","Albania","Albanien","AL","AL","92.8"
2020-10-18,"Estland","Estonia","Estland","EE","EE","35.9"
2020-10-18,"Montenegro","Montenegro","Montenegro","ME","ME","561.4"
2020-10-18,"Nordmazedonien","North Macedonia","Nordmazedonien","MK","MK","221.4"
2020-10-18,"Serbien","Serbia","Serbien","RS","RS","30.2"
2020-10-18,"Schweiz","Switzerland","Schweiz","CH","CH","233.6"
2020-10-19,"Österreich","Austria","Burgenland","AT","AT11","153"
2020-10-19,"Österreich","Austria","Niederösterreich","AT","AT12","170.9"
2020-10-19,"Österreich","Austria","Wien","AT","AT13","323"
2020-10-19,"Österreich","Austria","Kärnten","AT","AT21","98.2"
2020-10-19,"Österreich","Austria","Steiermark","AT","AT22","118.7"
2020-10-19,"Österreich","Austria","Oberösterreich","AT","AT31","198.4"
2020-10-19,"Österreich","Austria","Salzburg","AT","AT32","309.8"
2020-10-19,"Österreich","Austria","Tirol","AT","AT33","305.5"
2020-10-19,"Österreich","Austria","Vorarlberg","AT","AT34","267.3"
2020-10-19,"Belgien","Belgium","Brussels","BE","BE1","1350.3"
2020-10-19,"Belgien","Belgium","Flanders","BE","BE2","545.8"
2020-10-19,"Belgien","Belgium","Région Wallone","BE","BE3","1413.2"
2020-10-19,"Bulgarien","Bulgaria","<U+0412><U+0438><U+0434><U+0438><U+043D>","BG","BG311","18.9"
2020-10-19,"Bulgarien","Bulgaria","<U+041C><U+043E><U+043D><U+0442><U+0430><U+043D><U+0430>","BG","BG312","127.3"
2020-10-19,"Bulgarien","Bulgaria","<U+0412><U+0440><U+0430><U+0446><U+0430>","BG","BG313","97.8"
2020-10-19,"Bulgarien","Bulgaria","<U+041F><U+043B><U+0435><U+0432><U+0435><U+043D>","BG","BG314","67"
2020-10-19,"Bulgarien","Bulgaria","<U+041B><U+043E><U+0432><U+0435><U+0447>","BG","BG315","79.3"
2020-10-19,"Bulgarien","Bulgaria","<U+0412><U+0435><U+043B><U+0438><U+043A><U+043E> <U+0422><U+044A><U+0440><U+043D><U+043E><U+0432><U+043E>","BG","BG321","63.6"
