Datum,Meldedatum,Intensiv,Beatmet,Tote
2020-03-02,33,,,
2020-03-03,38,,,
2020-03-04,52,,,
2020-03-05,109,,,
2020-03-06,185,,,
2020-03-07,150,,,
2020-03-08,163,,,
2020-03-09,265,,,2
2020-03-10,184,,,0
2020-03-11,271,,,1
2020-03-12,802,,,2
2020-03-13,693,,,0
2020-03-14,733,,,3
2020-03-15,1043,,,4
2020-03-16,1174,,,0
2020-03-17,1144,,,0
2020-03-18,1042,,,0
2020-03-19,2801,,,8
2020-03-20,2958,200,0,11
2020-03-21,2705,308,0,16
2020-03-22,1948,364,0,8
2020-03-23,4062,451,0,31
2020-03-24,4764,616,0,28
2020-03-25,4118,789,0,35
2020-03-26,4954,824,0,49
2020-03-27,5780,905,642,55
2020-03-28,6294,1001,785,72
2020-03-29,3965,1063,855,64
2020-03-30,4751,1203,951,66
2020-03-31,4615,1550,0,128
2020-04-01,5453,1784,1532,149
2020-04-02,6156,2102,1797,140
2020-04-03,6174,2361,2021,145
2020-04-04,6082,2471,0,141
2020-04-05,5936,2528,0,184
2020-04-06,3677,2551,0,92
2020-04-07,3834,2641,0,173
2020-04-08,4003,2654,0,254
2020-04-09,4974,2714,1464,246
2020-04-10,5323,2702,1810,266
2020-04-11,4133,2652,1986,171
2020-04-12,2821,2652,1856,129
2020-04-13,2537,2719,1841,126
2020-04-14,2082,2722,2215,170
2020-04-15,2486,2735,1996,285
2020-04-16,2866,2810,2083,315
2020-04-17,3380,2879,2145,299
2020-04-18,3609,2928,2180,242
2020-04-19,2458,2870,2113,184
2020-04-20,1775,2900,2009,110
2020-04-21,1785,2855,2112,194
2020-04-22,2237,2739,2046,281
2020-04-23,2352,2720,2045,215
2020-04-24,2337,2644,1971,227
2020-04-25,2055,2538,1883,179
2020-04-26,1737,2524,1857,140
2020-04-27,1018,2466,1729,110
2020-04-28,1144,2391,1748,163
2020-04-29,1304,2310,1719,202
2020-04-30,1478,2235,1605,173
2020-05-01,1639,2118,1549,193
2020-05-02,945,2046,1508,94
2020-05-03,793,2011,1441,74
2020-05-04,679,1976,1396,43
2020-05-05,685,1903,1346,139
2020-05-06,947,1820,1311,165
2020-05-07,1284,1763,1230,123
2020-05-08,1209,1659,1185,147
2020-05-09,1251,1594,1121,103
2020-05-10,667,1603,1073,26
2020-05-11,357,1587,1063,22
2020-05-12,933,1496,1020,116
2020-05-13,798,1384,974,101
2020-05-14,933,1316,892,89
2020-05-15,913,1232,838,101
2020-05-16,620,1173,821,57
2020-05-17,583,1125,797,33
2020-05-18,342,1122,747,21
2020-05-19,513,1087,716,72
2020-05-20,797,1019,672,83
2020-05-21,745,999,651,57
2020-05-22,460,971,597,27
2020-05-23,638,928,578,42
2020-05-24,431,896,562,31
2020-05-25,289,883,547,10
2020-05-26,432,810,525,45
2020-05-27,362,749,482,47
2020-05-28,353,723,451,62
2020-05-29,741,722,426,39
2020-05-30,738,711,421,39
2020-05-31,286,697,410,11
2020-06-01,333,696,385,11
2020-06-02,213,691,378,11
2020-06-03,342,631,360,29
2020-06-04,394,595,341,30
2020-06-05,507,584,339,32
2020-06-06,407,561,337,33
2020-06-07,301,566,330,22
2020-06-08,214,543,316,6
2020-06-09,350,516,320,37
2020-06-10,318,483,293,18
2020-06-11,555,452,281,26
2020-06-12,258,450,274,8
2020-06-13,348,441,262,18
2020-06-14,247,438,256,6
2020-06-15,192,434,262,4
2020-06-16,378,421,258,9
2020-06-17,345,407,252,30
2020-06-18,580,394,240,26
2020-06-19,770,374,227,16
2020-06-20,601,359,219,11
2020-06-21,687,350,198,0
2020-06-22,537,363,201,3
2020-06-23,503,358,194,10
2020-06-24,587,353,182,19
2020-06-25,630,358,196,13
2020-06-26,477,359,198,21
2020-06-27,687,343,188,6
2020-06-28,256,335,189,3
2020-06-29,262,329,183,4
2020-06-30,498,333,174,12
2020-07-01,466,324,170,12
2020-07-02,503,325,160,9
2020-07-03,446,314,161,9
2020-07-04,422,320,159,7
2020-07-05,239,299,149,2
2020-07-06,219,305,145,4
2020-07-07,390,292,144,8
2020-07-08,397,287,141,12
2020-07-09,442,272,133,12
2020-07-10,395,276,132,6
2020-07-11,378,253,127,6
2020-07-12,248,254,125,3
2020-07-13,159,263,130,1
2020-07-14,412,256,125,4
2020-07-15,351,246,120,3
2020-07-16,534,251,121,7
2020-07-17,583,246,118,4
2020-07-18,529,246,116,1
2020-07-19,202,249,116,1
2020-07-20,249,245,120,2
2020-07-21,522,251,122,4
2020-07-22,454,248,127,5
2020-07-23,569,234,127,6
2020-07-24,815,235,119,10
2020-07-25,781,247,126,7
2020-07-26,305,265,130,0
2020-07-27,340,257,133,0
2020-07-28,633,253,126,4
2020-07-29,684,255,130,6
2020-07-30,902,260,132,6
2020-07-31,870,259,125,7
2020-08-01,955,255,122,7
2020-08-02,240,267,129,0
2020-08-03,509,263,130,7
2020-08-04,879,258,129,8
2020-08-05,741,238,140,12
2020-08-06,1045,236,131,7
2020-08-07,1147,226,134,8
2020-08-08,1122,228,135,12
2020-08-09,555,234,136,1
2020-08-10,436,227,132,1
2020-08-11,966,230,139,4
2020-08-12,1226,220,137,6
2020-08-13,1445,223,137,4
2020-08-14,1449,230,133,14
2020-08-15,1415,228,134,6
2020-08-16,625,224,134,0
2020-08-17,561,226,134,1
2020-08-18,1390,219,135,4
2020-08-19,1510,226,142,7
2020-08-20,1707,229,137,10
2020-08-21,1427,235,144,7
2020-08-22,2034,230,140,7
2020-08-23,782,242,136,2
2020-08-24,711,243,132,3
2020-08-25,1278,223,133,5
2020-08-26,1576,225,133,3
2020-08-27,1507,238,140,5
2020-08-28,1571,234,140,3
2020-08-29,1479,239,134,1
2020-08-30,785,243,131,6
2020-08-31,610,244,128,3
2020-09-01,1218,233,132,4
2020-09-02,1256,226,125,11
2020-09-03,1311,221,127,8
2020-09-04,1453,223,128,1
2020-09-05,1378,220,126,2
2020-09-06,988,216,126,1
2020-09-07,814,227,134,0
2020-09-08,1499,229,130,4
2020-09-09,1176,225,133,9
2020-09-10,1892,230,129,3
2020-09-11,1484,218,119,1
2020-09-12,1630,231,118,5
2020-09-13,948,234,123,2
2020-09-14,927,233,123,1
2020-09-15,1407,232,129,12
2020-09-16,1901,228,128,6
2020-09-17,2194,234,135,3
2020-09-18,1916,243,134,7
2020-09-19,2297,253,144,6
2020-09-20,1345,265,144,2
2020-09-21,922,265,145,0
2020-09-22,1821,274,151,10
2020-09-23,1769,289,159,13
2020-09-24,2143,291,166,19
2020-09-25,2153,297,164,15
2020-09-26,2507,309,172,9
2020-09-27,1410,324,179,5
2020-09-28,1192,352,191,3
2020-09-29,2089,351,195,11
2020-09-30,1798,354,195,17
2020-10-01,2503,360,193,12
2020-10-02,2673,370,199,8
2020-10-03,2563,401,204,19
2020-10-04,2279,422,212,2
2020-10-05,1382,444,210,5
2020-10-06,2639,448,219,12
2020-10-07,2828,470,233,16
2020-10-08,4058,487,239,16
2020-10-09,4516,510,252,11
2020-10-10,4721,531,278,15
2020-10-11,3483,545,275,11
2020-10-12,2467,589,286,6
2020-10-13,4122,617,319,13
2020-10-14,5132,601,323,43
2020-10-15,6638,651,329,33
2020-10-16,7334,688,341,24
2020-10-17,7830,726,345,33
2020-10-18,5587,766,354,10
2020-10-19,4325,846,389,12
2020-10-20,6868,875,411,47
2020-10-21,7595,940,424,39
2020-10-22,11287,1025,459,30
2020-10-23,11242,1116,478,49
2020-10-24,14714,1193,533,49
2020-10-25,11176,1286,578,29
2020-10-26,8685,1352,622,24
2020-10-27,11409,1462,688,42
2020-10-28,14964,1563,764,85
2020-10-29,16774,1689,826,89
2020-10-30,18681,1832,919,77
2020-10-31,19059,1935,1004,103
2020-11-01,14177,2056,1086,29
2020-11-02,12097,2234,1167,49
2020-11-03,15352,2374,1256,131
2020-11-04,17214,2542,1349,151
2020-11-05,19990,2647,1422,118
2020-11-06,21506,2745,1445,166
2020-11-07,23399,2830,1534,130
2020-11-08,16017,2897,1605,63
2020-11-09,13363,3001,1688,63
2020-11-10,15332,3053,1737,154
2020-11-11,18487,3118,1787,261
2020-11-12,21866,3177,1813,215
2020-11-13,23542,3289,1859,218
2020-11-14,22461,3315,1876,178
2020-11-15,16947,3376,1923,107
2020-11-16,10824,3425,1971,62
2020-11-17,14419,3507,2010,267
2020-11-18,17561,3551,2024,305
2020-11-19,22609,3581,2084,251
2020-11-20,23648,3603,2103,260
2020-11-21,22964,3621,2098,254
2020-11-22,15741,3696,2132,138
2020-11-23,10864,3726,2161,90
2020-11-24,13554,3758,2176,249
2020-11-25,18633,3769,2214,410
2020-11-26,22268,3815,2290,389
2020-11-27,22806,3846,2301,426
2020-11-28,21695,3880,2306,379
2020-11-29,14611,3891,2300,158
2020-11-30,11169,3916,2319,125
2020-12-01,13604,3912,2354,388
2020-12-02,17270,3949,2353,487
2020-12-03,22046,3971,2381,479
2020-12-04,23449,4001,2388,432
2020-12-05,23318,4038,2416,483
2020-12-06,17767,4097,2457,255
2020-12-07,12332,4167,2513,147
2020-12-08,14054,4238,2535,423
2020-12-09,20815,4259,2521,590
2020-12-10,23679,4319,2505,440
2020-12-11,29875,4414,2540,598
2020-12-12,28438,4475,2542,496
2020-12-13,20200,4541,2602,321
2020-12-14,16362,4661,2668,188
2020-12-15,14432,4722,2679,500
2020-12-16,27728,4820,2760,952
2020-12-17,26923,4839,2774,698
2020-12-18,33777,4889,2603,813
2020-12-19,31300,4930,2605,702
2020-12-20,22771,5018,2639,409
2020-12-21,16643,5157,2690,226
2020-12-22,19528,5202,2726,731
2020-12-23,24740,5226,2809,962
2020-12-24,32195,5330,2832,802
2020-12-25,25533,5364,2847,412
2020-12-26,14455,5520,2916,240
2020-12-27,13755,5546,2960,356
2020-12-28,10976,5582,3017,348
2020-12-29,12892,5637,3071,852
2020-12-30,22459,5630,3063,1129
2020-12-31,32552,5622,3112,964
2021-01-01,22924,5583,3111,553
2021-01-02,12690,5703,3129,336
2021-01-03,10315,5745,3171,312
2021-01-04,9847,5723,3211,302
2021-01-05,11897,5650,3181,944
2021-01-06,21237,5552,3123,1019
2021-01-07,26391,5474,3099,1070
2021-01-08,31849,5467,3070,1188
2021-01-09,24694,5398,3066,1083
2021-01-10,16946,5300,3049,465
2021-01-11,12497,5267,3006,343
2021-01-12,12802,5209,3000,891
2021-01-13,19600,5164,2970,1060
2021-01-14,25164,5104,2943,1244
2021-01-15,22368,5050,2936,1113
2021-01-16,18678,4992,2865,980
2021-01-17,13882,4950,2835,445
2021-01-18,7141,4984,2869,214
2021-01-19,11369,4930,2862,989
2021-01-20,15974,4816,2777,1148
2021-01-21,20398,4767,2725,1013
2021-01-22,17862,4749,2692,859
2021-01-23,16417,4639,2614,879
2021-01-24,12257,4607,2623,349
2021-01-25,6729,4604,2630,217
2021-01-26,6412,4559,2547,903
2021-01-27,13198,4487,2503,982
2021-01-28,17553,4428,2485,941
2021-01-29,14022,4367,2410,839
2021-01-30,12321,4342,2391,794
2021-01-31,11192,4337,2336,399
2021-02-01,5608,4313,2350,175
2021-02-02,6114,4252,2356,861
2021-02-03,9705,4207,2319,975
2021-02-04,14211,4170,2300,786
2021-02-05,12908,4066,2266,855
2021-02-06,10485,3958,2222,689
2021-02-07,8616,3929,2202,231
2021-02-08,4535,3951,2203,158
2021-02-09,3379,3840,2130,481
2021-02-10,8072,3732,2095,813
2021-02-11,10237,3668,2055,666
2021-02-12,9860,3546,2019,556
2021-02-13,8354,3479,1936,551
2021-02-14,6114,3417,1922,218
2021-02-15,4426,3426,1934,116
2021-02-16,3856,3342,1909,528
2021-02-17,7556,3239,1842,560
2021-02-18,10207,3169,1806,534
2021-02-19,9113,3114,1762,508
2021-02-20,9164,3068,1752,490
2021-02-21,7676,3049,1735,145
2021-02-22,4369,3053,1779,62
2021-02-23,3883,3030,1767,415
2021-02-24,8007,2950,1744,422
2021-02-25,11869,2891,1707,385
2021-02-26,9997,2841,1682,394
2021-02-27,9762,2820,1656,369
2021-02-28,7890,2834,1658,157
2021-03-01,4732,2862,1643,60
2021-03-02,3943,2849,1616,358
2021-03-03,9019,2816,1629,418
2021-03-04,11912,2805,1594,359
2021-03-05,10580,2756,1582,264
2021-03-06,9557,2746,1576,300
2021-03-07,8103,2779,1584,96
2021-03-08,5011,2857,1599,34
2021-03-09,4252,2776,1572,255
2021-03-10,9146,2727,1570,300
2021-03-11,14356,2748,1556,321
2021-03-12,12834,2747,1557,252
2021-03-13,12674,2713,1542,239
2021-03-14,10790,2767,1554,70
2021-03-15,6604,2825,1610,47
2021-03-16,5480,2844,1604,238
2021-03-17,13435,2849,1572,249
2021-03-18,17504,2887,1589,227
2021-03-19,17482,2938,1596,226
2021-03-20,16033,2945,1596,207
2021-03-21,13733,3044,1651,99
2021-03-22,7709,3139,1678,50
2021-03-23,7485,3157,1708,250
2021-03-24,15813,3198,1734,248
2021-03-25,22657,3248,1761,228
2021-03-26,21573,,,183
