Datum,Fälle,Intensiv,Tote,caseaverage,deathaverage
2020-03-02,33,,,,
2020-03-03,38,,,,
2020-03-04,52,,,,
2020-03-05,109,,,,
2020-03-06,185,,,,
2020-03-07,150,,,,
2020-03-08,163,,,104,
2020-03-09,265,,2,137,
2020-03-10,184,,0,158,
2020-03-11,271,,1,190,
2020-03-12,802,,2,289,
2020-03-13,693,,0,361,
2020-03-14,733,,3,444,
2020-03-15,1043,,4,570,2
2020-03-16,1174,,0,700,1
2020-03-17,1144,,0,837,1
2020-03-18,1042,,0,947,1
2020-03-19,2801,,8,1233,2
2020-03-20,2958,200,11,1556,4
2020-03-21,2705,308,16,1838,6
2020-03-22,1948,364,8,1967,6
2020-03-23,4062,451,31,2380,11
2020-03-24,4764,616,28,2897,15
2020-03-25,4118,789,35,3337,20
2020-03-26,4954,824,49,3644,25
2020-03-27,5780,905,55,4047,32
2020-03-28,6294,1001,72,4560,40
2020-03-29,3965,1063,64,4848,48
2020-03-30,4751,1203,66,4947,53
2020-03-31,4615,1551,128,4925,67
2020-04-01,5453,1785,149,5116,83
2020-04-02,6156,2103,140,5288,96
2020-04-03,6174,2364,145,5344,109
2020-04-04,6082,2474,141,5314,119
2020-04-05,5936,2531,184,5595,136
2020-04-06,3677,2554,92,5442,140
2020-04-07,3834,2644,173,5330,146
2020-04-08,4003,2661,254,5123,161
2020-04-09,4974,2718,246,4954,176
2020-04-10,5323,2704,266,4833,194
2020-04-11,4133,2657,171,4554,198
2020-04-12,2821,2657,129,4109,190
2020-04-13,2537,2722,126,3946,195
2020-04-14,2082,2725,170,3696,195
2020-04-15,2486,2739,285,3479,199
2020-04-16,2866,2817,315,3178,209
2020-04-17,3380,2883,299,2901,214
2020-04-18,3609,2933,242,2826,224
2020-04-19,2458,2875,184,2774,232
2020-04-20,1775,2905,110,2665,229
2020-04-21,1785,2860,194,2623,233
2020-04-22,2237,2744,281,2587,232
2020-04-23,2352,2728,215,2514,218
2020-04-24,2337,2650,227,2365,208
2020-04-25,2055,2543,179,2143,199
2020-04-26,1737,2529,140,2040,192
2020-04-27,1018,2471,110,1932,192
2020-04-28,1144,2394,163,1840,188
2020-04-29,1304,2313,202,1707,177
2020-04-30,1478,2241,173,1582,171
2020-05-01,1639,2124,193,1482,166
2020-05-02,945,2052,94,1324,154
2020-05-03,793,2018,74,1189,144
2020-05-04,679,1980,43,1140,135
2020-05-05,685,1906,139,1075,131
2020-05-06,947,1825,165,1024,126
2020-05-07,1284,1769,123,996,119
2020-05-08,1209,1662,147,935,112
2020-05-09,1251,1596,103,978,113
2020-05-10,667,1605,26,960,107
2020-05-11,357,1590,22,914,104
2020-05-12,933,1499,116,950,100
2020-05-13,798,1386,101,928,91
2020-05-14,933,1318,89,878,86
2020-05-15,913,1235,101,836,80
2020-05-16,620,1176,57,746,73
2020-05-17,583,1128,33,734,74
2020-05-18,342,1126,21,732,74
2020-05-19,513,1088,72,672,68
2020-05-20,797,1021,83,672,65
2020-05-21,745,1000,57,645,61
2020-05-22,460,975,27,580,50
2020-05-23,638,931,42,583,48
2020-05-24,431,900,31,561,48
2020-05-25,289,885,10,553,46
2020-05-26,432,816,45,542,42
2020-05-27,362,751,47,480,37
2020-05-28,353,726,62,424,38
2020-05-29,741,725,39,464,39
2020-05-30,738,716,39,478,39
2020-05-31,286,699,11,457,36
2020-06-01,333,698,11,464,36
2020-06-02,213,694,11,432,31
2020-06-03,342,635,29,429,29
2020-06-04,394,600,30,435,24
2020-06-05,507,588,32,402,23
2020-06-06,407,562,33,355,22
2020-06-07,301,567,22,357,24
2020-06-08,214,546,6,340,23
2020-06-09,350,522,37,359,27
2020-06-10,318,488,18,356,25
2020-06-11,555,453,26,379,25
2020-06-12,258,453,8,343,21
2020-06-13,348,442,18,335,19
2020-06-14,247,438,6,327,17
2020-06-15,192,434,4,324,17
2020-06-16,378,422,9,328,13
2020-06-17,345,409,30,332,14
2020-06-18,580,398,26,335,14
2020-06-19,770,377,16,409,16
2020-06-20,601,362,11,445,15
2020-06-21,687,353,0,508,14
2020-06-22,537,368,3,557,14
2020-06-23,503,362,10,575,14
2020-06-24,587,356,19,609,12
2020-06-25,630,361,13,616,10
2020-06-26,477,363,21,575,11
2020-06-27,687,345,6,587,10
2020-06-28,256,338,3,525,11
2020-06-29,262,332,4,486,11
2020-06-30,498,334,12,485,11
2020-07-01,466,327,12,468,10
2020-07-02,503,326,9,450,10
2020-07-03,446,319,9,445,8
2020-07-04,422,323,7,408,8
2020-07-05,239,301,2,405,8
2020-07-06,219,312,4,399,8
2020-07-07,390,297,8,384,7
2020-07-08,397,291,12,374,7
2020-07-09,442,278,12,365,8
2020-07-10,395,279,6,358,7
2020-07-11,378,254,6,351,7
2020-07-12,248,255,3,353,7
2020-07-13,159,264,1,344,7
2020-07-14,412,261,4,347,6
2020-07-15,351,247,3,341,5
2020-07-16,534,254,7,354,4
2020-07-17,583,248,4,381,4
2020-07-18,529,246,1,402,3
2020-07-19,202,253,1,396,3
2020-07-20,249,246,2,409,3
2020-07-21,522,253,4,424,3
2020-07-22,454,249,5,439,3
2020-07-23,569,238,6,444,3
2020-07-24,815,236,10,477,4
2020-07-25,781,248,7,513,5
2020-07-26,305,267,0,528,5
2020-07-27,340,258,0,541,5
2020-07-28,633,255,4,557,5
2020-07-29,684,257,6,590,5
2020-07-30,902,262,6,637,5
2020-07-31,870,261,7,645,4
2020-08-01,955,257,7,670,4
2020-08-02,240,269,0,661,4
2020-08-03,509,267,7,685,5
2020-08-04,879,260,8,720,6
2020-08-05,741,240,12,728,7
2020-08-06,1045,237,7,748,7
2020-08-07,1147,227,8,788,7
2020-08-08,1122,229,12,812,8
2020-08-09,555,234,1,857,8
2020-08-10,436,228,1,846,7
2020-08-11,966,231,4,859,6
2020-08-12,1226,221,6,928,6
2020-08-13,1445,224,4,985,5
2020-08-14,1449,230,14,1028,6
2020-08-15,1415,228,6,1070,5
2020-08-16,625,225,0,1080,5
2020-08-17,561,227,1,1098,5
2020-08-18,1390,220,4,1159,5
2020-08-19,1510,227,7,1199,5
2020-08-20,1707,230,10,1237,6
2020-08-21,1427,237,7,1234,5
2020-08-22,2034,232,7,1322,5
2020-08-23,782,245,2,1344,5
2020-08-24,711,245,3,1366,6
2020-08-25,1278,225,5,1350,6
2020-08-26,1576,227,3,1359,5
2020-08-27,1507,240,5,1331,5
2020-08-28,1571,236,3,1351,4
2020-08-29,1479,241,1,1272,3
2020-08-30,785,244,6,1272,4
2020-08-31,610,245,3,1258,4
2020-09-01,1218,234,4,1249,4
2020-09-02,1256,227,11,1204,5
2020-09-03,1311,222,8,1176,5
2020-09-04,1453,224,1,1159,5
2020-09-05,1378,222,2,1144,5
2020-09-06,988,218,1,1173,4
2020-09-07,814,228,0,1203,4
2020-09-08,1499,230,4,1243,4
2020-09-09,1176,227,9,1231,4
2020-09-10,1892,233,3,1314,3
2020-09-11,1484,220,1,1319,3
2020-09-12,1630,233,5,1355,3
2020-09-13,948,236,2,1349,3
2020-09-14,927,237,1,1365,4
2020-09-15,1407,236,12,1352,5
2020-09-16,1901,233,6,1456,4
2020-09-17,2194,238,3,1499,4
2020-09-18,1916,246,7,1560,5
2020-09-19,2297,257,6,1656,5
2020-09-20,1345,268,2,1712,5
2020-09-21,922,267,0,1712,5
2020-09-22,1821,278,10,1771,5
2020-09-23,1769,293,13,1752,6
2020-09-24,2143,296,19,1745,8
2020-09-25,2153,301,15,1779,9
2020-09-26,2507,312,9,1809,10
2020-09-27,1410,325,5,1818,10
2020-09-28,1192,353,3,1856,11
2020-09-29,2089,352,11,1895,11
2020-09-30,1798,355,17,1899,11
2020-10-01,2503,362,12,1950,10
2020-10-02,2673,373,8,2025,9
2020-10-03,2563,403,19,2033,11
2020-10-04,2279,424,2,2157,10
2020-10-05,1382,446,5,2184,11
2020-10-06,2639,449,12,2262,11
2020-10-07,2828,470,16,2410,11
2020-10-08,4058,487,16,2632,11
2020-10-09,4516,510,11,2895,12
2020-10-10,4721,531,15,3203,11
2020-10-11,3483,545,11,3375,12
2020-10-12,2467,590,6,3530,12
2020-10-13,4122,618,13,3742,13
2020-10-14,5132,602,43,4071,16
2020-10-15,6638,655,33,4440,19
2020-10-16,7334,690,24,4842,21
2020-10-17,7830,731,33,5287,23
2020-10-18,5587,769,10,5587,23
2020-10-19,4325,851,12,5853,24
2020-10-20,6868,879,47,6245,29
2020-10-21,7595,943,39,6597,28
2020-10-22,11287,1030,30,7261,28
2020-10-23,11242,1121,49,7819,31
2020-10-24,14714,1200,49,8803,34
2020-10-25,11176,1294,29,9601,36
2020-10-26,8685,1360,24,10224,38
2020-10-27,11409,1468,42,10873,37
2020-10-28,14964,1569,85,11925,44
2020-10-29,16774,1696,89,12709,52
2020-10-30,18681,1839,77,13772,56
2020-10-31,19059,1944,103,14393,64
2020-11-01,14177,2061,29,14821,64
2020-11-02,12097,2243,49,15309,68
2020-11-03,15352,2380,131,15872,80
2020-11-04,17214,2546,151,16193,90
2020-11-05,19990,2653,118,16653,94
2020-11-06,21506,2753,166,17056,107
2020-11-07,23399,2839,130,17676,111
2020-11-08,16017,2905,63,17939,115
2020-11-09,13363,3007,63,18120,117
2020-11-10,15332,3058,154,18117,121
2020-11-11,18487,3124,261,18299,136
2020-11-12,21866,3185,215,18567,150
2020-11-13,23542,3298,218,18858,158
2020-11-14,22461,3324,178,18724,165
2020-11-15,16947,3385,107,18857,171
2020-11-16,10824,3435,62,18494,171
2020-11-17,14419,3517,267,18364,187
2020-11-18,17561,3561,305,18231,193
2020-11-19,22609,3593,251,18338,198
2020-11-20,23648,3615,260,18353,204
2020-11-21,22964,3632,254,18425,215
2020-11-22,15741,3709,138,18252,220
2020-11-23,10864,3740,90,18258,224
2020-11-24,13554,3767,249,18134,221
2020-11-25,18633,3778,410,18288,236
2020-11-26,22268,3826,389,18239,256
2020-11-27,22806,3855,426,18119,279
2020-11-28,21695,3888,379,17937,297
2020-11-29,14611,3899,158,17776,300
2020-11-30,11169,3926,125,17819,305
2020-12-01,13604,3921,388,17827,325
2020-12-02,17270,3958,487,17632,336
2020-12-03,22046,3980,479,17600,349
2020-12-04,23449,4011,432,17692,350
2020-12-05,23318,4051,483,17924,365
2020-12-06,17767,4108,255,18375,378
2020-12-07,12332,4181,147,18541,382
2020-12-08,14054,4255,423,18605,387
2020-12-09,20815,4278,590,19112,401
2020-12-10,23679,4339,440,19345,396
2020-12-11,29875,4432,598,20263,419
2020-12-12,28438,4491,496,20994,421
2020-12-13,20200,4553,321,21342,431
2020-12-14,16362,4675,188,21918,437
2020-12-15,14432,4735,500,21972,448
2020-12-16,27728,4834,952,22959,499
2020-12-17,26923,4855,698,23423,536
2020-12-18,33777,4904,813,23980,567
2020-12-19,31300,4941,702,24389,596
2020-12-20,22771,5029,409,24756,609
2020-12-21,16643,5168,226,24796,614
2020-12-22,19528,5217,731,25524,647
2020-12-23,24740,5241,962,25097,649
2020-12-24,32195,5346,802,25851,664
2020-12-25,25533,5381,412,24673,606
2020-12-26,14455,5536,240,22266,540
2020-12-27,13755,5562,356,20978,533
2020-12-28,10976,5600,348,20169,550
2020-12-29,12892,5649,852,19221,567
2020-12-30,22459,5647,1129,18895,591
2020-12-31,32552,5638,964,18946,614
2021-01-01,22924,5604,553,18573,635
2021-01-02,12690,5724,336,18321,648
2021-01-03,10315,5761,312,17830,642
2021-01-04,9847,5744,302,17668,635
2021-01-05,11897,5671,944,17526,649
2021-01-06,21237,5572,1019,17352,633
2021-01-07,26391,5492,1070,16472,648
2021-01-08,31849,5486,1188,17747,739
2021-01-09,24694,5414,1083,19461,845
2021-01-10,16946,5320,465,20409,867
2021-01-11,12497,5288,343,20787,873
2021-01-12,12802,5230,891,20917,866
2021-01-13,19600,5185,1060,20683,871
2021-01-14,25164,5126,1244,20507,896
2021-01-15,22368,5074,1113,19153,886
2021-01-16,18678,5015,980,18294,871
2021-01-17,13882,4972,445,17856,868
2021-01-18,7141,5005,214,17091,850
2021-01-19,11369,4947,989,16886,864
2021-01-20,15974,4835,1148,16368,876
2021-01-21,20398,4787,1013,15687,843
2021-01-22,17862,4769,859,15043,807
2021-01-23,16417,4657,879,14720,792
2021-01-24,12257,4624,349,14488,779
2021-01-25,6729,4620,217,14429,779
2021-01-26,6412,4571,903,13721,767
2021-01-27,13198,4501,982,13325,743
2021-01-28,17553,4438,941,12918,733
2021-01-29,14022,4376,839,12370,730
2021-01-30,12321,4351,794,11785,718
2021-01-31,11192,4346,399,11632,725
2021-02-01,5608,4322,175,11472,719
2021-02-02,6114,4263,861,11430,713
2021-02-03,9705,4222,975,10931,712
2021-02-04,14211,4178,786,10453,690
2021-02-05,12908,4072,855,10294,692
2021-02-06,10485,3965,689,10032,677
2021-02-07,8616,3932,231,9664,653
2021-02-08,4535,3956,158,9511,651
2021-02-09,3379,3847,481,9120,596
2021-02-10,8072,3738,813,8887,573
2021-02-11,10237,3675,666,8319,556
2021-02-12,9860,3551,556,7883,513
2021-02-13,8354,3485,551,7579,494
2021-02-14,6114,3424,218,7222,492
2021-02-15,4426,3436,116,7206,486
2021-02-16,3856,3354,528,7274,493
2021-02-17,7556,3248,560,7200,456
2021-02-18,10207,3178,534,7196,438
2021-02-19,9113,3121,508,7089,431
2021-02-20,9164,3081,490,7205,422
2021-02-21,7676,3056,145,7428,412
2021-02-22,4369,3058,62,7420,404
2021-02-23,3883,3037,415,7424,388
2021-02-24,8007,2956,422,7488,368
2021-02-25,11869,2899,385,7726,347
2021-02-26,9997,2848,394,7852,330
2021-02-27,9762,2826,369,7938,313
2021-02-28,7890,2840,157,7968,315
2021-03-01,4732,2869,60,8020,315
2021-03-02,3943,2855,358,8029,306
2021-03-03,9019,2823,418,8173,306
2021-03-04,11912,2814,359,8179,302
2021-03-05,10580,2765,264,8263,284
2021-03-06,9557,2755,300,8233,274
2021-03-07,8103,2787,96,8264,265
2021-03-08,5011,2865,34,8304,261
2021-03-09,4252,2785,255,8348,247
2021-03-10,9146,2736,300,8366,230
2021-03-11,14356,2758,321,8715,224
2021-03-12,12834,2755,252,9037,223
2021-03-13,12674,2719,239,9482,214
2021-03-14,10790,2773,70,9866,210
2021-03-15,6604,2833,47,10094,212
2021-03-16,5480,2852,238,10269,210
2021-03-17,13435,2859,249,10882,202
2021-03-18,17504,2895,227,11332,189
2021-03-19,17482,2951,226,11996,185
2021-03-20,16033,2958,207,12475,181
2021-03-21,13733,3056,99,12896,185
2021-03-22,7709,3150,50,13054,185
2021-03-23,7485,3168,250,13340,187
2021-03-24,15813,3207,248,13680,187
2021-03-25,22657,3261,228,14416,187
2021-03-26,21573,3333,183,15000,181
2021-03-27,20472,3390,157,15635,174
2021-03-28,17176,3455,90,16126,172
2021-03-29,9872,3571,43,16435,171
2021-03-30,9549,3599,180,16730,161
2021-03-31,17051,3680,249,16907,161
2021-04-01,24300,3730,201,17142,158
2021-04-02,21888,3850,232,17187,165
2021-04-03,18129,3917,120,16852,159
2021-04-04,12196,4060,68,16141,156
2021-04-05,8497,4164,50,15944,157
2021-04-06,6885,4357,90,15564,144
2021-04-07,9677,4443,298,14510,151
2021-04-08,20407,4477,306,13954,166
2021-04-09,25464,4515,296,14465,175
2021-04-10,24097,4535,246,15318,193
2021-04-11,17855,4585,104,16126,199
2021-04-12,13245,4662,99,16804,206
2021-04-13,10810,4692,294,17365,235
2021-04-14,21693,4680,342,19082,241
2021-04-15,29426,4684,293,20370,239
2021-04-16,25831,4740,247,20422,232
2021-04-17,23804,4786,219,20381,228
2021-04-18,19185,4844,67,20571,223
2021-04-19,11437,4932,92,20312,222
2021-04-20,9609,4968,297,20141,222
2021-04-21,24884,4988,331,20597,221
2021-04-22,29518,5050,259,20610,216
2021-04-23,27543,5054,265,20854,219
2021-04-24,23392,5025,286,20795,228
2021-04-25,18773,5052,120,20737,236
2021-04-26,11907,5120,60,20804,231
2021-04-27,10976,5064,344,20999,238
2021-04-28,22231,5046,312,20620,235
2021-04-29,24736,5033,264,19937,236
2021-04-30,24329,5024,306,19478,242
2021-05-01,18935,5009,232,18841,234
2021-05-02,16290,5028,110,18486,233
2021-05-03,9160,5007,84,18094,236
2021-05-04,7534,4954,315,17602,232
2021-05-05,18034,4839,285,17003,228
2021-05-06,21953,4766,250,16605,226
