date,Europäische Union,Belgien,Bulgarien,Dänemark,Deutschland,Estland,Finnland,Frankreich,Griechenland,Irland,Island,Italien,Kroatien,Lettland,Litauen,Luxemburg,Malta,Niederlande,Nordmazedonien,Norwegen,Österreich,Polen,Portugal,Rumänien,Schweden,Schweiz,Serbien,Slowakei,Slowenien,Spanien,Tschechien,Türkei,Ungarn,USA,Zypern
2000-01-01,,0.3,7,2.8,1.7,3.1,2.3,1.7,2.3,4.5,4.6,2.2,3.1,3.1,0.9,3.5,3.4,1.6,,2.7,1.4,10.1,1.9,56.7,1,,,13.7,7.8,2.9,3.4,65.7,10.2,,4.4
2000-02-01,,2.1,8.9,2.8,1.7,2.9,2.7,1.4,2.6,4.6,4.3,2.4,3.2,3.4,0.9,2.6,3.3,1.5,,3,1.9,10.5,1.6,55.6,1.4,,,16.7,8.4,3,3.5,66.7,10,,4.7
2000-03-01,,2.5,9.6,2.9,1.4,3.1,3.2,1.6,2.8,5,4.6,2.5,3.5,3.2,1,3,3.4,1.6,,2.7,1.9,10.3,1.4,49,1.3,,,16.8,9,3,3.8,65.1,9.8,,5.2
2000-04-01,,2.3,9.2,2.9,1,3,2.5,1.3,2.1,5.1,5.1,2.4,3.9,3.7,0.9,3.2,3.4,1.7,,2.7,1.8,9.9,1.9,48.9,1,,,16.2,9.3,3,3.4,61.3,9.4,,5.9
2000-05-01,,2.4,10.3,2.9,0.8,2.8,2.7,1.5,2.6,5.1,5,2.5,3.4,3,0.5,2.9,3.6,2,,2.9,1.6,9.8,2.4,44,1.3,,,16.3,9.1,3.2,3.7,60.9,9.2,,6
2000-06-01,,3,11.6,2.9,1.4,3.1,3.1,1.8,2.2,5.4,4.7,2.8,4.5,2.4,1.3,4.4,3.3,2.5,,3.5,2.4,10.6,2.8,40.9,1.3,,,15.7,9.8,3.5,4.1,57.5,9.3,,5.2
2000-07-01,,1.7,8.6,2.8,1.3,4,2.9,1.9,2.6,5.9,5.2,2.8,4.6,2.8,1.4,4.7,3.3,2.8,,3.4,1.9,11.6,3.3,44.5,1.3,,,9.3,8.9,3.7,4.1,54.8,9.8,,4.7
2000-08-01,,3.5,11,2.1,1,4.4,2.9,2,2.9,5.7,4.1,2.8,4.8,2.5,1,3.7,3.2,2.5,,3.5,1.9,10.7,3.6,45.4,1.3,,,8.8,8.3,3.6,4.2,51.8,9.8,,5.6
2000-09-01,,4,11.9,2.8,1.5,4.7,3.4,2.3,3,5.5,3.6,2.8,5.2,2.2,0.5,4.2,3.2,2.9,,3.5,2.3,10.2,3.6,44.9,1.2,,,8.8,9,3.7,4.2,47.5,10.6,,4.6
2000-10-01,,3.7,11.9,2.9,1.5,5.4,3.4,2.1,3.8,5.9,3.8,2.7,5.3,2,1.3,4.3,3.4,3.2,,3.1,2.2,9.8,3.7,42.9,1.3,,,8.7,9.1,4,4.5,43.6,10.6,,4.2
2000-11-01,,3.7,12.3,2.8,1.4,5.7,3.3,2.3,4,5.9,4.1,2.9,6.1,1.6,1.7,4.5,1.9,2.9,,3,2.3,9.1,3.6,41.3,1.8,,,8.6,9.8,4.1,4.3,42.6,10.5,,4.2
2000-12-01,4,3,11.3,2.4,2.2,5,2.9,1.8,3.7,4.7,3.7,2.7,5.9,1.7,1.7,4.3,1,2.9,,2.8,1.8,8.4,3.8,40.7,1.3,,,8.4,8.9,4,4,37.2,10,,3.7
