bundesland,impfungen,vortag,hckey,einwohner,quote
Baden-Württemberg,17086,4295,de-bw,11100394,0.153922464373787
Bayern,37955,9749,de-by,13124737,0.289186747132533
Berlin,11114,2030,de-be,3669491,0.302875793945264
Brandenburg,3219,183,de-bb,2521893,0.127642211624363
Bremen,1741,50,de-hb,681202,0.255577640699822
Hamburg,2759,719,de-hh,1847253,0.149356909963064
Hessen,21373,5699,de-he,6288080,0.339897075100826
Mecklenburg-Vorpommern,11494,393,de-mv,1608138,0.714739655427581
Niedersachsen,3566,861,de-ni,7993608,0.0446106439044797
Nordrhein-Westfalen,24924,3033,de-nw,17947221,0.138873867993268
Rheinland-Pfalz,5112,865,de-rp,4093903,0.12486861559739
Saarland,2716,597,de-sl,986887,0.27520881316706
Sachsen,3290,637,de-sn,4071971,0.0807962532149664
Sachsen-Anhalt,11146,1046,de-st,2194782,0.507840869844932
Schleswig-Holstein,7270,1689,de-sh,2903773,0.250363923075254
Thüringen,810,0,de-th,2133378,0.0379679550459412
