bundesland,impfungen,vortag,hckey,einwohner
Baden-Württemberg,27454,3390,de-bw,11100394
Bayern,66258,8425,de-by,13124737
Berlin,17758,935,de-be,3669491
Brandenburg,3309,NA,de-bb,2521893
Bremen,1903,66,de-hb,681202
Hamburg,4140,436,de-hh,1847253
Hessen,33405,3320,de-he,6288080
Mecklenburg-Vorpommern,11494,NA,de-mv,1608138
Niedersachsen,5394,432,de-ni,7993608
Nordrhein-Westfalen,53841,3539,de-nw,17947221
Rheinland-Pfalz,8282,658,de-rp,4093903
Saarland,4149,NA,de-sl,986887
Sachsen,4866,523,de-sn,4071971
Sachsen-Anhalt,13366,544,de-st,2194782
Schleswig-Holstein,9557,624,de-sh,2903773
Thüringen,810,NA,de-th,2133378
