Land,Kreis,Ort,Straße,Standort,lon,lat,z
Brandenburg,Kreisfreie Stadt Potsdam,Potsdam,,Details sind noch nicht bekannt,13.0644729,52.3905689,1
Brandenburg,Kreisfreie Stadt Cottbus,Cottbus,,Details sind noch nicht bekannt,14.3328679,51.7563108,1
Brandenburg,Landkreis Ostprignitz-Ruppin,Kyritz,,Details sind noch nicht bekannt,12.3961713,52.9432288,1
Brandenburg,Landkreis Oberhavel,Oranienburg,,Details sind noch nicht bekannt,13.2366809,52.7537284,1
Brandenburg,Landkreis Uckermark,Prenzlau,,Details sind noch nicht bekannt,13.8633409,53.3173433,1
Brandenburg,Landkreis Barnim,Eberswalde,,Details sind noch nicht bekannt,13.7875871,52.837133,1
Brandenburg,Kreisfreie Stadt Frankfurt (Oder),Frankfurt (Oder),,Details sind noch nicht bekannt,14.5505672,52.3472237,1
Brandenburg,Landkreis Elbe-Elster,Elsterwerda,,Details sind noch nicht bekannt,13.5202201,51.4632578,1
Brandenburg,Landkreis Teltow-Fläming,Luckenwalde,,Details sind noch nicht bekannt,13.1636906,52.0903895,1
Brandenburg,Kreisfreie Stadt Brandenburg an der Havel,Brandenburg an der Havel,,Details sind noch nicht bekannt,12.5316444,52.4125287,1
Berlin,Berlin,Berlin,Messedamm 22,an der Messe (Halle 11),13.2741797,52.5012463,1
Berlin,Berlin,Berlin,Saatwinkler Damm,Flughafen Tegel (Terminal C),13.286861,52.5483451,1
Berlin,Berlin,Berlin,Platz der Luftbrücke 5,Flughafen Tempelhof (Hangar 4),13.3891911,52.4821151,1
Berlin,Berlin,Berlin,Müllerstraße 185,Erika-Heß-Eisstadion,13.36949,52.53732,1
Berlin,Berlin,Berlin,Paul-Heyse-Straße,Velodrom,13.4472471,52.5305788,1
Berlin,Berlin,Berlin,Eichenstraße 4,Arena Berlin,13.4532015,52.4964226,1
Baden-Württemberg,Landkreis Alb-Donau-Kreis,Ehingen (Donau),Biberacher Straße 67,Alb-Donau-Center,9.72615,48.27206,1
Baden-Württemberg,Landkreis Biberach,Ummendorf,Schulstraße 31,Gemeindehalle,9.8287803,48.0613769,1
Baden-Württemberg,Landkreis Böblingen,Sindelfingen,Mahdentalstraße,Messehalle Sindelfingen,9.0247576,48.7070666,1
Baden-Württemberg,Landkreis Bodenseekreis,Friedrichshafen,Messestraße,Messe - Friedrichshafen,9.5045127,47.6740223,1
Baden-Württemberg,Landkreis Breisgau- Hochschwarzwald,Müllheim,,Details sind noch nicht bekannt,7.6370241,47.8165337,1
Baden-Württemberg,Landkreis Calw,Altensteig,Rolf-Moll-Straße 4,DEKRA-Hotel Wart,8.6430873,48.623141,1
Baden-Württemberg,Landkreis Emmendingen,Kenzingen,Industriestraße 26,ehemaliger Aldi-Markt,7.7676525,48.2018332,1
Baden-Württemberg,Landkreis Enzkreis,Mönsheim,Pforzheimer Straße 85,Appenberg-Halle,8.8552517,48.8653142,1
Baden-Württemberg,Landkreis Esslingen,Echterdingen,Messpiazza,Messe Stuttgart,9.1935003,48.693439,1
Baden-Württemberg,Landkreis Esslingen,Esslingen am Neckar,Zeppelinstraße,Gewerbegebäude Zeppelinstraße,9.3432966,48.7221838,1
Baden-Württemberg,Landkreis Freudenstadt,Dornstetten,Riedstiege 80,Riedsteighalle,8.5052167,48.4725461,1
Baden-Württemberg,Landkreis Göppingen,Göppingen,Esslinger Straße 10,Esslinger Str. 10,9.6811052,48.6963187,1
Baden-Württemberg,Landkreis Heidenheim,Heidenheim an der Brenz,Hugo-Rupf-Platz 1,Congress Centrum,10.1467234,48.6725144,1
Baden-Württemberg,Landkreis Heilbronn,Ilsfeld,Ochsenweg 2,Tiefenbachhalle,9.2874207,49.0542092,1
Baden-Württemberg,Landkreis Hohenlohekreis,Öhringen,Pfaffenmühlenweg 30,Hohenlohe-Sporthalle,9.5073173,49.1990172,1
Baden-Württemberg,Landkreis Karlsruhe,Sulzfeld,,Sulzfeld EGO Halle 4,8.8587134,49.1117267,1
Baden-Württemberg,Landkreis Karlsruhe,Bruchsal,Stuttgarter Straße 10,Praktiker-Baumarkt,8.6409557,49.0955346,1
