Land,Kreis,Standort,PLZ,Ort,Straße,lat,lon,z
Brandenburg,Potsdam,Metropolis-Halle,14482,14482 Potsdam,Großbeerenstraße 200,52.38467215,13.117960502105,1
Brandenburg,Cottbus,Messe,3042,3042 Cottbus,Vorparkstraße 3,51.7504929,14.3488732,1
Brandenburg,Ostprignitz-Ruppin,Sport- und Kulturzentrum,16866,16866 Kyritz,Perleberger Straße 8,52.9509277,12.3816415,1
Brandenburg,Oberhavel,TURM ErlebnisCity,16515,16515 Oranienburg,André-Pican-Straße 42,52.7501427,13.2576094,1
Brandenburg,Uckermark,Turnhalle Gesamtschule Carl Friedrich Grabow,17291,17291 Prenzlau,Berliner Strasse 29,53.29978135,13.821737203875,1
Brandenburg,Barnim,Sportzentrum Westend,16225,16225 Eberswalde,Heegermühler Straße 69a,52.8380158,13.7790568736971,1
Brandenburg,Frankfurt (Oder),Messehalle 1,15234,15234 Frankfurt (Oder),Messering 3,52.3437763,14.4967971,1
Brandenburg,Elbe-Elster,Mehrzweckhalle,4910,4910 Elsterwerda,Am Elsterschloß 4,51.46170,13.52076,1
Brandenburg,Teltow-Fläming,Fläminghalle,14943,14943 Luckenwalde,Weinberge 39,52.0909189,13.1508614,1
Brandenburg,Brandenburg an der Havel,Stahlpalast,14770,14770 Brandenburg an der Havel,Magdeburger Landstraße 226,52.4135183,12.5042565,1
Brandenburg,Dahme Spreewald,Flughafen Schönefeld,12529,12529 Schönefeld,Terminal 5 / Terminalbereich M,52.38855,13.50483,1
Berlin,Berlin,an der Messe (Halle 11),14055,14055 Berlin,Messedamm 22,52.50124265,13.2742107903943,1
Berlin,Berlin,Flughafen Tegel (Terminal C),13405,13405 Berlin,Saatwinkler Damm,52.5472912,13.2480963,1
Berlin,Berlin,Flughafen Tempelhof (Hangar 4),12101,12101 Berlin,Platz der Luftbrücke 5,52.4825604,13.3889801,1
Berlin,Berlin,Erika-Heß-Eisstadion,13353,13353 Berlin,Müllerstraße 185,52.5370986,13.3692027389868,1
Berlin,Berlin,Velodrom,10407,10407 Berlin,Paul-Heyse-Straße,52.5294978,13.4442954,1
Berlin,Berlin,Arena Berlin,12435,12435 Berlin,Eichenstraße 4,52.4970017,13.4537898,1
Baden-Württemberg,Alb-Donau- Kreis,Alb-Donau- Center Ehingen,89584,89584 Ehingen (Donau),Talstraße 3,48.2711009,9.7266253,1
Baden-Württemberg,Baden-Baden,Baden-Baden Kurhaus,76530,76530 Baden-Baden,Werderstraße 4,49.41360495,8.68831030654587,1
Baden-Württemberg,Biberach,Gemeindehalle,88444,88444 Ummendorf,Schulstraße 31,48.0611757,9.82837504494265,1
Baden-Württemberg,Böblingen,Messehalle,71065,71065 Sindelfingen,Mahdentalstraße 116,48.705198,9.0384875525381,1
Baden-Württemberg,Bodenseekreis,,88046,88046 Friedrichshafen,Neue Messe 1,47.6782474,9.50628934516983,1
Baden-Württemberg,Breisgau- Hochschwarzwald,Betriebsgebäude,79379,79379 Müllheim,Eisenbahnstraße 14,47.80919885,7.60462053127357,1
Baden-Württemberg,Calw,DEKRA- Hotel Wart,72213,72213 Altensteig-Wart,Wildbader Straße 28,48.6223902,8.6434941,1
Baden-Württemberg,Calw,3-Glocken- Center,69469,69469 Weinheim,Bergstraße 49-57,49.5538097,8.6682775,1
Baden-Württemberg,Emmendingen,ehemaliger Aldi-Markt,79341,79341 Kenzingen,Industriestraße 26,48.2017563,7.76756232095897,1
Baden-Württemberg,Enzkreis,Appenberg- Halle,71297,71297 Mönsheim,Pforzheimer Straße 85,48.8655735,8.8552615,1
