Land,Kreis,Ort,Straße,Standort,lon,lat,z
Brandenburg,Kreisfreie Stadt Potsdam,Potsdam,Großbeerenstraße 200,Metropolis-Halle,13.1209888,52.3835549,1
Brandenburg,Kreisfreie Stadt Cottbus,Cottbus,Vorparkstraße 3,Messe,14.348377,51.7502261,1
Brandenburg,Landkreis Ostprignitz-Ruppin,Kyritz,,Kreissporthalle,12.3961713,52.9432288,1
Brandenburg,Landkreis Oberhavel,Oranienburg,,Details sind noch nicht bekannt,13.2366809,52.7537284,1
Brandenburg,Landkreis Uckermark,Prenzlau,,Details sind noch nicht bekannt,13.8633409,53.3173433,1
Brandenburg,Landkreis Barnim,Eberswalde,,Details sind noch nicht bekannt,13.7875871,52.837133,1
Brandenburg,Kreisfreie Stadt Frankfurt (Oder),Frankfurt (Oder),,Details sind noch nicht bekannt,14.5505672,52.3472237,1
Brandenburg,Landkreis Elbe-Elster,Elsterwerda,,Details sind noch nicht bekannt,13.5202201,51.4632578,1
Brandenburg,Landkreis Teltow-Fläming,Luckenwalde,,Details sind noch nicht bekannt,13.1636906,52.0903895,1
Brandenburg,Kreisfreie Stadt Brandenburg an der Havel,Brandenburg an der Havel,,Details sind noch nicht bekannt,12.5316444,52.4125287,1
Berlin,Berlin,Berlin,Messedamm 22,an der Messe (Halle 11),13.2741797,52.5012463,1
Berlin,Berlin,Berlin,Saatwinkler Damm,Flughafen Tegel (Terminal C),13.286861,52.5483451,1
Berlin,Berlin,Berlin,Platz der Luftbrücke 5,Flughafen Tempelhof (Hangar 4),13.3891911,52.4821151,1
Berlin,Berlin,Berlin,Müllerstraße 185,Erika-Heß-Eisstadion,13.36949,52.53732,1
Berlin,Berlin,Berlin,Paul-Heyse-Straße,Velodrom,13.4472471,52.5305788,1
Berlin,Berlin,Berlin,Eichenstraße 4,Arena Berlin,13.4532015,52.4964226,1
Baden-Württemberg,Stadtkreis Freiburg,Freiburg,Hermann-Mitsch-Straße 3,Messe Freiburg Impfzentrum (Halle 2,7.8402587,48.0159052,1
Baden-Württemberg,Ortenaukreis,Offenburg,Schutterwälderstraße 3,Messe Offenburg-Ortenau,7.9350358,48.4621107,1
Baden-Württemberg,Stadtkreis Ulm,Ulm,Böfingerstr. 50,Ulm Messe Halle 7,10.0150628,48.4158634,1
Baden-Württemberg,Stadtkreis Karlsruhe,Rheinstetten,Messeallee 1,Karlsruhe Messe Halle 2,8.3332101,48.9794226,1
Baden-Württemberg,Stadtkreis Stuttgart,Stuttgart,Auerbachstraße 110,Stuttgart Robert-Bosch- Krankenhaus,9.1874092,48.8144899,1
Baden-Württemberg,Stadkreis Heidelberg,Heidelberg,South Gettysburg Avenue 45,Details sind noch nicht bekannt,8.62852,49.37123,1
Baden-Württemberg,Landkreis Tübingen,Tübingen,Europastraße 50,Paul-Horn-Arena,9.0420197,48.5105016,1
Baden-Württemberg,Landkreis Schwäbisch Hall,Rot am See,Steinäckerstraße 16,Details sind noch nicht bekannt,10.01631,49.25591,1
Baden-Württemberg,Standkreis Mannheim,,Zeppelinstraße,Gewerbegebäude Zeppelinstraße,9.1535507,48.7814452,1
Baden-Württemberg,Stadt Baden-Baden,Baden-Baden,Werderstraße 4,Baden-Baden Kurhaus,8.2356284,48.7595847,1
Baden-Württemberg,Landkreis Rastatt,Bühl,Ludwig-Jahn-Str. 6a,Schwarzwaldhalle,8.1281924,48.6893581,1
Baden-Württemberg,Landkreis Neckar- Oden-Wald-Kreis,Mosbach,Alte Bergsteige,Obertorzentrum,9.1587921,49.3505219,1
Baden-Württemberg,Landkreis Rhein- Neckar-Kreis,Sinsheim,Breite Seite 3,„Parsa“-Halle,8.86437,49.25212,1
Baden-Württemberg,Landkreis Calw,Weinheim,Bergstraße 49-57,3-Glocken- Center,8.6681565,49.5539014,1
Baden-Württemberg,Landkreis Calw,Altensteig-Wart,Wildbader Straße 28,DEKRA- Hotel Wart,8.6437552,48.622578,1
Baden-Württemberg,Landkreis Enzkreis,Mönsheim,Pforzheimer Straße 85,Appenberg- Halle,8.8552517,48.8653142,1
Baden-Württemberg,Landkreis Karlsruhe,Sulzfeld,Ochsenburger Straße 19,EGO Halle 4,8.8597853,49.098741,1
Baden-Württemberg,Landkreis Freudenstadt,Bruchsal,Stuttgarter Str. 10,Praktiker- Baumarkt,8.6409557,49.0955346,1
Baden-Württemberg,Stadt Pforzheim,Dornstetten,Riedsteige 80,Riedsteighalle,8.5052167,48.4725461,1
Baden-Württemberg,Stadtkreis Heidelberg,Heidelberg,Schwalbenweg 1/2,Gesellschaftshaus Pfaffengrund,8.65329,49.39872,1
Baden-Württemberg,Stadtkreis Mannheim,Mannheim,Xaver-Fuhr-Straße 101,Maimarkt Arena,8.5229291,49.4691724,1
Baden-Württemberg,Stadtkreis Karlsruhe,Karlsruhe,Festplatz 5,Kongresszentrum Schwarzwaldhalle,8.4010219,49.0017796,1
Baden-Württemberg,Landkreis Böblingen,Sindelfingen,Mahdentalstraße 116 Zugang über Schwertstraße,Messehalle,9.0383469,48.7052005,1
Baden-Württemberg,Landkreis Esslingen,Stuttgart,Messepiazza 1,Messe Stuttgart,9.1868755,48.6937498,1
Baden-Württemberg,Landkreis Esslingen,Esslingen,Zeppelinstraße 112,Gewerbegebäude,9.3443455,48.7221512,1
Baden-Württemberg,Landkreis Ludwigsburg,Ludwigsburg,Schwieberdinger Straße 74,MM Studio (Doppelstandort),9.1729715,48.8911081,1
Baden-Württemberg,Landkreis Heidenheim,Heidenheim,Hugo-Rupf-Platz 1,Congress Centrum Heidenheim,10.1467234,48.6725144,1
Baden-Württemberg,Landkreis Ostalbkreis,Aalen,Parkstraße 15,Ulrich-Pfeifle- Halle,10.0821922,48.8401628,1
Baden-Württemberg,Landkreis Main- Tauber-Kreis,Bad Mergentheim,Seegartenstraße 16,Berufliches Schulzentrum,9.7700168,49.4871778,1
Baden-Württemberg,Stadt Heilbronn,Heilbronn,Nussäckerstraße 3,Details sind noch nicht bekannt,9.17141,49.11404,1
Baden-Württemberg,Landkreis Heilbronn,Ilsfeld,Ochsenweg 2,Tiefenbachhalle,9.2874207,49.0542092,1
Baden-Württemberg,Landkreis Göppingen,Göppingen,Werfthalle Göppingen Manfred-Wörner-Straße 104,Werfthalle,9.6894372,48.7126546,1
Baden-Württemberg,Landkreis Hohenlohekreis,Öhringen,Pfaffenmühlweg 30,Hohenlohe- Sporthalle,9.5073173,49.1990172,1
Baden-Württemberg,Landkreis-Rems-Murr Kreis,Waiblingen,Beinsteiner Straße 160,Rundsporthalle,9.3301265,48.8263635,1
Baden-Württemberg,Landkreis Schwäbisch Hall,Wolpertshausen,Sälich 1,Mehrzweckhalle,9.8433732,49.1698273,1
Baden-Württemberg,Stadtkreis Stuttgart,Stuttgart,Berliner Platz 1-3,Details sind noch nicht bekannt,9.1704055,48.779502,1
Baden-Württemberg,Landkreis Alb-Donau- Kreis,Ehingen (Donau),Talstraße 3,Alb-Donau- Center Ehingen,9.7274987,48.271715,1
Baden-Württemberg,Landkreis Reutlingen,Reutlingen,An der Kreuzeiche 4,Kreuzeiche- Stadion,9.18922,48.47845,1
Baden-Württemberg,Landkreis Ravensburg,Ravensburg,Bleicherstraße 20,Oberschwabenhalle,9.6137881,47.7907711,1
Baden-Württemberg,Landkreis Tübingen,Tübingen,Europastraße 50,Paul-Horn-Arena,9.0420197,48.5105016,1
