datum,covid,frei
2020-03-20,200,
2020-03-21,308,
2020-03-22,364,
2020-03-23,451,
2020-03-24,616,
2020-03-25,789,
2020-03-26,824,4237
2020-03-27,905,4603
2020-03-28,1001,4870
2020-03-29,1063,5128
2020-03-30,1203,5356
2020-03-31,1551,5576
2020-04-01,1785,5868
2020-04-02,2103,6280
2020-04-03,2364,6721
2020-04-04,2474,7193
2020-04-05,2531,7655
2020-04-06,2554,8085
2020-04-07,2644,8415
2020-04-08,2661,8658
2020-04-09,2718,8779
2020-04-10,2704,8825
2020-04-11,2657,8841
2020-04-12,2657,8864
2020-04-13,2722,8916
2020-04-14,2725,9015
2020-04-15,2739,9147
2020-04-16,2817,9447
2020-04-17,2883,9813
2020-04-18,2933,10198
2020-04-19,2875,10634
2020-04-20,2905,11052
2020-04-21,2860,11435
2020-04-22,2744,11751
2020-04-23,2728,11899
2020-04-24,2650,12008
2020-04-25,2543,12097
2020-04-26,2529,12182
2020-04-27,2471,12248
2020-04-28,2394,12269
2020-04-29,2313,12275
2020-04-30,2241,12282
2020-05-01,2124,12288
2020-05-02,2052,12378
2020-05-03,2018,12393
2020-05-04,1980,12420
2020-05-05,1906,12411
2020-05-06,1825,12367
2020-05-07,1769,12310
2020-05-08,1662,12220
2020-05-09,1596,12071
2020-05-10,1605,12000
2020-05-11,1590,11915
2020-05-12,1499,11881
2020-05-13,1386,11843
2020-05-14,1318,11837
2020-05-15,1235,11806
2020-05-16,1176,11772
2020-05-17,1128,11758
2020-05-18,1126,11758
2020-05-19,1088,11679
2020-05-20,1021,11639
2020-05-21,1000,11579
2020-05-22,975,11644
2020-05-23,931,11681
2020-05-24,900,11684
2020-05-25,885,11707
2020-05-26,816,11745
2020-05-27,751,11739
2020-05-28,726,11710
2020-05-29,725,11604
2020-05-30,716,11517
2020-05-31,699,11469
2020-06-01,698,11422
2020-06-02,694,11454
2020-06-03,635,11443
2020-06-04,600,11400
2020-06-05,588,11342
2020-06-06,562,11302
2020-06-07,567,11257
2020-06-08,546,11220
2020-06-09,522,11096
2020-06-10,488,11044
2020-06-11,453,11049
2020-06-12,453,11129
2020-06-13,442,11170
2020-06-14,438,11184
2020-06-15,434,11185
2020-06-16,422,11188
2020-06-17,409,11173
2020-06-18,398,11146
2020-06-19,377,11042
2020-06-20,362,10977
2020-06-21,353,10942
2020-06-22,368,10924
2020-06-23,362,10913
2020-06-24,356,10941
2020-06-25,361,10967
2020-06-26,363,10979
2020-06-27,345,10982
2020-06-28,338,10971
2020-06-29,332,10957
2020-06-30,334,10960
2020-07-01,327,10924
2020-07-02,326,10880
2020-07-03,319,10857
2020-07-04,323,10874
2020-07-05,301,10894
2020-07-06,312,10902
2020-07-07,297,10917
2020-07-08,291,10942
2020-07-09,278,10965
2020-07-10,279,10981
2020-07-11,254,10961
2020-07-12,255,10935
2020-07-13,264,10931
2020-07-14,261,10897
2020-07-15,247,10847
2020-07-16,254,10811
2020-07-17,248,10792
2020-07-18,246,10779
2020-07-19,253,10763
2020-07-20,246,10721
2020-07-21,253,10727
2020-07-22,249,10763
2020-07-23,238,10818
2020-07-24,236,10854
2020-07-25,248,10880
2020-07-26,267,10913
2020-07-27,258,10962
2020-07-28,255,10984
2020-07-29,257,11006
2020-07-30,262,11037
2020-07-31,261,11080
2020-08-01,257,11123
2020-08-02,269,11159
2020-08-03,267,11186
2020-08-04,260,10980
2020-08-05,240,10739
2020-08-06,237,10467
2020-08-07,227,10191
2020-08-08,229,9907
2020-08-09,234,9618
2020-08-10,228,9303
2020-08-11,231,9206
2020-08-12,221,9152
2020-08-13,224,9079
2020-08-14,230,9007
2020-08-15,228,8945
2020-08-16,225,8892
2020-08-17,227,8863
2020-08-18,220,8864
2020-08-19,227,8859
2020-08-20,230,8869
2020-08-21,237,8886
2020-08-22,232,8914
2020-08-23,245,8942
2020-08-24,245,8993
2020-08-25,225,9025
2020-08-26,227,9051
2020-08-27,240,9100
2020-08-28,236,9144
2020-08-29,241,9147
2020-08-30,244,9148
2020-08-31,245,9137
2020-09-01,234,9129
2020-09-02,227,9132
2020-09-03,222,9118
2020-09-04,224,9116
2020-09-05,222,9114
2020-09-06,218,9124
2020-09-07,228,9115
2020-09-08,230,9093
2020-09-09,227,9070
2020-09-10,233,9034
2020-09-11,220,8981
2020-09-12,233,8962
2020-09-13,236,8928
2020-09-14,237,8927
2020-09-15,236,8916
2020-09-16,233,8893
2020-09-17,238,8864
2020-09-18,246,8868
2020-09-19,257,8884
2020-09-20,268,8894
2020-09-21,267,8889
2020-09-22,278,8895
2020-09-23,293,8907
2020-09-24,296,8933
2020-09-25,301,8929
2020-09-26,312,8900
2020-09-27,325,8899
2020-09-28,353,8909
