stadtteil,neuinf,inzidenz,einwohner,stand
Lövenich,6,65.3,9186,05.05.2021
Junkersdorf,10,64.9,15399,05.05.2021
Widdersdorf,9,72.3,12453,05.05.2021
Buchforst,15,201.2,7456,05.05.2021
Grengel,7,125.7,5569,05.05.2021
Wahn,21,290.7,7223,05.05.2021
Ensen,14,181.7,7706,05.05.2021
Eil,13,140.2,9272,05.05.2021
Holweide,37,176.5,20959,05.05.2021
Merheim,21,187.4,11207,05.05.2021
Neubrück,43,475.5,9044,05.05.2021
Bocklemünd/Mengenich,35,326.1,10734,05.05.2021
Dünnwald,23,198,11619,05.05.2021
Deutz,10,64.4,15516,05.05.2021
Niehl,29,144.1,20125,05.05.2021
Flittard,14,173.5,8067,05.05.2021
Dellbrück,20,91.3,21905,05.05.2021
Rath/Heumar,12,101.9,11776,05.05.2021
Brück,12,117,10258,05.05.2021
Altstadt/Nord,21,114.6,18322,05.05.2021
Neustadt/Süd,35,91.9,38100,05.05.2021
Müngersdorf,16,180,8889,05.05.2021
Roggendorf/Thenhoven,31,683,4539,05.05.2021
Altstadt/Süd,26,92.9,27982,05.05.2021
Neustadt/Nord,23,80.3,28632,05.05.2021
Braunsfeld,5,40.9,12237,05.05.2021
Neuehrenfeld,24,99.1,24226,05.05.2021
Esch/Auweiler,15,214.7,6986,05.05.2021
Lindweiler,6,172.2,3484,05.05.2021
Lindenthal,16,52.1,30692,05.05.2021
Sülz,23,62.6,36763,05.05.2021
Klettenberg,8,75.7,10572,05.05.2021
Ehrenfeld,46,119.8,38406,05.05.2021
Finkenberg,25,366.4,6824,05.05.2021
Stammheim,26,311.1,8358,05.05.2021
Mülheim,108,253.3,42634,05.05.2021
Godorf,5,183.2,2729,05.05.2021
Weiden,26,149,17453,05.05.2021
Vogelsang,12,145.5,8247,05.05.2021
Weidenpesch,18,130,13844,05.05.2021
Mauenheim,10,176.4,5668,05.05.2021
Marienburg,9,124,7258,05.05.2021
Bayenthal,23,220.6,10426,05.05.2021
Weiß,7,118.5,5907,05.05.2021
Hahnwald,1,48.4,2066,05.05.2021
Meschenich,19,236.8,8024,05.05.2021
Immendorf,1,48.5,2062,05.05.2021
Höhenberg,33,262.4,12576,05.05.2021
Vingst,35,271,12915,05.05.2021
Elsdorf,6,350.1,1714,05.05.2021
Wahnheide,20,253.9,7878,05.05.2021
Lind,3,83,3613,05.05.2021
Raderthal,5,102.7,4869,05.05.2021
Raderberg,11,164.3,6694,05.05.2021
Rondorf,20,213.7,9357,05.05.2021
Buchheim,22,171.9,12795,05.05.2021
Urbach,27,207.6,13005,05.05.2021
Ostheim,25,178.6,13994,05.05.2021
Westhoven,5,89.3,5597,05.05.2021
Pesch,7,90.3,7754,05.05.2021
Höhenhaus,35,222.3,15744,05.05.2021
Poll,8,71,11268,05.05.2021
Humboldt/Gremberg,38,251.5,15109,05.05.2021
Bickendorf,22,132.9,16558,05.05.2021
Chorweiler,36,279.5,12882,05.05.2021
Sürth,13,119,10920,05.05.2021
Seeberg,34,305.5,11129,05.05.2021
Rodenkirchen,15,86.7,17310,05.05.2021
Zündorf,27,230.8,11696,05.05.2021
Langel,8,228.5,3501,05.05.2021
Zollstock,24,102.8,23340,05.05.2021
Porz,50,332.8,15023,05.05.2021
Kalk,54,223.8,24128,05.05.2021
Ossendorf,12,100.7,11917,05.05.2021
Volkhoven/Weiler,16,266.8,5997,05.05.2021
Heimersdorf,15,241.6,6209,05.05.2021
Worringen,5,48.9,10230,05.05.2021
Riehl,15,126.8,11831,05.05.2021
Nippes,39,106.2,36725,05.05.2021
Bilderstöckchen,23,146.5,15696,05.05.2021
Longerich,24,173.6,13821,05.05.2021
Gremberghoven,16,521.5,3068,05.05.2021
Merkenich,9,153.5,5865,05.05.2021
Fühlingen,2,95.6,2093,05.05.2021
Blumenberg,16,302.1,5296,05.05.2021
Libur,0,0,1119,05.05.2021
