typ,einwohner,bundesland,Kreis,hc.key,lat,lon,weekly_cases,inzidenz.x,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+
Kreisfreie Stadt,90164,Schleswig-Holstein,Flensburg,de-sh-01001000,54.78499338,9.438528355,835,928.458647452576,14,318.254148670152,75,990.360491218804,358,1324.16037875425,274,986.214591656769,89,499.719258843346,24,431.421894661154
Kreisfreie Stadt,246794,Schleswig-Holstein,Kiel,de-sh-01002000,54.32484069,10.13224436,2275,922.542893175616,33,291.185034853966,227,1168.65733113674,1063,1383.14206157129,706,892.970074119046,207,450.293669784642,37,261.465620804183
Kreisfreie Stadt,216530,Schleswig-Holstein,Lübeck,de-sh-01003000,53.87231673,10.72728311,2341,1084.56955421921,42,445.907208833209,308,1728.58906723538,822,1561.16460600536,833,1148.9179758079,252,529.000566786322,83,503.030303030303
Kreisfreie Stadt,80196,Schleswig-Holstein,Neumünster,de-sh-01004000,54.08112444,9.984481955,822,1028.7216069082,9,249.100470523111,71,980.798452824976,306,1590.27128157156,305,1136.40597637766,94,538.620215448086,37,636.723455515402
Kreis,133193,Schleswig-Holstein,Dithmarschen,de-sh-01051000,54.13291096,9.107814479,1641,1231.51045770763,42,781.977285421709,164,1414.64676960235,588,2102.70347589758,577,1277.39650210317,195,587.455564258601,75,757.499242500758
Kreis,198019,Schleswig-Holstein,Herzogtum Lauenburg,de-sh-01053000,53.58900242,10.60185922,1347,676.367799469752,34,357.480811691725,182,965.210012728044,429,1080.68619794947,537,746.362006421215,134,308.017653549099,31,213.763618811198
Kreis,165951,Schleswig-Holstein,Nordfriesland,de-sh-01054000,54.609564,8.886887793,2208,1320.99289846662,47,682.643427741467,207,1480.36901952371,767,2138.51558579156,814,1430.20293420012,271,673.593159673891,98,811.930405965203
Kreis,200539,Schleswig-Holstein,Ostholstein,de-sh-01055000,54.18964903,10.81942702,3093,1535.08663089926,50,683.153436261784,289,1793.69414101291,994,2727.0981371231,1199,1722.03311933589,426,784.703801945181,134,800.286669851887
Kreis,316103,Schleswig-Holstein,Pinneberg,de-sh-01056000,53.71808407,9.7368667,2429,766.986770108961,76,505.756305317096,270,909.243980468092,697,1061.07660455487,1028,893.59445762815,267,389.883473029409,89,401.443391971132
Kreis,128686,Schleswig-Holstein,Plön,de-sh-01057000,54.24338859,10.36369516,972,751.432127588846,17,319.069069069069,138,1218.22033898305,292,1242.65894969785,385,851.713381855187,112,339.651250947688,27,260.768785010624
Kreis,274098,Schleswig-Holstein,Rendsburg-Eckernförde,de-sh-01058000,54.28961574,9.781742068,2955,1075.46448783506,62,513.670256835128,312,1226.36688809402,996,1823.00722979775,1169,1195.02770337961,340,525.137076222102,74,381.738457570286
Kreis,201156,Schleswig-Holstein,Schleswig-Flensburg,de-sh-01059000,54.61901956,9.488709215,2344,1157.18466101151,61,658.960786431889,247,1325.4628387443,788,1926.88592737498,862,1232.00937584861,314,654.166666666667,68,472.156644910429
Kreis,277175,Schleswig-Holstein,Segeberg,de-sh-01060000,53.91998574,10.14091472,2864,1030.90929365088,65,509.204857030944,389,1496.03876624875,839,1445.10661752041,1181,1165.46436008013,289,475.900340869794,101,552.214324767633
Kreis,131013,Schleswig-Holstein,Steinburg,de-sh-01061000,53.92894519,9.519381896,1470,1125.4265297691,46,807.442513603651,180,1558.71146518878,416,1519.96784683401,587,1249.01589463157,192,638.106949383496,48,515.408568667454
Kreis,244156,Schleswig-Holstein,Stormarn,de-sh-01062000,53.72080057,10.33163988,2405,982.493091526558,61,542.559814995997,316,1333.44586041016,689,1482.58128375616,995,1106.98233278448,268,493.045845904776,66,356.718192627824
Kreisfreie Stadt,1847253,Hamburg,Hamburg,de-hh-02000000,53.54637735,10.02079442,15994,863.869908306603,444,444.235444785736,2083,1264.82357441692,5400,1092.30812798615,6048,924.699946487272,1556,476.578436357177,460,427.076660260517
Kreisfreie Stadt,249406,Niedersachsen,Braunschweig,de-ni-03101000,52.27522109,10.52410806,2355,948.258174049831,62,552.978951123796,253,1300.03596937465,931,1353.47309045445,774,936.683125181528,241,483.237086942573,93,533.165166542453
