Datum,Positiv,Tote
2020-02-25,16,0
2020-02-26,21,0
2020-02-27,26,0
2020-02-28,53,0
2020-02-29,66,0
2020-03-01,117,0
2020-03-02,150,0
2020-03-03,188,0
2020-03-04,240,0
2020-03-05,349,0
2020-03-06,534,0
2020-03-07,684,0
2020-03-08,847,0
2020-03-09,1112,2
2020-03-10,1296,2
2020-03-11,1567,3
2020-03-12,2369,5
2020-03-13,3062,5
2020-03-14,3795,8
2020-03-15,4838,12
2020-03-16,6012,12
2020-03-17,7156,12
2020-03-18,8198,12
2020-03-19,10999,20
2020-03-20,13957,31
2020-03-21,16662,47
2020-03-22,18610,55
2020-03-23,22672,86
2020-03-24,27436,114
2020-03-25,31554,149
2020-03-26,36508,198
2020-03-27,42288,253
2020-03-28,48582,325
2020-03-29,52547,389
2020-03-30,57298,455
2020-03-31,61913,583
2020-04-01,67366,732
2020-04-02,73522,872
2020-04-03,79696,1017
2020-04-04,85778,1158
2020-04-05,91714,1342
2020-04-06,95391,1434
2020-04-07,99225,1607
2020-04-08,103228,1861
2020-04-09,108202,2107
2020-04-10,113525,2373
2020-04-11,117658,2544
2020-04-12,120479,2673
2020-04-13,123016,2799
2020-04-14,125098,2969
2020-04-15,127584,3254
2020-04-16,130450,3569
2020-04-17,133830,3868
2020-04-18,137439,4110
2020-04-19,139897,4294
2020-04-20,141672,4404
2020-04-21,143457,4598
2020-04-22,145694,4879
2020-04-23,148046,5094
2020-04-24,150383,5321
2020-04-25,152438,5500
2020-04-26,154175,5640
2020-04-27,155193,5750
2020-04-28,156337,5913
2020-04-29,157641,6115
2020-04-30,159119,6288
2020-05-01,160758,6481
2020-05-02,161703,6575
2020-05-03,162496,6649
2020-05-04,163175,6692
2020-05-05,163860,6831
2020-05-06,164807,6996
2020-05-07,166091,7119
2020-05-08,167300,7266
2020-05-09,168551,7369
2020-05-10,169218,7395
2020-05-11,169575,7417
2020-05-12,170508,7533
2020-05-13,171306,7634
2020-05-14,172239,7723
2020-05-15,173152,7824
2020-05-16,173772,7881
2020-05-17,174355,7914
2020-05-18,174697,7935
2020-05-19,175210,8007
2020-05-20,176007,8090
2020-05-21,176752,8147
2020-05-22,177212,8174
2020-05-23,177850,8216
2020-05-24,178281,8247
2020-05-25,178570,8257
2020-05-26,179002,8302
2020-05-27,179364,8349
2020-05-28,179717,8411
2020-05-29,180458,8450
2020-05-30,181196,8489
2020-05-31,181482,8500
2020-06-01,181815,8511
2020-06-02,182028,8522
2020-06-03,182370,8551
2020-06-04,182764,8581
2020-06-05,183271,8613
2020-06-06,183678,8646
2020-06-07,183979,8668
2020-06-08,184193,8674
2020-06-09,184543,8711
2020-06-10,184861,8729
2020-06-11,185416,8755
2020-06-12,185674,8763
2020-06-13,186022,8781
2020-06-14,186269,8787
2020-06-15,186461,8791
2020-06-16,186839,8800
2020-06-17,187184,8830
2020-06-18,187764,8856
2020-06-19,188534,8872
2020-06-20,189135,8883
2020-06-21,189822,8882
2020-06-22,190359,8885
2020-06-23,190862,8895
2020-06-24,191449,8914
2020-06-25,192079,8927
2020-06-26,192556,8948
2020-06-27,193243,8954
2020-06-28,193499,8957
2020-06-29,193761,8961
2020-06-30,194259,8973
2020-07-01,194725,8985
2020-07-02,195228,8994
2020-07-03,195674,9003
2020-07-04,196096,9010
2020-07-05,196335,9012
2020-07-06,196554,9016
2020-07-07,196944,9024
2020-07-08,197341,9036
2020-07-09,197783,9048
2020-07-10,198178,9054
2020-07-11,198556,9060
2020-07-12,198804,9063
2020-07-13,198963,9064
2020-07-14,199375,9068
2020-07-15,199726,9071
2020-07-16,200260,9078
2020-07-17,200843,9082
2020-07-18,201372,9083
2020-07-19,201574,9084
2020-07-20,201823,9086
2020-07-21,202345,9090
2020-07-22,202799,9095
2020-07-23,203368,9101
2020-07-24,204183,9111
2020-07-25,204964,9118
2020-07-26,205269,9118
2020-07-27,205609,9118
2020-07-28,206242,9122
2020-07-29,206926,9128
2020-07-30,207828,9134
2020-07-31,208698,9141
2020-08-01,209653,9148
2020-08-02,209893,9141
2020-08-03,210402,9148
2020-08-04,211281,9156
2020-08-05,212022,9168
2020-08-06,213067,9175
2020-08-07,214214,9183
2020-08-08,215336,9195
2020-08-09,215891,9196
2020-08-10,216327,9197
2020-08-11,217293,9201
2020-08-12,218519,9207
2020-08-13,219964,9211
2020-08-14,221413,9225
2020-08-15,222828,9231
2020-08-16,223453,9231
2020-08-17,224014,9232
2020-08-18,225404,9236
2020-08-19,226914,9243
2020-08-20,228621,9253
2020-08-21,230048,9260
2020-08-22,232082,9267
2020-08-23,232864,9269
2020-08-24,233575,9272
2020-08-25,234853,9277
2020-08-26,236429,9280
2020-08-27,237936,9285
2020-08-28,239507,9288
2020-08-29,240986,9289
2020-08-30,241771,9295
2020-08-31,242381,9298
2020-09-01,243599,9302
2020-09-02,244855,9313
2020-09-03,246166,9321
2020-09-04,247619,9322
2020-09-05,248997,9324
2020-09-06,249985,9325
2020-09-07,250799,9325
2020-09-08,252298,9329
2020-09-09,253474,9338
2020-09-10,255366,9341
2020-09-11,256850,9342
2020-09-12,258480,9347
