land,inzidenz,hckey,lat,lon
Baden-Württemberg,684.8,de-bw,48.2,8.5
Bayern,788,de-by,49,12
Berlin,525.3,de-be,52.3,13.4
Brandenburg,588.5,de-bb,53,12.8
Bremen,881.9,de-hb,53.1,8.2
Hamburg,863.9,de-hh,53.6,10
Hessen,911.9,de-he,50.6,9
Mecklenburg-Vorpommern,636.2,de-mv,54,12
Niedersachsen,1088.6,de-ni,52.5,9.5
Nordrhein-Westfalen,695.8,de-nw,51.5,7.8
Rheinland-Pfalz,772.6,de-rp,49.9,7.8
Saarland,827,de-sl,49.1,7.4
Sachsen,536.8,de-sn,51.1,13.5
Sachsen-Anhalt,637.4,de-st,51.7,12.2
Schleswig-Holstein,1031,de-sh,54.6,9.3
Thüringen,473,de-th,51,11.2
