bundesland,einwohner,date,Impfquote,Inzidenz,Todesrate,datum,bl
Baden-Württemberg,11103043,2021-10-14,64.1,95.4,5.7,14.10.2021,BW
Bayern,13140183,2021-10-14,63.3,108.8,9.4,14.10.2021,BY
Berlin,3664088,2021-10-14,65.2,87.5,4.4,14.10.2021,BE
Brandenburg,2531071,2021-10-14,59.8,55.7,3.2,14.10.2021,BB
Bremen,680130,2021-10-14,78.1,79.7,5.9,14.10.2021,HB
Hamburg,1852478,2021-10-14,70.4,62.3,3.2,14.10.2021,HH
Hessen,6293154,2021-10-14,65,56.8,3.8,14.10.2021,HE
Mecklenburg-Vorpommern,1610774,2021-10-14,64,58,6.8,14.10.2021,MV
Niedersachsen,8003421,2021-10-14,67.8,48.7,4,14.10.2021,NI
Nordrhein-Westfalen,17925570,2021-10-14,69.2,50.3,5.4,14.10.2021,NW
Rheinland-Pfalz,4098391,2021-10-14,65.8,58,4.6,14.10.2021,RP
Saarland,983991,2021-10-14,72.4,62.5,3,14.10.2021,SL
Sachsen,4056941,2021-10-14,55.9,115.9,14,14.10.2021,SN
Sachsen-Anhalt,2180684,2021-10-14,62.2,63.4,6.4,14.10.2021,ST
Schleswig-Holstein,2910875,2021-10-14,70.7,27.8,1.7,14.10.2021,SH
Thüringen,2120237,2021-10-14,59.9,125.6,17.9,14.10.2021,TH
Baden-Württemberg,11103043,2021-10-15,64.2,97.8,6.8,15.10.2021,BW
Bayern,13140183,2021-10-15,63.5,115.2,8.8,15.10.2021,BY
Berlin,3664088,2021-10-15,65.3,90,3.8,15.10.2021,BE
Brandenburg,2531071,2021-10-15,59.9,55.7,4,15.10.2021,BB
Bremen,680130,2021-10-15,78.3,77.2,5.9,15.10.2021,HB
Hamburg,1852478,2021-10-15,70.6,62.7,3.8,15.10.2021,HH
Hessen,6293154,2021-10-15,65,58.4,4.6,15.10.2021,HE
Mecklenburg-Vorpommern,1610774,2021-10-15,64.2,61.8,7.4,15.10.2021,MV
Niedersachsen,8003421,2021-10-15,67.9,49.9,4.5,15.10.2021,NI
Nordrhein-Westfalen,17925570,2021-10-15,69.3,49.8,5.7,15.10.2021,NW
Rheinland-Pfalz,4098391,2021-10-15,65.9,58.3,4.9,15.10.2021,RP
Saarland,983991,2021-10-15,72.5,61.3,4.1,15.10.2021,SL
Sachsen,4056941,2021-10-15,56,124.8,14.8,15.10.2021,SN
Sachsen-Anhalt,2180684,2021-10-15,62.3,66.6,7.8,15.10.2021,ST
Schleswig-Holstein,2910875,2021-10-15,70.8,27.6,2.4,15.10.2021,SH
Thüringen,2120237,2021-10-15,60,133,17,15.10.2021,TH
Baden-Württemberg,11103043,2021-10-16,64.2,100,7.3,16.10.2021,BW
Bayern,13140183,2021-10-16,63.5,119.2,9.2,16.10.2021,BY
Berlin,3664088,2021-10-16,65.3,92.1,4.1,16.10.2021,BE
Brandenburg,2531071,2021-10-16,59.9,58.2,4,16.10.2021,BB
Bremen,680130,2021-10-16,78.3,72.8,4.4,16.10.2021,HB
Hamburg,1852478,2021-10-16,70.6,67.3,3.2,16.10.2021,HH
Hessen,6293154,2021-10-16,65.1,58.5,4.3,16.10.2021,HE
Mecklenburg-Vorpommern,1610774,2021-10-16,64.2,61.2,7.4,16.10.2021,MV
Niedersachsen,8003421,2021-10-16,67.9,51.4,4.4,16.10.2021,NI
Nordrhein-Westfalen,17925570,2021-10-16,69.3,50,5.7,16.10.2021,NW
