"region","neuinf","neuinfpro","add"
"<b>Flensburg</b><br>Kreisfreie Stadt<br>Schleswig-Holstein","835","928,458647452576",""
"<b>Kiel</b><br>Kreisfreie Stadt<br>Schleswig-Holstein","2275","922,542893175616",""
"<b>Lübeck</b><br>Kreisfreie Stadt<br>Schleswig-Holstein","2341","1084,56955421921",""
"<b>Neumünster</b><br>Kreisfreie Stadt<br>Schleswig-Holstein","822","1028,7216069082",""
"<b>Regionalverband Saarbrücken</b><br>Landkreis<br>Saarland","2413","736,789393652558",""
"<b>Merzig-Wadern</b><br>Landkreis<br>Saarland","1018","983,8505474964",""
"<b>Neunkirchen</b><br>Landkreis<br>Saarland","1034","788,277986155582",""
"<b>Saarlouis</b><br>Landkreis<br>Saarland","1685","869,758222699399",""
"<b>Saarpfalz-Kreis</b><br>Landkreis<br>Saarland","1133","799,824927994578",""
"<b>St. Wendel</b><br>Landkreis<br>Saarland","855","988,919475352194",""
"<b>Dithmarschen</b><br>Kreis<br>Schleswig-Holstein","1641","1231,51045770763",""
"<b>Herzogtum Lauenburg</b><br>Kreis<br>Schleswig-Holstein","1347","676,367799469752",""
"<b>Nordfriesland</b><br>Kreis<br>Schleswig-Holstein","2208","1320,99289846662",""
"<b>Ostholstein</b><br>Kreis<br>Schleswig-Holstein","3093","1535,08663089926",""
"<b>Pinneberg</b><br>Kreis<br>Schleswig-Holstein","2432","766,986770108961",""
"<b>Plön</b><br>Kreis<br>Schleswig-Holstein","972","751,432127588846",""
"<b>Rendsburg-Eckernförde</b><br>Kreis<br>Schleswig-Holstein","2955","1075,46448783506",""
"<b>Schleswig-Flensburg</b><br>Kreis<br>Schleswig-Holstein","2345","1157,18466101151",""
"<b>Segeberg</b><br>Kreis<br>Schleswig-Holstein","2866","1030,90929365088",""
"<b>Steinburg</b><br>Kreis<br>Schleswig-Holstein","1471","1125,4265297691",""
"<b>Stormarn</b><br>Kreis<br>Schleswig-Holstein","2407","982,493091526558",""
