Kreis,Typ,Bundesland,hc-key,Max,CDU,SPD,Grüne,FDP,Linke,AfD,Partei
Olpe,Kreis,Nordrhein-Westfalen,de-nw-05966000,2,51.6,18.4,12.2,4.3,2.0,4.0,CDU
Heinsberg,Kreis,Nordrhein-Westfalen,de-nw-05370000,2,51.5,15.6,16.7,4.9,2.7,4.3,CDU
Borken,Kreis,Nordrhein-Westfalen,de-nw-05554000,2,49.4,15.8,15.0,6.0,2.1,2.9,CDU
Hochsauerlandkreis,Kreis,Nordrhein-Westfalen,de-nw-05958000,2,48.3,21.2,13.6,6.1,2.0,3.7,CDU
Coesfeld,Kreis,Nordrhein-Westfalen,de-nw-05558000,2,47.0,16.9,21.7,5.5,2.3,0.6,CDU
Paderborn,Kreis,Nordrhein-Westfalen,de-nw-05774000,2,46.8,15.5,18.2,5.6,3.2,4.9,CDU
Höxter,Kreis,Nordrhein-Westfalen,de-nw-05762000,2,46.6,18.1,14.4,4.9,1.8,4.4,CDU
Kleve,Kreis,Nordrhein-Westfalen,de-nw-05154000,2,44.1,19.6,19.6,6.4,1.8,4.0,CDU
Viersen,Kreis,Nordrhein-Westfalen,de-nw-05166000,2,42.0,19.4,20.9,7.1,2.8,3.9,CDU
Soest,Kreis,Nordrhein-Westfalen,de-nw-05974000,2,41.9,20.3,16.4,6.7,2.7,4.5,CDU
Warendorf,Kreis,Nordrhein-Westfalen,de-nw-05570000,2,41.3,20.7,18.8,6.3,2.5,3.4,CDU
Düren,Kreis,Nordrhein-Westfalen,de-nw-05358000,2,41.0,25.2,15.0,4.4,2.6,6.4,CDU
Steinfurt,Kreis,Nordrhein-Westfalen,de-nw-05566000,2,39.6,24.3,19.4,5.8,3.1,3.0,CDU
Oberbergischer Kreis,Kreis,Nordrhein-Westfalen,de-nw-05374000,2,39.4,21.4,17.3,7.0,3.0,5.9,CDU
Rhein-Sieg-Kreis,Kreis,Nordrhein-Westfalen,de-nw-05382000,2,39.4,21.5,21.8,5.7,3.2,4.6,CDU
Gütersloh,Kreis,Nordrhein-Westfalen,de-nw-05754000,2,39.1,19.2,21.0,5.8,2.4,4.4,CDU
Mettmann,Kreis,Nordrhein-Westfalen,de-nw-05158000,2,38.6,17.3,22.5,6.4,3.2,5.6,CDU
Euskirchen,Kreis,Nordrhein-Westfalen,de-nw-05366000,2,38.5,23.9,15.1,7.9,2.4,6.5,CDU
Märkischer Kreis,Kreis,Nordrhein-Westfalen,de-nw-05962000,2,38.1,22.8,14.2,7.5,4.3,5.7,CDU
