land,impf,impfstoffe,quote,impfastra,astra,quoteastra,impfmoderna,moderna,quotemoderna,impfbion,bion,quotebion
Bremen,145938,161205,91,29109,45600,64,9614,14400,67,107212,101205,100
Berlin,728511,849300,86,137652,244800,56,59726,78000,77,531133,526500,100
Schleswig-Holstein,564116,679725,83,121268,194400,62,31420,61200,51,411305,424125,97
Thüringen,437943,534750,82,84701,144000,59,28875,45600,63,324354,345150,94
Brandenburg,469767,581190,81,104216,168000,62,30443,54000,56,335104,359190,93
Hamburg,342967,429375,80,68468,124800,55,14358,38400,37,260091,266175,98
Bayern,2500910,3167085,79,472379,880800,54,126193,277200,46,1902240,2009085,95
Hessen,1152844,1463520,79,232582,422400,55,45591,133200,34,874574,907920,96
Baden-Württemberg,2018291,2579175,78,459223,744000,62,100965,235200,43,1457965,1599975,91
Niedersachsen,1438809,1854900,78,300562,535200,56,80818,169200,48,1056992,1150500,92
Nordrhein-Westfalen,3257162,4170675,78,779466,1204800,65,130527,379200,34,2346061,2586675,91
Rheinland-Pfalz,749175,977235,77,140010,276000,51,38707,86400,45,570373,614835,93
Sachsen-Anhalt,403077,520800,77,85945,146400,59,30795,46800,66,286331,327600,87
Mecklenburg-Vorpommern,268791,373875,72,38801,108000,36,18457,34800,53,211447,231075,92
Sachsen,745875,1041525,72,91855,273600,34,46230,86400,54,607790,681525,89
Saarland,203340,311040,65,39179,64800,60,12732,21600,59,151419,224640,67
