land,quotemoderna,impfastra,quoteastra,dosen,astra,impfbion,drittmoderna,moderna,drittjohnson,dritt,bion,drittbion,quotebion,johnson,impfmoderna
192000,,,,,1689410,,,4892400,,,17442186,,,682545,
225000,,,,,2380950,,,5400710,,,21286125,,,659700,
63000,,,,,526420,,,1656060,,,6380922,,,201295,
42000,,,,,425960,,,885530,,,3895023,,,154785,
12000,,,,,121350,,,259230,,,1155779,,,50125,
33000,,,,,229900,,,843270,,,3028928,,,125435,
108000,,,,,1228950,,,2888840,,,10919684,,,371805,
27000,,,,,251830,,,634860,,,2814544,,,81995,
138000,,,,,1535250,,,3523140,,,13136782,,,504955,
309000,,,,,3508530,,,8261570,,,30629469,,,1088180,
69000,,,,,632590,,,1287880,,,6308055,,,230870,
18000,,,,,137070,,,444250,,,1808024,,,64050,
69000,,,,,580310,,,1189960,,,5901463,,,178240,
39000,,,,,303720,,,857180,,,3288612,,,139135,
51000,,,,,544340,,,1155290,,,4845150,,,177940,
36000,,,,,273600,,,787970,,,3189718,,,159790,
