month,union,spd,gru,fdp,lin,pir,afd
2009-09,19.8,33,5.7,7.2,27.2,,
2009-12,25,31,7,7,23,,
2010-02,22,31,8,6,27,,
2010-04,21,34,8,5,28,,
2010-09,21,31,12,4,26,,
2011-03,24,35,8,3,24,,
2011-08,22,35,11,3,22,2,
2011-12,25,35,8,3,20,4,
2012-02,24,34,8,2,21,7,
2012-03,22,37.5,7,2.5,21.5,5.5,
2012-08,24.5,35.1,7.5,3,20,4.8,
2012-09,23,39,7,2,22,4,
2013-01,22,36,7,3,24,2,
2013-02,23,36,8,3,22,4,
2013-05,27,35,9,2,21,,
2013-08,28.5,34,8,3,20,,
2013-12,30,32,6,2,22,,3
2014-01,23,34,5,4,25,,4
2014-03,24,32,6,3,25,2,5
2014-06,28,30,6,2,23,,6
2014-08,24.6666666666667,32.9166666666667,5.58333333333333,,21.3333333333333,,7.25
2014-09,23,31.9,6.2,1.5,18.6,1.5,12.2
2015-01,22,34,8,,19,,8
2015-02,25,34,5,,19,,10
2015-09,24,35,7,,20,,7
2015-11,23,33,6,,19,,13
2016-01,21,36,6,,18,,11
2016-03,19,31,7,3,16,,19
2016-05,23,29,6,,17,,20
2016-09,17,30,6,4,17,,20
2016-11,25,30,6,,17,,16
2017-01,21,30,7,4,15,,18
2017-06,25,28,6,3,18,,15
2017-11,22,24,6,6,17.5,,19
2018-04,23,23,7,4,17,,22
2018-08,18,23,8,5,18,,21
2018-09,21,23,7,5,17,,23
2019-01,20,21.5,11,4,17.5,,20.5
2019-02,21,21,10,5,17,,19
2019-04,20,22,12,5,16,,19
2019-05,20,19,12,5,18,,20
2019-06,17,18,17,5,14,,21
2019-07,18,19,16,6,16,,19
2019-08,17.5,20.6,14.1,5,14.4,,21
2019-09,15.6,26.2,10.8,4.1,10.7,0.7,23.5
2019-11,14,25,12,5,12,,22
2020-02,14,22,15,3,15,,18
2020-04,19,27,12,4,11,,20
2020-10,17,21,16,4,13,,20
2020-11,20,26,12,5,11,,19
2020-12,20,23,15,4,12,,16
2021-05,16,23,16,7,11,,18
2021-09,13,34,8,7,9,,17
