month,union,spd,gru,fdp,lin,pir,afd
2011-09,23.3,28.3,17.6,1.8,11.7,8.9,
2011-10,24,29,15,2,11,10.5,
2011-11,24,31,14,1,11,10,
2011-12,24.5,30,16,1.5,11,10,
2012-01,22,29,16,,10,14,
2012-02,23,29,15,,10,13,
2012-04,24.5,29,15.5,,10.5,13.5,
2012-05,22.5,27.5,17,,10,15,
2012-06,25,31,17,2,10,10,
2012-07,25,25.5,18,,10.5,12.5,
2012-08,24,24,20,,10,14,
2012-09,26,26.5,19,,11,9,
2012-10,27,26,19,,10,10,
2012-11,26,26,22,,11,7,
2012-12,26.5,24.5,21,,13,6.5,
2013-02,26,25,25,,10,7,
2013-03,28,24.5,24,,10,5.5,
2013-04,28,24,21,,12.5,5,
2013-06,27.5,26,21.5,,11.5,4,
2013-07,27,26.5,22,,11.5,3.5,
2013-08,27,25,21,,12,5,4
2013-09,26,29,18,2,14,5,2
2013-10,28,26,19,,14,3,4
2013-11,27,27,16,,16,3,5
2013-12,28.5,26,16.5,,16,3.5,4
2014-01,27,26,17,,15,5,4
2014-02,25.5,26,18,,14.5,4,4.5
2014-03,27,23,18,,17,4,4
2014-04,29,23,16,,18,4,3
2014-05,28,22.6666666666667,17,,16,5,5
2014-06,28,23,19,,15,4,4
2014-08,28.5,22.5,20,,14.5,4,4
2014-09,27,25,18,,14,3,7
2014-10,26,27,17,,16,3,7
2014-11,26,26,19,,15,3,5
2014-12,27,27,19,,13,3,4
2015-02,25.5,28,18,3.5,13.5,3,4.5
2015-03,24.5,28.5,17.5,,14.5,3.5,4.5
2015-05,25,29,16,,14,4,4
2015-06,24,27.5,16.5,,15.5,4.5,4
2015-08,24,29,17,,15,3,3
2015-09,23,29,18,,15.5,3.5,2.5
2015-11,22.3333333333333,28.6666666666667,17,3.33333333333333,15.3333333333333,3,5.33333333333333
2015-12,23,29,17,4,14,3,5
2016-02,20.5,27,18.5,3.5,15.5,,8.5
2016-03,20,28,17.5,5,14,2.5,8
2016-04,19.5,25,18.5,5.5,15,,10
2016-05,18.5,24.5,19,4.5,15,,11.5
2016-06,18,23,19,4,17,,15
2016-07,18.75,23.75,19.25,4.75,16.5,,10.75
2016-08,18.25,22.75,17,5.3125,15.0625,,13.625
2016-09,17.6,21.6,15.2,6.7,15.6,1.7,14.2
2016-10,18,20,16,7,16,,13
2016-11,19.5,20,16,7,16.5,,13
2017-01,20,20,15.5,7.5,16.5,,12
2017-02,17,25,13,8,16,,10
2017-04,20,25,13,7,16,,8
2017-05,22.3333333333333,22.6666666666667,12.6666666666667,8,16.3333333333333,,9
2017-07,22,21,14,9,17,,8
2017-08,22,20,14,9,18,,8
2017-09,22,20,14,9,18,,9.5
2017-10,19,18,15,9,19,,11
2017-11,20.5,18.5,15,8.5,18,,11
2018-01,19.5,20,17,6.5,18,,11
2018-02,19,19,18,6,20,,12
2018-04,19.5,19.5,17,7.5,18.5,,12.5
2018-05,20,18.5,16.5,6.5,20.5,,11
2018-06,19,18,18,7,20,,11
2018-07,18.3333333333333,17.6666666666667,17,7.33333333333333,19.6666666666667,,12.6666666666667
2018-09,19,17,18,6,21,,12
2018-10,16.5,15.5,20,7.5,20.5,,13
2018-11,17,15.5,23,6.5,17.5,,14
2018-12,18,15.5,22,7.5,17,,13.5
2019-01,17,15,23,7,18,,13
2019-02,19,16,21,8,20,,11
2019-03,20,17,22,7,18,,11
2019-04,18,15.6666666666667,23,8,18.3333333333333,,11
2019-05,17,15,23,6,19,,10
2019-06,15,16,26,7,17,,11
2019-07,17,15.5,25,6,17.5,,10
2019-08,16,16,24,6,17,,11
2019-09,17,15,24,6,18,,14
2019-10,17,16,24,6,16,,11
2019-11,18,15.5,24,5,16.5,,12.5
2019-12,17,15.5,23,5.5,18,,11
2020-01,18,15,23,7,19,,13
2020-02,16,15,25,6,17,,11
2020-04,23,20,21,5,14,,10
2020-07,21,16,19,5,18,,12
2020-09,22,15,26,6,15,,10
2020-10,21,18,20,6,16,,12
2020-12,22,18,18,7,16,,12
2021-02,22,18,23,6,15,,9
2021-04,17,18,26,8.5,14,,10.5
2021-05,16,20,25,9,13,,12
2021-06,19.5,17.5,22,9.5,12.5,,11
2021-08,17.3333333333333,22,18.6666666666667,8,13.6666666666667,,11
2021-09,16.6666666666667,22.3333333333333,19,7.33333333333333,12.6666666666667,,9.33333333333333
