month,union,spd,gru,fdp,lin,afd
2011-03,39,23.1,24.2,5.3,2.8,0
2011-05,36,22,30,4,2,0
2011-08,36,23,29,4,3,0
2011-11,35.5,21,30.5,3.5,2.5,0
2012-05,37,21,28,4,2,0
2013-05,39,19,28,4,2,2
2013-11,43,19,22,4,4,5
2014-05,41,20,21,3,4,6
2014-09,41,19,23,4,4,4
2014-11,41,20,22,3,4,5
2015-03,38,18,25,5,5,4
2015-05,38,20,26,4,4,4
2015-09,39.75,18.5,25,4.75,4,4
2015-10,40,16,24,5,5,8
2015-11,37,18,27,5,3,6
2015-12,36,18.5,26.5,5,3.5,7.5
2016-01,34.6666666666667,14.3333333333333,28.3333333333333,6.16666666666667,2.83333333333333,10.8333333333333
2016-02,30.0083333333333,14.3416666666667,30.5916666666667,6.8,3.70833333333333,11
2016-03,27,12.7,30.3,8.3,2.9,15.1
2016-09,26,13,31,7,3,17
2017-03,28,20,27,7,4,11
2018-01,29,12,29,8,6,12
2018-02,27,12,32,9,4,12
2018-09,26.5,11.5,28,8,6,16.5
2019-02,25,11,31,9,5.5,12.5
2019-03,28,12,32,9,4,11
2019-05,27,11,28,10,6,12
2019-09,26,8,38,8,3,12
2019-10,27,11,30,9,4,13
2020-03,23,11,36,7,5,14
2020-04,30.5,12,31.5,6.5,3.5,11.5
2020-09,31,12,28,7,5,12
2020-10,29,11,34,6,4,11
2020-11,31,11,29,7,5,12
2020-12,30,10,35,7,3,11
2021-01,30,12,30,8,4,12
2021-02,25.5,10.375,33.125,10.125,3.375,11.375
2021-03,24.1,11,32.6,10.5,3.6,9.7
2021-09,,,,,,
