month,union,spd,gru,fdp,lin,fw,afd
2013-09,47.7,20.6,8.6,3.3,2.1,9,0
2014-01,49,19,10,4,2,9,0
2014-03,46,18,11,0,0,12,0
2014-11,48,18,9,2,2,9,5
2014-12,49,18,9,2,2,7,5
2015-01,46.5,19.5,9.5,2.5,3,9,5
2015-04,47.5,19,10.5,3.5,2,7,4
2015-05,48,18,10,4,0,7,5
2015-06,47,19.5,8.5,4.5,2.5,7.5,4
2015-07,47,20,10,5,0,6,2
2015-09,49,20,10,5,0,6,2
2015-10,44.5,18.5,11.5,5,1.5,5.5,5.5
2015-11,46,18,11,4,3,5,8
2016-01,46,17.5,11,3.5,3,5.5,7.5
2016-02,46,17,11,4,2,5,9
2016-03,48,16,11,5,2,5,9
2016-04,48,16,10,5,2,6,9
2016-06,45.1666666666667,16.8333333333333,11.8333333333333,4.16666666666667,2.83333333333333,5.5,8.33333333333333
2016-07,45,16.6666666666667,12.6666666666667,4.33333333333333,1.66666666666667,5.66666666666667,8
2016-09,45,18,12,5,2,5,9
2016-10,45,19,10,5,2,6,9
2016-11,44,18,10,6,2,6,9
2017-01,45,14,13,4,3,7,10
2017-10,41,15,11,7,3,6,13
2017-11,37.3333333333333,16.3333333333333,10.3333333333333,8.33333333333333,3.66666666666667,7.33333333333333,12.6666666666667
2017-12,40,15,12,7,4,7,12
2018-01,39.5,15.5,12,6,3,7,11
2018-02,41,14.5,12.5,6,3,6.5,11
2018-03,43,15,11,6,3,6,12
2018-04,43,13.5,12,6,3,6,12.5
2018-05,41.5,12.5,13,5.5,2.5,7,12.5
2018-06,40.5,13,13.5,5,3,7,13.5
2018-07,38.3333333333333,12.3333333333333,15,5.66666666666667,3.33333333333333,8,13.3333333333333
2018-08,37.3333333333333,12.3333333333333,15.3333333333333,5.66666666666667,3.33333333333333,8,13.3333333333333
2018-09,34.4444444444444,11.6666666666667,17.4444444444444,5.5,4.27777777777778,10.1111111111111,11.6666666666667
2018-10,37.2,9.7,17.6,5.1,3.2,11.6,10.2
2019-01,37,8,20.6666666666667,5.33333333333333,3.33333333333333,12,8.66666666666667
2019-06,37,8,23,5,3,9,9
2019-07,37,7,22,5,3,11,9
2019-09,36,9,22,5,3,10,11
2019-10,37,8,22,5,3,11,10
2020-01,37,7.5,22.5,5,3.5,10,10
2020-02,38,9,20,3,4,11,11
2020-04,49,10,17,0,3,8,6
2020-05,47,9.66666666666667,17,3.33333333333333,3,8.33333333333333,6.33333333333333
2020-06,48,9,16,4,3,8,6
2020-07,49,7,19.5,3,3,5,7
2020-08,47,9.5,18,3,3,6.5,7
2020-10,45.5,8,20,3.5,3,7,8
2020-11,46,8,18,4,3,6,8
2021-01,47.3333333333333,8,18.3333333333333,4,2.66666666666667,7.66666666666667,6.66666666666667
2021-02,47,8,18,4,3,8,8
2021-03,40,8,20,6,3,9,9
2021-04,36,9,24,7,3,9,9
2021-05,38,7,22,6,3,9,9
2021-07,38,9.5,20.5,7.5,3,9.5,8
2021-09,,,,,,,
