month,union,spd,gru,fdp,lin,afd
2013-09,38.3,30.7,11.1,5,5.2,4.1
2014-03,39,27,12,5,7,5
2014-12,38,27,16,2,7,5
2015-07,41,27,14,6,6,2
2015-09,38,28,13,5,5,4
2016-01,34,26,11,5,8,12
2016-04,33,27,11,7,6,10
2016-08,36,27,13,4,6,9
2017-01,32,24,14,6,8,14
2018-01,31,25,13,8,8,12
2018-02,33,23,14,8,7,10
2018-03,31,26,12.5,8,7.5,10.5
2018-05,33,24,13,7,8,11
2018-06,31,23.5,13.5,7.5,7.5,13
2018-09,28,22.125,18.375,7.25,8,12.625
2018-10,27,19.8,19.8,7.5,6.3,13.1
2019-04,27,19,21,9,6,13
2019-12,26,16,23,8,9,13
2020-02,26,16,25,7,8,12
2020-05,36,18,20,7,4,10
2020-11,30,18,19,6,9,11
2020-12,34,19,22,7,5,8
2021-02,32,17,21,7,6,10
2021-09,,,,,,
