month,union,spd,gru,fdp,lin,pir,afd
2011-02,21.9,48.4,11.2,6.7,6.4,2.1,
2011-06,20,47,14,7,7,,
2011-12,21,44,13,3,7,9,
2012-01,20,51,14,3,4,5,
2012-02,21,52,12,2,6,4,
2012-10,20.8,42,21.5,4.4,4.5,6.1,
2013-02,23,51,13,2,4,2,
2013-06,21,43,18,4,8,4,
2014-01,25,42,13,5,9,,3
2014-02,24,48,11,3,8,,
2014-05,22.6,38.5,13.7,2.9,7.8,,5.8
2014-11,27,45,11,2,7,,4
2014-12,23,42.5,14,2,8.5,,5
2015-01,20.275,43.9125,13.9625,4.5125,8.625,,4.825
2015-02,15.9,45.6,12.3,7.4,8.5,1.6,6.1
2016-01,14,37,13,8,10,,13
2016-04,18,39,15,6,11,,8
2016-11,18,48,16,5,8,,4
2018-03,22,28,15,8,14,,10
2018-04,16,36,18,7,12,,7
2019-01,14,30,24,9,11,,7
2019-02,17,31,22,8,10,,8
2019-03,15,35,29,6,9,,4
2019-05,16,30,22,9,11,,10
2019-09,14,28,28,6,11,,9
2019-11,15,28.5,24.5,7.5,12,,8
2019-12,17,28,26,6,11,,7
2020-01,13.8181818181818,34.0909090909091,25.7272727272727,5.95454545454545,8.86363636363636,,6.72727272727273
2020-02,11.2,39.2,24.2,4.96,9.1,0.5,5.3
2020-06,13,39,23,5,10,,6
2021-09,,,,,,,
